Model,Mode,Percentage,Hit Ratio@10,Precision@10,Recall@10,NDCG@10,Hit Ratio@20,Precision@20,Recall@20,NDCG@20,Hit Ratio@40,Precision@40,Recall@40,NDCG@40
DHCF,add_noise,10,0.07809,0.09633,0.07929,0.13166,0.12838,0.07919,0.12999,0.14362,0.18884,0.05824,0.18957,0.17356
DHCF,add_noise,20,0.07782,0.09596,0.0795,0.13068,0.1279,0.07885,0.12993,0.14267,0.19051,0.05873,0.19368,0.17457
DHCF,add_noise,30,0.07801,0.09628,0.07931,0.11938,0.12524,0.07729,0.12709,0.13124,0.18558,0.05726,0.1878,0.16284
DHCF,add_noise,40,0.06852,0.08453,0.06945,0.11381,0.11472,0.07076,0.11549,0.12563,0.1769,0.05456,0.17774,0.15698
DHCF,add_noise,50,0.0646,0.07965,0.06591,0.10788,0.1076,0.06634,0.10881,0.12003,0.16332,0.05035,0.16524,0.14912
DHCF,cold_start,1,0.12319,0.10821,0.12237,0.16334,0.1849,0.08121,0.18369,0.19838,0.25666,0.05637,0.25535,0.23107
HCCF,add_noise,10,0.08382,0.1034,0.08505,0.13069,0.13325,0.08219,0.1344,0.14314,0.20203,0.06231,0.20304,0.17772
HCCF,add_noise,20,0.07201,0.08879,0.07284,0.11976,0.12031,0.07418,0.12212,0.13291,0.18349,0.05656,0.18533,0.16441
HCCF,add_noise,30,0.07771,0.0959,0.07872,0.11529,0.12425,0.07668,0.12519,0.12836,0.18342,0.0566,0.1831,0.15866
HCCF,add_noise,40,0.05865,0.07236,0.05913,0.09185,0.09593,0.05917,0.09698,0.1025,0.14816,0.04569,0.15008,0.12948
HCCF,add_noise,50,0.0477,0.05882,0.04802,0.0739,0.08032,0.04952,0.08068,0.08457,0.12243,0.03774,0.12326,0.10676
HCCF,cold_start,1,0.13314,0.10812,0.13782,0.15274,0.20483,0.08317,0.20914,0.18419,0.31724,0.06441,0.31836,0.23094
HCCF,missing,10,0.12066,0.14878,0.12217,0.18872,0.18043,0.11124,0.18214,0.19885,0.26187,0.08073,0.26356,0.23981
HCCF,missing,20,0.10295,0.12701,0.10352,0.16152,0.15941,0.09833,0.16007,0.17333,0.23443,0.0723,0.23544,0.21156
HCCF,missing,30,0.08839,0.10904,0.08993,0.13707,0.14105,0.087,0.14266,0.15051,0.21004,0.06478,0.21116,0.18545
HCCF,missing,40,0.0752,0.09277,0.07578,0.11832,0.12385,0.0764,0.12505,0.13183,0.18802,0.05799,0.189,0.16439
HCCF,missing,50,0.05935,0.07328,0.0594,0.0903,0.09762,0.06027,0.09819,0.10205,0.15084,0.04657,0.1511,0.1297
HGNN,add_noise,10,0.07869,0.09708,0.07927,0.11946,0.12872,0.0794,0.12952,0.13442,0.20125,0.06207,0.20125,0.17111
