Model,Dataset,Mode,Percentage,Hit Ratio@10,Precision@10,Recall@10,NDCG@10,Hit Ratio@20,Precision@20,Recall@20,NDCG@20,Hit Ratio@40,Precision@40,Recall@40,NDCG@40
DHCF,lastfm,add_noise,10,0.07873,0.09713,0.07992,0.12786,0.13135,0.08102,0.13227,0.14295,0.20086,0.06195,0.2021,0.17811
DHCF,lastfm,add_noise,20,0.08032,0.09904,0.08173,0.13563,0.13001,0.08015,0.13171,0.14615,0.19878,0.06128,0.20087,0.18045
DHCF,lastfm,add_noise,30,0.08206,0.10128,0.08336,0.12426,0.13192,0.08141,0.13325,0.13801,0.19782,0.06104,0.19901,0.17122
DHCF,lastfm,add_noise,40,0.07378,0.09102,0.07477,0.11586,0.12308,0.07592,0.12433,0.1295,0.18104,0.05583,0.18161,0.15885
DHCF,lastfm,add_noise,50,0.06636,0.08183,0.06791,0.10701,0.10885,0.06711,0.11025,0.12029,0.16017,0.04938,0.16184,0.14678
DHCF,lastfm,cold_start,1,0.12319,0.10821,0.12237,0.16334,0.1849,0.08121,0.18369,0.19838,0.25666,0.05637,0.25535,0.23107
DHCF,lastfm,missing,10,0.11527,0.14214,0.11797,0.18999,0.17414,0.10736,0.17681,0.19921,0.24425,0.07529,0.24619,0.23447
DHCF,lastfm,missing,20,0.11597,0.14306,0.11771,0.18614,0.17604,0.10859,0.17781,0.19635,0.25236,0.07783,0.25381,0.23458
DHCF,lastfm,missing,30,0.1089,0.13434,0.11066,0.17054,0.17449,0.10763,0.17581,0.18666,0.25154,0.07758,0.25269,0.22606
DHCF,lastfm,missing,40,0.09395,0.1159,0.09616,0.14825,0.1554,0.09585,0.15776,0.16496,0.22771,0.07023,0.22904,0.20119
DHCF,lastfm,missing,50,0.07857,0.09702,0.07952,0.12634,0.13481,0.08324,0.13572,0.14258,0.2017,0.06227,0.20236,0.17595
DHCF,ml-1m,add_noise,10,0.02886,0.1197,0.04064,0.16043,0.05528,0.11463,0.07421,0.15346,0.1005,0.1042,0.12994,0.16119
DHCF,ml-1m,add_noise,20,0.02711,0.11245,0.03818,0.15042,0.05598,0.11607,0.07772,0.15353,0.09734,0.10093,0.12641,0.15769
DHCF,ml-1m,add_noise,30,0.02566,0.1064,0.03595,0.14155,0.05232,0.1085,0.0718,0.14248,0.09668,0.10024,0.12907,0.15274
DHCF,ml-1m,add_noise,40,0.02992,0.1241,0.04363,0.14432,0.05316,0.11023,0.07478,0.13869,0.08953,0.09283,0.11898,0.14597
DHCF,ml-1m,add_noise,50,0.02728,0.11315,0.04328,0.133,0.04982,0.1033,0.07194,0.13077,0.08948,0.09277,0.12098,0.14085
DHCF,ml-1m,cold_start,1,0.06901,0.05604,0.07261,0.08126,0.11924,0.04842,0.12488,0.10629,0.1841,0.03738,0.1918,0.13591
DHCF,ml-1m,missing,10,0.04429,0.1837,0.05752,0.20884,0.07774,0.1612,0.09809,0.1992,0.12624,0.13089,0.15311,0.19791
DHCF,ml-1m,missing,20,0.03968,0.16455,0.05383,0.18761,0.07032,0.14583,0.09129,0.18024,0.11749,0.12181,0.14693,0.18415
DHCF,ml-1m,missing,30,0.03505,0.14535,0.04975,0.16812,0.06374,0.13217,0.08548,0.16482,0.10958,0.11361,0.14239,0.17159
DHCF,ml-1m,missing,40,0.03097,0.12845,0.04564,0.14663,0.05906,0.12248,0.08436,0.15174,0.10309,0.10689,0.1394,0.16155
DHCF,ml-1m,missing,50,0.02901,0.1203,0.04324,0.13737,0.05434,0.11267,0.07789,0.13721,0.0927,0.09611,0.12749,0.1486
HCCF,lastfm,add_noise,10,0.08382,0.1034,0.08505,0.13069,0.13325,0.08219,0.1344,0.14314,0.20203,0.06231,0.20304,0.17772
HCCF,lastfm,add_noise,20,0.07201,0.08879,0.07284,0.11976,0.12031,0.07418,0.12212,0.13291,0.18349,0.05656,0.18533,0.16441
HCCF,lastfm,add_noise,30,0.07771,0.0959,0.07872,0.11529,0.12425,0.07668,0.12519,0.12836,0.18342,0.0566,0.1831,0.15866
HCCF,lastfm,add_noise,40,0.05865,0.07236,0.05913,0.09185,0.09593,0.05917,0.09698,0.1025,0.14816,0.04569,0.15008,0.12948
HCCF,lastfm,add_noise,50,0.0477,0.05882,0.04802,0.0739,0.08032,0.04952,0.08068,0.08457,0.12243,0.03774,0.12326,0.10676
HCCF,lastfm,cold_start,1,0.10542,0.09261,0.10509,0.13358,0.1655,0.07269,0.16534,0.16796,0.23726,0.0521,0.23658,0.20078
HCCF,lastfm,missing,10,0.12066,0.14878,0.12217,0.18872,0.18043,0.11124,0.18214,0.19885,0.26187,0.08073,0.26356,0.23981
HCCF,lastfm,missing,20,0.10295,0.12701,0.10352,0.16152,0.15941,0.09833,0.16007,0.17333,0.23443,0.0723,0.23544,0.21156
HCCF,lastfm,missing,30,0.08839,0.10904,0.08993,0.13707,0.14105,0.087,0.14266,0.15051,0.21004,0.06478,0.21116,0.18545
HCCF,lastfm,missing,40,0.0752,0.09277,0.07578,0.11832,0.12385,0.0764,0.12505,0.13183,0.18802,0.05799,0.189,0.16439
HCCF,lastfm,missing,50,0.05935,0.07328,0.0594,0.0903,0.09762,0.06027,0.09819,0.10205,0.15084,0.04657,0.1511,0.1297
HCCF,ml-1m,add_noise,10,0.03749,0.1555,0.05918,0.18742,0.0698,0.14475,0.10802,0.18823,0.12377,0.12832,0.18206,0.20346
HCCF,ml-1m,add_noise,20,0.03632,0.15065,0.05513,0.18435,0.06661,0.13812,0.09883,0.18285,0.11985,0.12426,0.1718,0.19764
HCCF,ml-1m,add_noise,30,0.03585,0.1487,0.05504,0.17079,0.06411,0.13295,0.09522,0.16862,0.11351,0.11769,0.16078,0.18139
HCCF,ml-1m,add_noise,40,0.03024,0.1254,0.0449,0.14277,0.05534,0.11475,0.0803,0.14288,0.09893,0.10257,0.13887,0.15525
HCCF,ml-1m,add_noise,50,0.02328,0.09655,0.03268,0.10635,0.04305,0.08927,0.0581,0.1073,0.07734,0.08019,0.09959,0.11578
HCCF,ml-1m,cold_start,1,0.13314,0.10812,0.13782,0.15274,0.20483,0.08317,0.20914,0.18419,0.31724,0.06441,0.31836,0.23094
HCCF,ml-1m,missing,10,0.06685,0.27725,0.1038,0.3204,0.11657,0.24172,0.17226,0.30996,0.1959,0.20311,0.27059,0.3212
HCCF,ml-1m,missing,20,0.05501,0.22815,0.08853,0.26082,0.09881,0.2049,0.15192,0.25961,0.17085,0.17714,0.24647,0.27728
HCCF,ml-1m,missing,30,0.04853,0.20125,0.08013,0.22753,0.08624,0.17883,0.13423,0.22613,0.14933,0.15482,0.21791,0.24291
HCCF,ml-1m,missing,40,0.04182,0.17345,0.06676,0.19094,0.07654,0.15873,0.11744,0.19479,0.13318,0.13809,0.19332,0.21134
HCCF,ml-1m,missing,50,0.03273,0.13575,0.051,0.15203,0.05979,0.12398,0.08965,0.15279,0.10819,0.11217,0.15599,0.16952
HGNN,lastfm,add_noise,10,0.07869,0.09708,0.07927,0.11946,0.12872,0.0794,0.12952,0.13442,0.20125,0.06207,0.20125,0.17111
HGNN,lastfm,add_noise,20,0.07968,0.09825,0.08083,0.13245,0.13337,0.08223,0.13406,0.14684,0.20159,0.06214,0.2014,0.18091
HGNN,lastfm,add_noise,30,0.07723,0.09532,0.07758,0.11298,0.12378,0.07638,0.12481,0.12636,0.18761,0.05789,0.18934,0.15912
HGNN,lastfm,add_noise,40,0.06555,0.08086,0.06739,0.10567,0.11045,0.06813,0.11205,0.11923,0.17031,0.05253,0.17281,0.14979
HGNN,lastfm,add_noise,50,0.05654,0.06971,0.05677,0.08861,0.09605,0.05922,0.09675,0.10195,0.15177,0.04679,0.15309,0.13158
HGNN,lastfm,cold_start,1,0.13254,0.11643,0.13298,0.16141,0.2015,0.0885,0.20149,0.20093,0.28892,0.06345,0.28874,0.24067
HGNN,lastfm,missing,10,0.12178,0.15016,0.12334,0.19016,0.18698,0.11528,0.18868,0.20371,0.27243,0.08398,0.27386,0.24663
HGNN,lastfm,missing,20,0.10761,0.13275,0.10886,0.16482,0.16591,0.10234,0.16707,0.17813,0.24827,0.07657,0.249,0.21964
HGNN,lastfm,missing,30,0.098,0.12089,0.0986,0.15055,0.15561,0.09599,0.15632,0.16522,0.22982,0.07088,0.23131,0.20279
HGNN,lastfm,missing,40,0.08485,0.10468,0.0859,0.12898,0.13863,0.08551,0.13978,0.14471,0.20909,0.06449,0.21027,0.18023
HGNN,lastfm,missing,50,0.06775,0.08366,0.06823,0.10519,0.1143,0.07057,0.11554,0.11973,0.17674,0.05456,0.17772,0.15138
HGNN,ml-1m,add_noise,10,0.03573,0.1482,0.05602,0.17378,0.06503,0.13485,0.09663,0.17394,0.11485,0.11908,0.16438,0.18788
HGNN,ml-1m,add_noise,20,0.03387,0.14045,0.05255,0.16936,0.06294,0.13053,0.09467,0.17112,0.11229,0.11643,0.16296,0.18585
HGNN,ml-1m,add_noise,30,0.03356,0.1392,0.05134,0.16964,0.06185,0.12825,0.09098,0.16647,0.10928,0.1133,0.15557,0.17731
HGNN,ml-1m,add_noise,40,0.0322,0.13355,0.05232,0.15691,0.05901,0.12237,0.0897,0.15748,0.10468,0.10854,0.14919,0.16966
