,ep,loss
0,0,2.126941982985257e-05
1,1,2.1116134613750525e-05
2,2,2.1377842986759298e-05
3,3,2.140935196696777e-05
4,4,2.1585798684301466e-05
5,5,2.1680611953990102e-05
6,6,2.1794659469270684e-05
7,7,2.1850205258477345e-05
8,8,2.1953616833559092e-05
9,9,2.202607376006084e-05
10,10,2.2045571442770314e-05
11,11,2.221982713344483e-05
12,12,2.229105658720389e-05
13,13,2.239528864154154e-05
14,14,2.2465128142947126e-05
15,15,2.2546440118366093e-05
16,16,2.2725385372223712e-05
17,17,2.2770641893291067e-05
18,18,2.2837992636139482e-05
19,19,2.3016457691173926e-05
20,20,2.3128596748655163e-05
21,21,2.3141406251776967e-05
22,22,2.3255490082138486e-05
23,23,2.3346412368130267e-05
24,24,2.3527529171800054e-05
25,25,2.360368761951343e-05
26,26,2.3719481019516707e-05
27,27,2.372853349708619e-05
28,28,2.379086408081967e-05
29,29,2.387126913544282e-05
30,30,2.402914676056271e-05
31,31,2.421279953742766e-05
32,32,2.4332920974672664e-05
33,33,2.44729220392638e-05
34,34,2.455879138119329e-05
35,35,2.4626523565400664e-05
36,36,2.4785624406971827e-05
37,37,2.4787308007484235e-05
38,38,2.5007667515993766e-05
39,39,2.510974035082291e-05
40,40,2.523481979238683e-05
41,41,2.539033938173744e-05
42,42,2.5475846989224795e-05
43,43,2.5491674008835364e-05
44,44,2.5597121960528586e-05
45,45,2.572899043134169e-05
46,46,2.579977893474854e-05
47,47,2.5719287129429173e-05
48,48,2.5820320329132855e-05
49,49,2.598319859338258e-05
50,50,2.591328411078929e-05
51,51,2.595841346077139e-05
52,52,2.596979935664091e-05
53,53,2.5954823034517318e-05
54,54,2.5932737706372194e-05
55,55,2.5966218348869525e-05
56,56,2.5981426940841615e-05
57,57,2.6008115857959222e-05
58,58,2.6176438925478593e-05
59,59,2.6183672888163503e-05
60,60,2.6327584104142208e-05
61,61,2.625448411815338e-05
62,62,2.634342044157992e-05
63,63,2.622390900566675e-05
64,64,2.6204284741425898e-05
65,65,2.637011263719226e-05
66,66,2.625853129048977e-05
67,67,2.6510767416378368e-05
68,68,2.6374050375387505e-05
69,69,2.6517439570166115e-05
70,70,2.649929157759407e-05
71,71,2.647239980361472e-05
72,72,2.6563885796579566e-05
73,73,2.640880638109557e-05
74,74,2.6548039285742618e-05
75,75,2.640248560141901e-05
76,76,2.645958180228946e-05
77,77,2.6489956365802083e-05
78,78,2.653627067594053e-05
79,79,2.653731765173074e-05
80,80,2.650183934905647e-05
81,81,2.66296879467536e-05
82,82,2.6572644812921837e-05
83,83,2.658864166718731e-05
84,84,2.657360290987012e-05
85,85,2.663938842312131e-05
86,86,2.6701385801068596e-05
87,87,2.6552733112406813e-05
88,88,2.661756540331373e-05
89,89,2.651809769203581e-05
90,90,2.647092051946939e-05
91,91,2.6408678915233374e-05
92,92,2.642392336933647e-05
93,93,2.6417178815456655e-05
94,94,2.647219269046157e-05
95,95,2.6515319138988964e-05
96,96,2.645597806793505e-05
97,97,2.6435054448516507e-05
98,98,2.642574066916488e-05
99,99,2.6429994228496604e-05
100,100,2.6362747203992594e-05
101,101,2.629074044501466e-05
