,epoch,hit@10,precision@10,recall@10,ndcg@10,hit@20,precision@20,recall@20,ndcg@20
0,0,0.09655,0.09652,0.11525,0.13906,0.15487,0.07741,0.18158,0.15504
1,1,0.10439,0.10436,0.12735,0.15186,0.16353,0.08174,0.19292,0.16676
2,2,0.10904,0.109,0.13413,0.16246,0.17174,0.08584,0.20458,0.1788
3,3,0.10408,0.10405,0.12649,0.15167,0.1671,0.08352,0.19799,0.16912
4,4,0.11054,0.11051,0.13437,0.16018,0.17557,0.08776,0.20742,0.17748
5,5,0.10819,0.10816,0.12945,0.15744,0.17408,0.08701,0.20401,0.17587
6,6,0.10888,0.10885,0.13103,0.15774,0.1747,0.08732,0.20529,0.17529
7,7,0.11536,0.11532,0.13893,0.16939,0.1818,0.09087,0.21458,0.18634
8,8,0.11233,0.11229,0.13493,0.1637,0.17898,0.08946,0.20879,0.18087
9,9,0.11569,0.11565,0.13752,0.16868,0.1835,0.09172,0.21371,0.18597
10,10,0.11226,0.11223,0.1343,0.16208,0.17808,0.08901,0.20813,0.17878
11,11,0.1147,0.11467,0.13529,0.16613,0.1817,0.09082,0.21178,0.18335
12,12,0.11302,0.11299,0.13471,0.16452,0.18142,0.09068,0.21099,0.18249
13,13,0.11629,0.11626,0.13697,0.16812,0.18284,0.09139,0.21102,0.18386
14,14,0.11491,0.11487,0.1359,0.1658,0.1827,0.09132,0.21248,0.18343
15,15,0.11347,0.11344,0.13309,0.16467,0.18222,0.09108,0.21077,0.18286
16,16,0.11281,0.11278,0.13589,0.16279,0.17981,0.08988,0.2127,0.18078
17,17,0.11581,0.11577,0.13682,0.16786,0.184,0.09197,0.2152,0.18557
18,18,0.11555,0.11552,0.13809,0.16715,0.18482,0.09238,0.21689,0.18559
19,19,0.11406,0.11403,0.13218,0.16378,0.18204,0.091,0.21089,0.1817
20,20,0.11196,0.11193,0.1314,0.16161,0.18028,0.09011,0.21209,0.18089
21,21,0.11529,0.11526,0.13729,0.16714,0.18359,0.09177,0.21573,0.18481
22,22,0.1121,0.11207,0.13317,0.16053,0.17953,0.08974,0.21123,0.17885
23,23,0.11252,0.11248,0.12979,0.16082,0.17953,0.08974,0.20621,0.17805
24,24,0.11501,0.11498,0.13562,0.1657,0.18378,0.09186,0.21511,0.18404
25,25,0.11191,0.11188,0.13097,0.16047,0.1808,0.09037,0.20851,0.17887
26,26,0.11053,0.11049,0.13001,0.15985,0.17881,0.08938,0.20905,0.17914
27,27,0.10912,0.10909,0.13011,0.15788,0.17503,0.08749,0.20467,0.17547
28,28,0.11406,0.11403,0.13162,0.16593,0.18478,0.09236,0.21362,0.18518
29,29,0.1099,0.10987,0.12858,0.15753,0.17903,0.08949,0.20352,0.17545
30,30,0.11073,0.1107,0.12983,0.15983,0.17941,0.08968,0.20652,0.17808
31,31,0.11342,0.11339,0.13159,0.16229,0.18087,0.09041,0.20965,0.18011
32,32,0.10943,0.1094,0.12758,0.15871,0.18016,0.09005,0.20819,0.17829
33,33,0.11318,0.11314,0.13124,0.16353,0.183,0.09147,0.21053,0.18211
34,34,0.10826,0.10823,0.12625,0.15441,0.1748,0.08738,0.20226,0.17243
35,35,0.11053,0.11049,0.12835,0.15938,0.18182,0.09088,0.2095,0.17931
36,36,0.11042,0.11039,0.12686,0.15829,0.1812,0.09057,0.20543,0.17765
37,37,0.11008,0.11004,0.12776,0.1557,0.17723,0.08859,0.20253,0.17345
38,38,0.11525,0.11522,0.13255,0.16477,0.18625,0.0931,0.21349,0.18342
39,39,0.11451,0.11448,0.13151,0.16464,0.18521,0.09258,0.21224,0.18351
40,40,0.11115,0.11112,0.12981,0.15936,0.18004,0.08999,0.20729,0.17808
41,41,0.11314,0.11311,0.13016,0.16173,0.18229,0.09112,0.20641,0.17919
42,42,0.11241,0.11238,0.12715,0.1597,0.18203,0.09099,0.2069,0.17807
43,43,0.11406,0.11403,0.13095,0.16318,0.18625,0.0931,0.21211,0.18257
44,44,0.11283,0.1128,0.13055,0.16067,0.18177,0.09086,0.20772,0.17887
45,45,0.11378,0.11375,0.13098,0.16281,0.18397,0.09196,0.21198,0.18195
46,46,0.11654,0.1165,0.13463,0.168,0.18683,0.09339,0.2155,0.18623
47,47,0.11695,0.11692,0.13594,0.16795,0.18761,0.09377,0.21538,0.18583
48,48,0.11532,0.11529,0.13425,0.16614,0.18535,0.09265,0.21303,0.18411
49,49,0.11441,0.11437,0.133,0.16411,0.18409,0.09202,0.21241,0.18275
50,50,0.11124,0.1112,0.12856,0.15849,0.18085,0.0904,0.20974,0.17818
51,51,0.112,0.11197,0.1291,0.1597,0.18177,0.09086,0.20562,0.17797
52,52,0.1126,0.11257,0.13136,0.16288,0.18133,0.09064,0.20999,0.18105
53,53,0.1137,0.11366,0.13071,0.16321,0.1848,0.09237,0.21127,0.18237
