userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,69.11055755615234) (1073,68.00506591796875) (51,67.45714569091797)* (3501,67.16667938232422) (1014,67.0721435546875) (187,66.75701141357422) (998,66.66470336914062) (157,66.63823699951172) (993,66.62583923339844) (3768,66.51156616210938) (1836,66.45092010498047) (238,66.26002502441406) (1713,66.2319564819336) (627,66.22425842285156) (1892,66.20221710205078) (59,66.17524719238281)* (877,66.13526153564453) (1013,66.11346435546875) (1098,66.10675811767578) (61,66.09306335449219)*
3: (7694,48.029537200927734) (1943,47.97843933105469) (1622,47.93146514892578) (7472,47.800819396972656) (2668,47.284324645996094) (2671,47.07982635498047) (9585,47.06965255737305) (16237,47.01301193237305) (11205,46.8904914855957) (11520,46.86800765991211) (17962,46.786949157714844) (2667,46.685516357421875) (2673,46.638851165771484) (1627,46.59154510498047) (16748,46.348731994628906) (16254,46.34135818481445) (16245,46.31391525268555) (11208,46.22694778442383) (7017,46.201412200927734) (7493,46.19536590576172)
4: (190,63.99989700317383)* (1713,63.82838439941406) (1104,63.802207946777344) (518,63.573997497558594) (521,63.02970504760742) (930,62.79775619506836) (233,62.74757385253906) (70,62.663944244384766)* (1075,62.62627410888672) (1072,62.49630355834961) (1118,62.487552642822266) (1109,62.44879150390625) (1055,62.4074592590332) (511,62.391963958740234) (172,62.38569641113281)* (7,62.35036087036133) (229,62.278587341308594) (67,62.27516555786133) (67,62.27516555786133) (238,62.22285461425781)
5: (418,73.8196029663086) (632,72.55691528320312) (163,72.3240737915039) (602,72.1596908569336) (615,72.05436706542969) (429,72.0471420288086) (3057,71.87236785888672) (436,71.87129974365234) (223,71.85772705078125)* (65,71.76000213623047) (65,71.76000213623047) (533,71.74853515625) (1418,71.67756652832031) (964,71.6012954711914) (629,71.60126495361328) (88,71.60047149658203) (1424,71.58753204345703) (622,71.5698013305664) (709,71.51041412353516) (440,71.44190979003906)
6: (5249,60.52785873413086) (1834,59.901527404785156) (913,59.880226135253906) (1544,59.8370361328125) (8991,59.64079666137695) (1936,59.59247589111328) (295,59.476585388183594) (251,59.38033676147461)* (157,59.3364372253418) (8372,59.2662353515625) (1832,59.07215881347656) (12966,58.96332550048828) (701,58.94286346435547) (266,58.93482971191406)* (289,58.87166976928711) (7838,58.84309005737305) (11078,58.68701171875) (2179,58.651893615722656) (987,58.64377212524414) (1613,58.632171630859375)
7: (292,74.40679931640625)* (302,73.36564636230469)* (701,73.3592300415039) (349,73.22651672363281) (333,73.18099975585938)* (55,72.92916107177734)* (466,72.72968292236328) (525,72.62120056152344) (1934,72.58079528808594) (461,72.53922271728516) (161,72.19168853759766) (679,72.14328002929688) (344,71.98628997802734) (157,71.9154281616211) (913,71.806396484375) (544,71.78717041015625) (1052,71.70123291015625) (903,71.69823455810547) (1243,71.64673614501953) (352,71.64427947998047)
8: (786,73.32423400878906) (3311,73.20765686035156) (455,73.19639587402344) (333,72.77251434326172) (461,72.71258544921875) (305,72.58267974853516) (161,72.55510711669922) (701,72.55424499511719) (646,72.47647857666016) (641,72.46128845214844) (291,72.44290161132812)* (2046,72.2151107788086) (466,72.1762466430664) (290,72.15792083740234) (2523,72.15238952636719) (792,72.02637481689453) (342,71.98101806640625)* (457,71.95626831054688) (302,71.9361572265625)* (294,71.88505554199219)
9: (9013,72.45372772216797) (2944,71.84971618652344) (930,71.65493774414062) (518,71.4447021484375) (1910,71.40797424316406) (1919,71.11981964111328) (8292,70.9154281616211) (2104,70.91301727294922) (754,70.8215560913086) (503,70.77621459960938) (4335,70.67732238769531) (968,70.61909484863281) (2100,70.46868896484375) (2428,70.35846710205078) (1114,70.31979370117188) (5575,70.24075317382812) (390,70.22117614746094)* (7160,70.21527862548828) (378,70.01444244384766)* (3324,69.95850372314453)
10: (225,73.77471923828125)* (618,73.30735778808594) (207,72.73323059082031) (1090,72.6701889038086) (217,72.65467071533203)* (1400,72.61116027832031) (615,72.37784576416016) (223,72.20418548583984) (5027,72.14409637451172) (5414,72.13214111328125) (2277,71.96831512451172) (1515,71.95523071289062) (227,71.94474029541016) (1390,71.93108367919922) (2538,71.9041519165039) (3797,71.88645935058594) (195,71.8635482788086) (419,71.86257934570312)* (1424,71.84911346435547) (236,71.81678771972656)
11: (295,70.56439208984375)* (300,70.11444091796875)* (89,70.10077667236328)* (257,70.08394622802734) (333,70.06493377685547) (302,69.64138793945312) (475,69.61431121826172)* (701,69.58563995361328) (388,69.26972961425781) (5988,68.97498321533203) (306,68.9658432006836)* (291,68.92349243164062) (329,68.88079071044922)* (161,68.83357238769531) (793,68.81092834472656) (498,68.5924301147461) (299,68.54396057128906) (377,68.48119354248047) (310,68.42853546142578) (907,68.38471221923828)
12: (1104,67.98330688476562) (930,67.65410614013672) (1044,67.40763092041016) (173,67.31576538085938) (190,67.22551727294922) (7,67.18212890625) (1179,67.03836822509766) (490,66.73397827148438)* (978,66.6978988647461) (500,66.63817596435547)* (1854,66.58192443847656) (498,66.55835723876953)* (209,66.51819610595703) (2978,66.44281768798828) (1714,66.43112182617188) (65,66.20645141601562) (65,66.20645141601562) (1672,66.15168762207031) (1180,66.07940673828125) (726,65.99504089355469)
