userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,59.14292907714844) (51,58.929534912109375)* (1073,58.370018005371094) (3501,57.9581413269043) (1098,57.845367431640625) (1892,57.84344482421875) (238,57.78467559814453) (187,57.74797821044922) (1014,57.695648193359375) (6930,57.506004333496094) (157,57.48530197143555) (3201,57.45361328125) (70,57.34080505371094)* (155,57.183284759521484) (3768,57.1724967956543) (3992,57.14705276489258) (993,57.117950439453125) (1072,57.10118103027344) (1399,57.06779098510742) (59,57.059383392333984)*
3: (7694,45.22249221801758) (9587,44.993560791015625) (7015,44.91295623779297) (14768,44.21635437011719) (14766,44.188087463378906) (9722,43.985652923583984) (14782,43.87299728393555) (14752,43.86077117919922) (14751,43.78035354614258) (14765,43.71221923828125) (14753,43.69353485107422) (14781,43.65704345703125) (8390,43.65537643432617) (10548,43.57270812988281) (14754,43.52839279174805) (14759,43.48350143432617) (14769,43.452003479003906) (14767,43.32691192626953) (9728,43.259742736816406) (2667,43.25922775268555)
4: (67,58.91429138183594) (67,58.91429138183594) (1104,58.87980651855469) (518,58.666786193847656) (190,58.64555740356445)* (959,58.09434127807617) (930,57.985748291015625) (89,57.90602111816406) (7,57.88853073120117) (506,57.861656188964844) (172,57.845054626464844)* (378,57.81605529785156) (377,57.76401901245117) (955,57.72976303100586) (1114,57.580909729003906) (511,57.561031341552734) (159,57.4300651550293)* (1001,57.4195556640625) (2014,57.40877151489258) (961,57.396732330322266)
5: (429,58.44209671020508) (709,58.414947509765625) (441,58.29315185546875) (163,58.24820327758789) (436,58.19755554199219) (159,57.99625778198242) (88,57.953269958496094) (1090,57.9117317199707) (599,57.870994567871094) (859,57.8640022277832) (424,57.85794448852539) (418,57.60005569458008) (614,57.57942199707031) (1504,57.57699203491211) (533,57.5415153503418) (56,57.45689392089844) (56,57.45689392089844) (1976,57.439453125) (65,57.31199264526367) (65,57.31199264526367)
6: (3063,52.16228103637695) (5249,52.108367919921875) (4701,52.1060676574707) (14540,52.062862396240234) (8372,52.02769088745117) (787,51.98467254638672) (913,51.79939270019531) (1936,51.7901496887207) (2179,51.774871826171875) (1127,51.724510192871094) (2180,51.60532760620117) (157,51.59917068481445) (266,51.58426284790039)* (295,51.53980255126953) (1443,51.512939453125) (289,51.501949310302734) (251,51.441402435302734)* (1433,51.420719146728516) (3060,51.41535949707031) (11084,51.411834716796875)
7: (292,51.70156478881836)* (701,51.21580505371094) (55,50.92887496948242)* (466,50.92375564575195) (349,50.8669319152832) (302,50.776180267333984)* (333,50.703033447265625)* (461,50.649932861328125) (318,50.457183837890625)* (352,50.40728759765625) (161,50.39654541015625) (523,50.182411193847656) (525,50.038970947265625) (544,50.023048400878906) (455,49.8736457824707) (157,49.87349319458008) (290,49.86696243286133)* (679,49.85732650756836) (386,49.81330490112305) (686,49.786441802978516)
8: (67,53.42209243774414) (67,53.42209243774414) (786,53.09532165527344) (55,52.941383361816406) (909,52.917869567871094) (8718,52.90322494506836) (4880,52.89695358276367) (291,52.83530044555664)* (465,52.75623321533203) (455,52.700439453125) (7136,52.501487731933594) (13265,52.48365020751953) (2059,52.44973373413086) (2067,52.40898132324219) (333,52.36330795288086) (637,52.35707473754883) (2076,52.33671951293945) (157,52.31878662109375) (638,52.31315994262695) (800,52.24400329589844)
9: (475,54.1138801574707) (483,53.71915054321289) (2098,53.623600006103516) (396,53.41558074951172)* (1859,53.34910202026367) (2512,53.33694076538086) (2100,53.258628845214844) (2101,53.25502395629883) (2086,53.23991775512695) (388,53.192657470703125)* (2096,53.08776092529297) (2655,52.95010757446289) (480,52.93484878540039) (1857,52.83902359008789) (2092,52.83708190917969) (2922,52.767024993896484) (5041,52.73640060424805) (4558,52.725547790527344) (5575,52.71971893310547) (8392,52.66032791137695)
10: (207,59.085289001464844) (225,58.63373565673828)* (1090,58.446510314941406) (227,58.38140869140625) (1400,58.20106506347656) (217,58.04208755493164)* (618,57.95757293701172) (709,57.917667388916016) (441,57.743797302246094)* (206,57.724159240722656) (1390,57.715457916259766) (222,57.68102264404297) (1239,57.62640380859375) (1106,57.608177185058594) (203,57.48833084106445) (703,57.431640625) (210,57.420284271240234) (65,57.397647857666016) (65,57.397647857666016) (190,57.3536262512207)
11: (89,54.90087890625)* (300,54.83130645751953)* (295,54.730308532714844)* (333,54.53969955444336) (291,54.152748107910156) (386,54.12615203857422) (2094,54.11656188964844) (318,53.98426818847656) (302,53.95305252075195) (701,53.9156608581543) (306,53.813987731933594)* (161,53.80158615112305) (257,53.795047760009766) (375,53.774940490722656) (290,53.75113296508789) (544,53.59827423095703) (299,53.58155822753906) (498,53.56537628173828) (908,53.463462829589844) (374,53.44020080566406)
12: (1854,54.81957244873047) (1104,54.71182632446289) (190,54.54485321044922) (2014,54.41079330444336) (209,54.38746643066406) (7,54.3143310546875) (537,54.148284912109375) (498,54.12458419799805)* (5079,54.061580657958984) (930,54.05360412597656) (490,54.02939224243164)* (1091,53.835880279541016) (966,53.81279373168945) (2432,53.726497650146484) (500,53.693458557128906)* (1180,53.58256149291992) (1179,53.5758056640625) (1044,53.566566467285156) (3367,53.56062316894531) (1797,53.53712463378906)
13: (288,54.32299041748047) (289,53.277061462402344) (306,53.262298583984375) (701,53.04123306274414) (302,52.57225799560547)* (328,52.33234786987305)* (475,52.170799255371094) (1037,52.06996536254883) (679,51.846920013427734) (331,51.81290054321289) (2083,51.77604675292969) (291,51.774375915527344) (349,51.75990676879883)* (1934,51.74995040893555) (907,51.69041442871094) (157,51.62092971801758) (377,51.61231994628906) (301,51.54654312133789) (329,51.52451705932617) (704,51.50224304199219)
14: (270,53.81031799316406) (2419,53.621604919433594) (12115,53.485877990722656) (5810,53.34104537963867) (8110,53.27132797241211) (1763,53.26417922973633) (1779,53.22614669799805) (1553,53.19284439086914) (1756,53.15500259399414) (1770,53.153480529785156) (1758,53.1113395690918) (8594,53.10335922241211) (8837,52.992881774902344) (5627,52.989505767822266) (261,52.94110107421875) (1242,52.86286163330078) (7554,52.76420593261719) (1421,52.75638198852539) (9700,52.73849868774414) (8824,52.73140335083008)
