userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,52.79021453857422)* (1001,52.75762939453125) (187,52.40057373046875) (1073,51.84886932373047) (59,51.71406555175781)* (997,51.6760368347168) (3201,51.58904266357422) (1014,51.57904052734375) (1013,51.575965881347656) (1098,51.54730224609375) (998,51.487403869628906) (1892,51.487274169921875) (157,51.4640998840332) (3768,51.35833740234375) (193,51.30999755859375) (3303,51.30072021484375) (993,51.288414001464844) (601,51.25959014892578) (1062,51.16664505004883) (877,51.15925598144531)
3: (13827,54.31636428833008) (7963,53.876644134521484) (8390,53.607208251953125) (5874,53.297855377197266) (4181,52.99470520019531) (2667,52.905799865722656) (7015,52.89491271972656) (16748,52.8931999206543) (7694,52.83394241333008) (10005,52.78284454345703) (9996,52.69068908691406) (10013,52.65663528442383) (10000,52.645721435546875) (10006,52.628108978271484) (9995,52.624656677246094) (3703,52.60520935058594) (9999,52.587989807128906) (9998,52.58600997924805) (14742,52.567527770996094) (10004,52.549808502197266)
4: (190,52.93101501464844)* (511,52.702903747558594) (1713,52.47032165527344) (930,52.42783737182617) (1104,52.414894104003906) (172,52.35969543457031)* (1001,52.24921417236328) (518,52.215721130371094) (959,52.15538787841797) (378,52.09370803833008) (70,52.08274841308594)* (159,52.038326263427734)* (1072,52.029266357421875) (166,51.906646728515625)* (229,51.79463577270508) (7,51.79310989379883) (30,51.75043487548828) (877,51.750152587890625) (67,51.74620056152344) (67,51.74620056152344)
5: (429,48.562721252441406) (709,48.04213333129883) (441,47.99840545654297) (159,47.997806549072266) (599,47.99480438232422) (436,47.994651794433594) (857,47.96987533569336) (863,47.91374969482422) (859,47.87745666503906) (163,47.762176513671875) (533,47.705909729003906) (615,47.663970947265625) (424,47.59975051879883) (1504,47.401153564453125) (418,47.39840316772461) (868,47.3978271484375) (614,47.3809700012207) (220,47.33306121826172)* (1090,47.328636169433594) (735,47.315372467041016)
6: (1694,52.05406951904297) (8975,51.742855072021484) (9271,51.72103500366211) (7869,51.620906829833984) (266,51.51664733886719)* (157,51.42229080200195) (913,51.153324127197266) (8991,51.001441955566406) (251,50.95668411254883)* (67,50.92732238769531) (67,50.92732238769531) (1740,50.84397888183594) (69,50.81904602050781) (69,50.81904602050781) (1427,50.78593826293945) (1834,50.728843688964844) (301,50.664981842041016) (1641,50.63858413696289) (2220,50.61615753173828) (289,50.54677200317383)
7: (292,50.62003707885742)* (701,50.57349395751953) (349,50.25247573852539) (466,50.24793243408203) (333,50.24315643310547)* (461,50.207786560058594) (302,50.203033447265625)* (55,50.04541015625)* (679,49.80253982543945) (344,49.6575813293457) (318,49.63229751586914)* (523,49.623382568359375) (525,49.55603790283203) (544,49.52881622314453) (161,49.476131439208984) (352,49.4385986328125) (913,49.38948440551758) (157,49.38676452636719) (903,49.081417083740234) (468,48.99998474121094)
8: (455,53.733551025390625) (161,53.71623229980469) (701,53.538673400878906) (157,53.375244140625) (67,53.23955535888672) (67,53.23955535888672) (641,53.17889404296875) (291,53.160160064697266)* (302,53.05274963378906)* (479,53.04073715209961) (457,52.98016357421875) (333,52.97980499267578) (306,52.7855224609375) (913,52.76570510864258) (294,52.728607177734375) (1475,52.716156005859375) (55,52.7060432434082) (310,52.65422821044922) (465,52.64674758911133) (461,52.6083869934082)
9: (930,61.652130126953125) (2428,61.30242156982422) (475,61.26106262207031) (2096,61.18229293823242) (754,61.01839828491211) (1797,60.9593505859375) (2944,60.88749694824219) (1859,60.85439682006836) (396,60.832706451416016)* (1910,60.820350646972656) (5076,60.80434799194336) (518,60.782501220703125) (1339,60.63679122924805) (1114,60.631202697753906) (378,60.630645751953125)* (497,60.58766555786133) (9013,60.5282096862793) (1919,60.52732849121094) (726,60.48236083984375) (1044,60.417816162109375)
10: (225,50.68266677856445)* (207,50.51455307006836) (1090,50.401588439941406) (227,50.186317443847656) (1400,50.12875747680664) (217,50.00889587402344)* (203,49.96603012084961) (441,49.95506286621094)* (1390,49.954078674316406) (533,49.80162048339844) (65,49.70124816894531) (65,49.70124816894531) (615,49.64527130126953) (716,49.63039016723633) (190,49.609554290771484) (1239,49.576416015625) (1048,49.559810638427734) (1424,49.50164794921875) (2277,49.48779296875) (1106,49.45893096923828)
11: (89,51.020938873291016)* (300,50.81696701049805)* (333,50.72428512573242) (295,50.65895080566406)* (306,50.5550537109375)* (701,50.484962463378906) (291,50.32325744628906) (475,50.29020690917969)* (302,50.261871337890625) (161,50.09104537963867) (310,49.991722106933594) (257,49.96705627441406) (329,49.887813568115234)* (907,49.842708587646484) (679,49.7650032043457) (2179,49.59001922607422) (378,49.5736083984375) (913,49.54408645629883) (360,49.48146057128906) (498,49.48025894165039)
12: (7,59.41733932495117) (1104,59.29481887817383) (930,59.07333755493164) (1044,58.92267990112305) (190,58.861209869384766) (1854,58.788352966308594) (198,58.73554229736328) (498,58.580726623535156)* (2014,58.46369171142578) (490,58.4403076171875)* (1179,58.371498107910156) (209,58.37049102783203) (405,58.319332122802734)* (5079,58.23969650268555) (1672,58.17481231689453) (475,58.05964660644531) (1714,57.98573684692383) (173,57.98421859741211) (726,57.944862365722656) (707,57.90334701538086)
13: (289,53.438514709472656) (306,53.360450744628906) (288,53.18313980102539) (701,52.77267074584961) (302,52.723533630371094)* (328,52.49772644042969)* (679,52.40232849121094) (475,52.203163146972656) (903,52.161556243896484) (344,52.15726089477539)* (349,52.140621185302734)* (704,52.13175582885742) (291,52.03653335571289) (293,51.99992752075195) (157,51.991722106933594) (464,51.955875396728516) (680,51.91855239868164) (1037,51.89271545410156) (329,51.83523178100586) (331,51.819610595703125)
