userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,74.55168914794922) (187,73.03765869140625) (51,72.87222290039062)* (1713,72.80648803710938) (3501,72.65637969970703) (1073,72.46194458007812) (157,72.06377410888672) (238,71.9781265258789) (1098,71.9620361328125) (1394,71.91475677490234) (1795,71.90744018554688) (3992,71.90199279785156) (511,71.79154205322266) (1014,71.66934204101562) (1379,71.54679870605469) (1892,71.3944091796875) (70,71.37683868408203)* (175,71.3460693359375) (61,71.24837493896484)* (59,71.24139404296875)*
3: (1943,67.49752807617188) (4888,66.97237396240234) (3862,66.8370132446289) (1770,66.70598602294922) (7694,66.59687042236328) (2667,66.59278869628906) (6887,66.45368957519531) (9388,66.39387512207031) (2702,66.26154327392578) (7963,66.21409606933594) (3703,66.10189819335938) (10548,66.08646392822266) (6052,66.08534240722656) (762,65.99795532226562) (780,65.98741149902344) (7015,65.81311798095703) (9585,65.75045013427734) (11265,65.72584533691406) (5970,65.71928405761719) (691,65.67378234863281)
4: (190,66.8446273803711)* (511,66.75175476074219) (1713,66.7112045288086) (727,66.60588073730469) (63,66.60244750976562) (63,66.60244750976562) (86,66.53268432617188) (1795,66.45549011230469) (1001,66.37769317626953) (377,66.33499145507812) (726,66.27139282226562) (70,66.22116088867188)* (1104,66.2031021118164) (518,66.15995025634766) (3047,66.15324401855469) (959,66.1181640625) (10182,66.09969329833984) (378,66.03501892089844) (238,65.73149871826172) (227,65.7020034790039)
5: (418,69.8651123046875) (65,68.80244445800781) (65,68.80244445800781) (436,68.56086730957031) (533,68.37449645996094) (1090,68.36642456054688) (602,68.32501220703125) (424,68.30963134765625) (429,68.26422882080078) (3057,68.20018768310547) (1239,68.19612121582031) (220,68.18879699707031)* (618,68.07772064208984) (163,68.02597045898438) (425,67.98592376708984) (223,67.97683715820312)* (88,67.964111328125) (615,67.93392944335938) (441,67.87105560302734) (81,67.85599517822266)
6: (157,70.15801239013672) (266,70.06195831298828)* (11445,69.86100006103516) (578,69.68881225585938) (12243,69.68311309814453) (3313,69.52898406982422) (1427,69.50955200195312) (2226,69.323974609375) (7545,69.30111694335938) (67,69.13139343261719) (67,69.13139343261719) (289,69.08853912353516) (295,69.04788970947266) (576,69.04075622558594) (701,69.03929901123047) (1620,69.02766418457031) (288,68.97969818115234) (1825,68.95557403564453) (2179,68.91641235351562) (306,68.89553833007812)
7: (292,71.02812957763672)* (333,70.63448333740234)* (466,70.3980484008789) (302,70.13652801513672)* (55,69.81060791015625)* (701,69.73210906982422) (461,69.58641815185547) (679,69.58174133300781) (349,69.1954345703125) (344,69.08964538574219) (680,68.99417877197266) (352,68.87117767333984) (525,68.85224151611328) (1934,68.78247833251953) (704,68.60499572753906) (523,68.42774963378906) (903,68.41683197021484) (318,68.36519622802734)* (1243,68.28165435791016) (686,68.20411682128906)
8: (788,72.22184753417969) (2396,71.9747085571289) (786,71.6555404663086) (2395,71.34133911132812) (2019,71.32192993164062) (795,71.08334350585938) (637,71.07990264892578) (2454,71.07535552978516) (67,70.83280944824219) (67,70.83280944824219) (465,70.78086853027344) (792,70.74935150146484) (2059,70.73100280761719) (4817,70.59183502197266) (455,70.435302734375) (11084,70.37673950195312) (4700,70.36467742919922) (333,70.33102416992188) (7290,70.32975769042969) (791,70.2929916381836)
9: (388,72.07423400878906)* (475,70.55338287353516) (1104,70.3896484375) (754,70.16000366210938) (7,69.96949005126953) (344,69.95001983642578) (4502,69.94073486328125) (2500,69.92317962646484) (9013,69.89567565917969) (2512,69.8114242553711) (707,69.77144622802734) (2092,69.75863647460938) (2101,69.7427749633789) (2094,69.68951416015625) (6257,69.64252471923828) (463,69.59485626220703) (2944,69.54826354980469) (945,69.53813934326172) (1904,69.47416687011719) (198,69.42325592041016)
10: (217,73.57212829589844)* (225,72.95429229736328)* (207,72.7697525024414) (1390,72.52157592773438) (1515,72.35587310791016) (1090,72.18080139160156) (1048,71.9712905883789) (618,71.91165924072266) (1400,71.86882019042969) (1239,71.83810424804688) (419,71.73570251464844)* (716,71.72077941894531) (2815,71.68325805664062) (227,71.53744506835938) (195,71.51517486572266) (3030,71.46463012695312) (210,71.41816711425781) (1512,71.30354309082031) (1106,71.24200439453125) (223,71.23218536376953)
11: (545,68.28770446777344) (333,68.15442657470703) (300,67.83883666992188)* (295,67.49292755126953)* (475,67.45885467529297)* (89,67.4171371459961)* (458,67.35427856445312)* (306,67.26642608642578)* (291,67.1639404296875) (907,67.10958099365234) (302,66.89275360107422) (701,66.88463592529297) (5988,66.8799819946289) (679,66.8319320678711) (331,66.75100708007812) (161,66.74594116210938) (257,66.6806640625) (321,66.62721252441406) (318,66.58979034423828) (1613,66.50395202636719)
12: (1854,72.48635864257812) (1874,71.56904602050781) (1104,71.54190063476562) (930,71.47735595703125) (173,71.44326782226562) (190,71.3936767578125) (10430,71.25960540771484) (498,71.14584350585938)* (500,71.11073303222656)* (209,71.08973693847656) (1044,70.99868774414062) (1180,70.84821319580078) (2014,70.80276489257812) (1672,70.77042388916016) (7,70.74211883544922) (1704,70.61932373046875) (1091,70.53279113769531) (726,70.5085678100586) (3240,70.50663757324219) (536,70.50532531738281)
13: (288,73.04350280761719) (289,72.39803314208984) (306,72.00618743896484) (1037,71.78324127197266) (302,71.42527770996094)* (701,71.2163314819336) (377,71.06575012207031) (704,71.03887939453125) (680,70.97265625) (475,70.89436340332031) (328,70.6339111328125)* (903,70.60763549804688) (56,70.55351257324219) (56,70.55351257324219) (679,70.36925506591797) (291,70.35968017578125) (1032,70.3492660522461) (349,70.25462341308594)* (464,70.21640014648438) (1034,70.2146224975586)
14: (286,69.76637268066406) (13929,68.43051147460938) (227,68.32376098632812) (245,68.20693969726562) (2419,68.17465209960938) (3019,68.16181945800781) (7525,68.10029602050781) (2893,67.83956909179688) (7554,67.80371856689453) (2040,67.77677154541016) (2629,67.69793701171875) (582,67.67385864257812)* (585,67.47457885742188)* (7544,67.46324157714844) (7527,67.4585189819336) (7541,67.39126586914062) (735,67.38018035888672) (10358,67.37703704833984) (857,67.3640365600586) (4251,67.36267852783203)
15: (433,70.23226165771484) (2408,70.15280151367188) (418,70.08432006835938) (199,70.0360107421875) (81,69.94770812988281) (206,69.94279479980469) (715,69.89971160888672) (196,69.8598861694336) (445,69.85211181640625) (231,69.81478881835938) (858,69.75346374511719) (53,69.68403625488281) (53,69.68403625488281) (604,69.63653564453125)* (4532,69.56333923339844) (6151,69.54454040527344) (3905,69.41456604003906) (748,69.39900207519531) (8706,69.35559844970703) (197,69.34756469726562)*
