userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,52.11122512817383) (187,51.821678161621094) (51,51.41986083984375)* (4308,51.07745361328125) (1014,50.92869186401367) (3768,50.915035247802734) (993,50.868438720703125) (59,50.8302001953125)* (3201,50.75776290893555) (1073,50.625492095947266) (1892,50.50539016723633) (1713,50.48345184326172) (1098,50.47909164428711) (1394,50.4178352355957) (7885,50.338233947753906) (1013,50.29681396484375) (3501,50.20347213745117) (1062,50.1833610534668) (998,50.125022888183594) (157,50.082603454589844)
3: (7963,52.78969955444336) (7955,52.3931884765625) (7958,52.37629318237305) (16256,52.261688232421875) (7954,52.23275375366211) (16237,51.82257843017578) (16229,51.77973937988281) (16258,51.77616500854492) (11878,51.742774963378906) (16244,51.67824935913086) (16252,51.65491485595703) (16242,51.640892028808594) (16250,51.62898254394531) (16245,51.621639251708984) (16234,51.615962982177734) (16230,51.60858154296875) (16251,51.60541915893555) (15845,51.60328674316406) (16246,51.597869873046875) (16241,51.5922737121582)
4: (959,51.441551208496094) (190,50.92401885986328)* (1713,50.89993667602539) (511,50.72835159301758) (533,50.51184844970703) (1001,50.4589958190918) (1791,50.44135284423828) (159,50.315467834472656)* (227,50.297733306884766) (1098,50.01314163208008) (70,49.98113250732422)* (67,49.8995361328125) (67,49.8995361328125) (229,49.850528717041016) (63,49.82429122924805) (63,49.82429122924805) (1379,49.794979095458984) (166,49.72794723510742)* (1079,49.703224182128906) (1394,49.65439987182617)
5: (424,59.18634033203125) (533,59.1254997253418) (1090,58.72892379760742) (418,58.591514587402344) (220,58.488380432128906)* (65,58.44917678833008) (65,58.44917678833008) (163,58.39143753051758) (436,58.23971176147461) (159,58.203956604003906) (602,58.16543197631836) (615,57.991981506347656) (429,57.89484405517578) (868,57.87586212158203) (614,57.868412017822266) (428,57.86073684692383) (88,57.8161506652832) (439,57.78940963745117) (709,57.70456314086914) (982,57.667484283447266)
6: (4710,58.485469818115234) (2220,58.01192092895508) (1841,57.988502502441406) (9907,57.933258056640625) (8071,57.71150588989258) (12406,57.63985824584961) (1935,57.40496063232422) (322,57.38005065917969) (266,57.373226165771484)* (9904,57.34337615966797) (8991,57.32054901123047) (4566,57.31891632080078) (9905,57.254608154296875) (11078,57.24686813354492) (301,57.1972770690918) (260,57.178951263427734)* (9901,57.16265106201172) (468,57.148681640625) (157,57.132843017578125) (310,57.10565185546875)
7: (292,58.919151306152344)* (701,58.51962661743164) (333,58.481048583984375)* (302,58.4121208190918)* (466,58.33833312988281) (55,58.320960998535156)* (349,58.223819732666016) (461,57.86813735961914) (468,57.724552154541016) (544,57.71177291870117) (543,57.68651580810547) (679,57.684234619140625) (1042,57.64500427246094) (327,57.60292053222656)* (317,57.51652526855469)* (1032,57.3726806640625) (525,57.349830627441406) (523,57.33719253540039) (1037,57.29845428466797) (318,57.27195358276367)*
8: (792,60.19423294067383) (701,59.871700286865234) (67,59.82651901245117) (67,59.82651901245117) (2523,59.76869583129883) (455,59.767696380615234) (157,59.547306060791016) (641,59.508602142333984) (479,59.467872619628906) (291,59.285579681396484)* (253,59.2634391784668) (786,59.22061538696289) (333,59.18903350830078) (302,59.16594696044922)* (161,59.12986755371094) (55,59.126060485839844) (457,59.06732940673828) (909,58.982810974121094) (180,58.96665573120117) (679,58.94356918334961)
9: (930,65.595458984375) (396,65.4681396484375)* (9013,65.39293670654297) (2944,65.11561584472656) (518,64.9092788696289) (5093,64.84944915771484) (5087,64.83943939208984) (9746,64.78855895996094) (1857,64.72787475585938) (1797,64.66497802734375) (1705,64.46343231201172) (3193,64.41842651367188) (2086,64.4145736694336) (1919,64.40840911865234) (968,64.38250732421875) (2512,64.35839080810547) (2428,64.34406280517578) (2104,64.24040222167969) (6056,64.17980194091797) (2014,64.1370620727539)
10: (207,52.05229187011719) (217,51.962589263916016)* (225,51.488067626953125)* (1090,51.46175765991211) (1400,51.416507720947266) (1390,51.16556167602539) (227,51.08156967163086) (210,50.977291107177734) (65,50.877586364746094) (65,50.877586364746094) (1048,50.824466705322266) (618,50.74924087524414) (1106,50.737117767333984) (533,50.71942901611328) (195,50.71839904785156) (223,50.696922302246094) (703,50.69038391113281) (1239,50.65464782714844) (3030,50.56196975708008) (1632,50.55634689331055)
11: (89,65.99359893798828)* (295,65.79915618896484)* (333,65.70462799072266) (300,65.68954467773438)* (302,65.234619140625) (291,65.18946838378906) (257,65.16511535644531) (701,65.15945434570312) (378,64.86500549316406) (306,64.84217071533203)* (55,64.77169036865234) (161,64.45913696289062) (299,64.39514923095703) (679,64.39437866210938) (310,64.35639190673828) (498,64.22362518310547) (475,64.15509796142578)* (329,64.05052947998047)* (328,63.90507125854492) (966,63.847068786621094)
12: (1854,56.681907653808594) (1044,56.250953674316406) (1104,55.98466491699219) (7,55.79727554321289) (198,55.62290954589844) (1672,55.504390716552734) (209,55.32323455810547) (966,55.21765899658203) (3946,55.0825309753418) (1714,55.03803634643555) (490,55.0166130065918)* (498,54.95136642456055)* (2014,54.900672912597656) (930,54.88520431518555) (5079,54.852210998535156) (978,54.804569244384766) (1091,54.754817962646484) (500,54.7425651550293)* (371,54.73973083496094) (536,54.71137619018555)
13: (289,52.00440979003906) (288,51.93113708496094) (302,51.4242057800293)* (306,51.42229080200195) (701,51.12242126464844) (291,50.934017181396484) (679,50.91238021850586) (328,50.61740493774414)* (349,50.5212287902832)* (257,50.36316680908203) (704,50.20404815673828) (293,50.16879653930664) (157,50.145633697509766) (680,50.14170455932617) (329,50.11443328857422) (301,50.08696365356445) (523,50.070899963378906)* (1934,50.025081634521484) (344,50.01220703125)* (903,49.98625564575195)
14: (2902,64.728759765625) (2419,64.54357147216797) (1427,64.52434539794922) (8812,64.51597595214844) (11124,64.51270294189453) (7056,64.35345458984375) (266,64.17530059814453) (582,63.96363067626953)* (8110,63.946990966796875) (1845,63.928836822509766) (610,63.91773223876953) (6165,63.85062789916992) (1834,63.80081558227539) (613,63.73158645629883) (2292,63.66728973388672) (11919,63.61246871948242) (11927,63.60102844238281) (2265,63.53203201293945) (8121,63.52855682373047) (8824,63.51599884033203)
15: (163,63.253204345703125) (197,62.54176712036133)* (1504,62.45286178588867) (868,62.25880432128906) (1639,62.17790603637695) (748,62.13467025756836) (1412,62.08513641357422) (206,62.05299377441406) (863,62.02265930175781) (578,61.95701599121094) (418,61.951255798339844) (554,61.88582992553711) (1709,61.709896087646484) (735,61.69770050048828) (3778,61.546138763427734) (1426,61.503448486328125) (11124,61.484554290771484) (859,61.482582092285156) (630,61.48072052001953)* (4123,61.4702033996582)
