userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,66.58647155761719)* (175,65.37803649902344) (187,64.90553283691406) (1001,64.88278198242188) (7157,64.47735595703125) (877,64.34078979492188) (59,64.18665313720703)* (1713,64.17733764648438) (1014,64.14742279052734) (511,64.12152099609375) (2044,63.905189514160156) (3501,63.846500396728516) (1061,63.79167175292969) (880,63.76355743408203) (193,63.76264190673828) (1013,63.68028259277344) (1073,63.56485366821289) (389,63.55927276611328) (993,63.483253479003906) (4037,63.448429107666016)
3: (3703,54.626651763916016) (7565,54.1096076965332) (10008,53.76786804199219) (5874,53.751461029052734) (1943,53.56125259399414) (767,53.40202713012695) (6667,53.28337478637695) (2667,53.269676208496094) (6004,53.07770538330078) (744,52.86013412475586) (7485,52.83726501464844) (1222,52.7752799987793) (5326,52.592498779296875) (2673,52.52064895629883) (8390,52.458343505859375) (4508,52.4474983215332) (6326,52.44532012939453) (4232,52.44028854370117) (749,52.404659271240234) (2923,52.30251693725586)
4: (190,64.85724639892578)* (511,64.85094451904297) (518,64.56922912597656) (930,64.3876724243164) (67,64.20794677734375) (67,64.20794677734375) (1098,64.05715942382812) (1104,63.864097595214844) (389,63.86172103881836) (378,63.795204162597656) (81,63.718666076660156) (1464,63.681949615478516) (1109,63.51728057861328) (89,63.35746765136719) (959,63.348793029785156) (7157,63.28558349609375) (2014,63.260955810546875) (289,63.24775695800781) (377,63.23439025878906) (159,63.13515090942383)*
5: (709,66.9253158569336) (1976,66.62100219726562) (436,66.59073638916016) (429,66.58373260498047) (1510,66.44622039794922) (424,66.43024444580078) (220,66.11923217773438)* (441,66.11607360839844) (1090,65.94383239746094) (615,65.92052459716797) (4079,65.9110107421875) (533,65.7452163696289) (88,65.71635437011719) (858,65.70935821533203) (231,65.64164733886719)* (2823,65.55473327636719) (65,65.53501892089844) (65,65.53501892089844) (562,65.51216888427734) (163,65.50411987304688)
6: (12254,60.51293182373047) (5789,58.80934524536133) (12243,58.358863830566406) (8372,58.352203369140625) (4467,58.24508285522461) (7239,58.217716217041016) (2180,58.197425842285156) (8161,57.82381820678711) (266,57.80508804321289)* (1772,57.688716888427734) (301,57.652099609375) (295,57.45650863647461) (3387,57.41910171508789) (1936,57.41863250732422) (2047,57.36984634399414) (9169,57.32486343383789) (7203,57.27781295776367) (11076,57.248722076416016) (12406,57.22169876098633) (12407,57.16718292236328)
7: (292,58.92120361328125)* (466,58.36669921875) (302,57.99629211425781)* (333,57.96446228027344)* (701,57.85493850708008) (349,57.73276138305664) (55,57.41067123413086)* (1032,57.133689880371094) (352,57.11685562133789) (468,57.08063507080078) (327,57.027095794677734)* (344,56.91865539550781) (1042,56.902671813964844) (290,56.900482177734375)* (525,56.850311279296875) (475,56.81819534301758) (461,56.746315002441406) (161,56.69319534301758) (458,56.56597137451172) (528,56.56161117553711)
8: (461,65.22193908691406) (161,64.91947937011719) (299,64.87480163574219) (701,64.78591918945312) (290,64.78175354003906) (67,64.77256774902344) (67,64.77256774902344) (3576,64.66973876953125) (296,64.64781951904297)* (55,64.62306213378906) (325,64.59478759765625) (2523,64.26514434814453) (786,64.26411437988281) (302,64.21621704101562)* (466,64.05323028564453) (479,63.962379455566406) (291,63.95896530151367)* (310,63.95183181762695) (306,63.950767517089844) (680,63.90424728393555)
9: (289,61.88003921508789) (475,61.815731048583984) (89,61.48659133911133) (1104,61.45964813232422) (1066,61.39386749267578) (754,61.35402297973633) (2944,61.078514099121094) (968,61.062320709228516) (7,61.01436996459961) (2101,61.00168991088867) (953,60.88890838623047) (487,60.717262268066406) (288,60.70127487182617) (930,60.696502685546875) (295,60.69383239746094) (2092,60.67216873168945) (498,60.64057540893555) (972,60.6107177734375) (2500,60.58247756958008) (45,60.470703125)
10: (225,63.3232536315918)* (615,63.09833526611328) (207,63.021759033203125) (217,62.706504821777344)* (441,62.70024490356445)* (1090,62.65085983276367) (2277,62.607051849365234) (195,62.5890998840332) (227,62.3058967590332) (1106,62.30025100708008) (222,62.17218017578125) (223,62.12468719482422) (190,62.11686325073242) (1400,62.103355407714844) (618,62.090335845947266) (1048,61.991798400878906) (1424,61.945743560791016) (206,61.942752838134766) (1390,61.86616134643555) (703,61.747066497802734)
11: (306,63.914588928222656)* (295,63.86958312988281)* (475,63.74320983886719)* (257,63.09465026855469) (299,62.74958801269531) (161,62.7311897277832) (302,62.628421783447266) (89,62.5254020690918)* (701,62.46089553833008) (310,62.3676872253418) (907,62.3606071472168) (913,62.3491096496582) (329,62.335418701171875)* (327,62.33147430419922)* (545,62.279327392578125) (1444,62.255760192871094) (320,62.22343444824219) (498,62.12711715698242) (333,62.0925178527832) (300,62.07835006713867)*
12: (1104,65.25225830078125) (930,65.14961242675781) (498,64.36396789550781)* (190,64.1429672241211) (209,64.11103820800781) (3367,64.0594253540039) (7,63.907997131347656) (89,63.69017028808594) (2014,63.68281173706055) (5079,63.623958587646484) (405,63.572113037109375)* (1854,63.47123336791992) (5459,63.37667465209961) (726,63.1807861328125) (1044,63.08249282836914) (536,63.04120635986328) (704,62.90718078613281) (1179,62.836883544921875) (1406,62.81938171386719) (1184,62.79949188232422)
