userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,64.08512878417969) (187,63.5308723449707) (51,63.48228454589844)* (1073,63.38427734375) (3992,63.11385726928711) (1824,62.50410461425781) (59,62.428619384765625)* (1098,62.28968811035156) (1167,62.03181838989258) (1892,61.94208908081055) (1713,61.92414855957031) (61,61.74566650390625)* (1109,61.70138931274414) (175,61.68661880493164) (1464,61.62046813964844) (1848,61.41236114501953) (157,61.393287658691406) (4308,61.30300521850586) (1072,61.292381286621094) (3201,61.256954193115234)
3: (2244,58.07617950439453) (1226,57.794219970703125) (11193,57.753631591796875) (1548,57.56224060058594) (749,57.081233978271484) (1255,57.008888244628906) (747,56.97477722167969) (5327,56.786842346191406) (3166,56.786312103271484) (751,56.67490005493164) (3133,56.55022048950195) (10008,56.435211181640625) (3703,56.43028259277344) (138,56.427146911621094)* (3028,56.36775588989258) (1770,55.9425163269043) (4009,55.8344612121582) (767,55.78702926635742) (745,55.74463653564453) (782,55.677085876464844)
4: (506,64.64541625976562) (1098,64.5539779663086) (1109,64.33531188964844) (930,63.867610931396484) (3992,63.78378677368164) (190,63.68467712402344)* (54,63.47444152832031) (54,63.47444152832031) (70,63.468162536621094)* (1072,63.38359832763672) (1104,63.34797668457031) (518,63.30924606323242) (7261,63.260677337646484) (1001,63.10839080810547) (63,63.084877014160156) (63,63.084877014160156) (955,63.06570053100586) (67,63.05708694458008) (67,63.05708694458008) (936,62.923858642578125)
5: (418,64.48117065429688) (709,63.26095962524414) (599,63.242156982421875) (65,62.98799514770508) (65,62.98799514770508) (88,62.916019439697266) (1090,62.80555725097656) (159,62.64555740356445) (1412,62.638973236083984) (436,62.63737869262695) (173,62.622161865234375)* (220,62.581295013427734)* (163,62.533424377441406) (511,62.49066925048828) (630,62.472354888916016) (3019,62.37285232543945) (429,62.357601165771484) (533,62.33614730834961) (735,62.29082107543945) (615,62.17722702026367)
6: (5787,57.591190338134766) (266,57.421939849853516)* (12138,56.90591049194336) (1127,55.87268829345703) (4548,55.826778411865234) (1178,55.68583297729492) (913,55.628807067871094) (2419,55.44675827026367) (12966,55.32633590698242) (1770,55.119140625) (8991,54.97096633911133) (11753,54.8824462890625) (301,54.87883758544922) (1130,54.84770584106445) (295,54.84161376953125) (3063,54.81734848022461) (246,54.710731506347656)* (987,54.58650207519531) (67,54.54408645629883) (67,54.54408645629883)
7: (292,66.82441711425781)* (333,65.53427124023438)* (55,65.24441528320312)* (302,65.226806640625)* (701,65.00758361816406) (461,64.9420166015625) (466,64.77312469482422) (318,64.54899597167969)* (679,64.40098571777344) (344,64.36780548095703) (349,64.28109741210938) (290,64.04273986816406)* (1934,63.870208740234375) (352,63.814998626708984) (323,63.74660110473633)* (523,63.64820098876953) (528,63.53401565551758) (265,63.49636459350586) (543,63.47979736328125) (465,63.4201545715332)
8: (909,66.52229309082031) (786,66.43801879882812) (2067,66.33702087402344) (67,66.29398345947266) (67,66.29398345947266) (291,66.154541015625)* (2094,66.10968780517578) (389,65.87940979003906) (374,65.85883331298828) (465,65.71424865722656) (55,65.56851959228516) (375,65.53491973876953) (13265,65.51982879638672) (302,65.3855972290039)* (2523,65.24867248535156) (2102,65.2146224975586) (333,65.18496704101562) (3324,65.14263916015625) (311,65.13668823242188)* (5767,65.03156280517578)
9: (2944,60.68307876586914) (2512,60.15815353393555) (2500,59.7811164855957) (1797,59.29353713989258) (475,59.18769073486328) (4502,59.084938049316406) (5653,59.073883056640625) (2940,58.950199127197266) (2922,58.79747772216797) (5072,58.6929931640625) (245,58.689727783203125) (483,58.6527214050293) (6257,58.6446533203125) (10228,58.63530731201172) (378,58.619510650634766)* (9013,58.52146911621094) (230,58.50205993652344) (8726,58.463932037353516) (497,58.44580078125) (963,58.39289093017578)
10: (207,60.582008361816406) (1400,60.4025993347168) (225,60.28504943847656)* (65,60.281349182128906) (65,60.281349182128906) (1090,60.23033142089844) (217,60.144466400146484)* (227,59.9566650390625) (1390,59.88218688964844) (618,59.69545364379883) (6217,59.65972137451172) (236,59.637779235839844) (1106,59.56733703613281) (604,59.562442779541016) (615,59.5107536315918) (1424,59.489994049072266) (858,59.42754364013672) (1515,59.23886489868164) (441,59.21831130981445)* (533,59.159847259521484)
11: (333,63.86698913574219) (291,63.66858673095703) (300,63.52900314331055)* (257,63.346134185791016) (306,63.071388244628906)* (701,63.01947784423828) (302,62.85974884033203) (295,62.82434844970703)* (2439,62.76545715332031) (310,62.62253189086914) (1459,62.6159553527832) (342,62.58431625366211) (89,62.52079772949219)* (498,62.40132522583008) (355,62.15019226074219) (329,62.14546585083008)* (538,62.09172439575195) (311,61.98942947387695) (545,61.89168167114258) (290,61.83475112915039)
12: (930,65.65455627441406) (1854,65.42070007324219) (2014,65.38553619384766) (1044,65.11359405517578) (726,64.97509765625) (3367,64.87244415283203) (209,64.86994171142578) (1714,64.75473022460938) (7,64.72748565673828) (1104,64.5963134765625) (498,64.45699310302734)* (536,64.33946228027344) (5079,64.13875579833984) (1091,64.06404876708984) (1180,64.0487060546875) (500,64.03759002685547)* (978,63.988433837890625) (1145,63.96842956542969) (1859,63.9411735534668) (490,63.90231704711914)*
13: (288,65.00711822509766) (289,64.59811401367188) (306,64.13702392578125) (302,63.6683349609375)* (701,62.945194244384766) (157,62.84994888305664) (377,62.816505432128906) (331,62.76305389404297) (679,62.69786071777344) (1037,62.632110595703125) (475,62.615928649902344) (328,62.540340423583984)* (349,62.51774597167969)* (704,62.419307708740234) (344,62.257816314697266)* (291,62.23716354370117) (324,62.143009185791016) (523,62.13334655761719)* (486,62.114906311035156) (329,62.077693939208984)
14: (8314,59.70768737792969) (5433,59.14251708984375) (1469,58.29115295410156) (9271,57.85096740722656) (227,57.76671600341797) (2419,57.295291900634766) (1415,57.002689361572266) (3004,56.83515167236328) (2998,56.81837463378906) (2899,56.754249572753906) (1242,56.750831604003906) (2991,56.682228088378906) (3006,56.672691345214844) (3017,56.5898323059082) (3014,56.49827575683594) (9424,56.49200439453125) (8594,56.47260284423828) (286,56.460601806640625) (582,56.43819046020508)* (212,56.345638275146484)
15: (418,69.49698638916016) (197,69.28773498535156)* (748,68.93096923828125) (206,68.68437957763672) (199,68.63216400146484) (1620,68.40074157714844) (4079,68.19934844970703) (231,68.06939697265625) (1881,68.0171890258789) (1958,67.99365997314453) (578,67.91001892089844) (1164,67.81285858154297) (53,67.75016784667969) (53,67.75016784667969) (3693,67.69641876220703) (1098,67.68407440185547) (433,67.62793731689453) (271,67.61949157714844) (3691,67.60884857177734) (630,67.57917785644531)*
16: (3985,54.192508697509766) (1066,52.46944808959961) (289,52.183902740478516) (378,52.10854721069336) (2060,52.039485931396484) (3572,51.74629211425781) (288,51.60598373413086) (972,51.49378967285156) (295,51.47555160522461) (1573,51.43684005737305) (15415,51.32819747924805) (3570,51.11548614501953) (803,51.018516540527344) (4924,50.91188430786133) (2951,50.85727310180664) (463,50.841636657714844) (4932,50.840999603271484) (2509,50.735599517822266) (2098,50.73383331298828) (15414,50.73065185546875)
17: (300,64.86438751220703)* (333,64.68856048583984) (701,64.32465362548828)* (1684,64.1404037475586) (1246,63.98197937011719) (291,63.77885055541992) (471,63.686614990234375) (523,63.62363052368164) (2020,63.572139739990234) (689,63.51613235473633)* (403,63.460201263427734)* (1934,63.34895706176758) (1043,63.29035186767578) (302,63.27898025512695) (292,63.22231674194336)* (307,63.13670349121094) (228,63.02725601196289) (306,62.998016357421875)* (5950,62.98542022705078) (458,62.96763229370117)
