,ep,loss
0,0,9.04914154756732e-06
1,1,1.127139747789924e-05
2,2,1.2384561694703093e-05
3,3,1.2929859809339499e-05
4,4,1.3404074921067257e-05
5,5,1.3754013092265642e-05
6,6,1.41254092394614e-05
7,7,1.4556085154575104e-05
8,8,1.4960402013992493e-05
9,9,1.5308920356962035e-05
10,10,1.5627091937965495e-05
11,11,1.5988088146995698e-05
12,12,1.62838179997326e-05
13,13,1.6605395317396068e-05
14,14,1.687247897601029e-05
15,15,1.7237230114166296e-05
16,16,1.7565724941532072e-05
17,17,1.7706275952257463e-05
18,18,1.7911887131477296e-05
19,19,1.8096946351921788e-05
20,20,1.8233054748527458e-05
21,21,1.841087310715332e-05
22,22,1.8644383464347545e-05
23,23,1.8844560466223973e-05
24,24,1.904005865285666e-05
25,25,1.9207743849512873e-05
26,26,1.9424810435499667e-05
27,27,1.9627245445222154e-05
28,28,1.972803794855923e-05
29,29,1.9867842799131348e-05
30,30,2.0055362309743513e-05
31,31,2.0304195940672583e-05
32,32,2.0474607053449075e-05
33,33,2.060208755531622e-05
34,34,2.0696475931960295e-05
35,35,2.0834566706017702e-05
36,36,2.1010089607015662e-05
37,37,2.110109856884639e-05
38,38,2.119558886239675e-05
39,39,2.1287950831345585e-05
40,40,2.1486986684869727e-05
41,41,2.1543920678702896e-05
42,42,2.165951242632753e-05
43,43,2.172573904852684e-05
44,44,2.1881396926747746e-05
45,45,2.198331554502468e-05
46,46,2.2068427931705682e-05
47,47,2.215334060405011e-05
48,48,2.233426483358284e-05
49,49,2.239106812767739e-05
50,50,2.246702976716573e-05
51,51,2.2542011131864618e-05
52,52,2.2715579956745976e-05
53,53,2.277756175317336e-05
54,54,2.283997352659593e-05
55,55,2.2929242411063408e-05
56,56,2.3071329076842897e-05
57,57,2.3073719175419467e-05
58,58,2.3239558579328278e-05
59,59,2.3326291846066905e-05
60,60,2.3371723941903946e-05
61,61,2.339884871188962e-05
62,62,2.3520008921075394e-05
63,63,2.3641313525919995e-05
64,64,2.36731515649487e-05
65,65,2.375783354663701e-05
66,66,2.3781415085763645e-05
67,67,2.381379534413367e-05
68,68,2.3943180113907575e-05
69,69,2.395933022532571e-05
70,70,2.404409914400757e-05
71,71,2.4161728052764802e-05
72,72,2.4211167596256608e-05
73,73,2.4298458329747734e-05
74,74,2.4335133436098285e-05
75,75,2.436658991534975e-05
76,76,2.442787878381376e-05
77,77,2.457689419423011e-05
78,78,2.4638190071153292e-05
79,79,2.467474507070352e-05
80,80,2.4743402023245033e-05
81,81,2.484596402877394e-05
82,82,2.478116472475984e-05
83,83,2.483813723836861e-05
84,84,2.4880693511958644e-05
85,85,2.498645057237488e-05
86,86,2.5089738515174866e-05
87,87,2.5179313524859026e-05
88,88,2.5214417612861487e-05
89,89,2.5397245307805645e-05
90,90,2.53891520354527e-05
91,91,2.5321635161269704e-05
92,92,2.5402324675215985e-05
93,93,2.5489839144403743e-05
94,94,2.5587390690120894e-05
95,95,2.565057526654153e-05
96,96,2.5663772248663008e-05
97,97,2.5727945231825716e-05
98,98,2.586972566538915e-05
99,99,2.588207847592832e-05
100,100,2.596002179737244e-05
101,101,2.5953792026163737e-05
102,102,2.5943856599042192e-05
103,103,2.5974272241857014e-05
104,104,2.602075763955808e-05
105,105,2.6059853606806e-05
106,106,2.605646493654657e-05
107,107,2.6144826680298566e-05
108,108,2.6186872406362774e-05
109,109,2.6213290177967044e-05
110,110,2.6270953533051343e-05
111,111,2.6262428946211003e-05
112,112,2.6292992836662213e-05
113,113,2.631742170385277e-05
114,114,2.632770937292234e-05
115,115,2.6411854057240655e-05
116,116,2.6505921328755314e-05
117,117,2.648135261337944e-05
118,118,2.6521627285760853e-05
119,119,2.6577583893787744e-05
120,120,2.6609250519815012e-05
121,121,2.6676927572064896e-05
122,122,2.6664759763448007e-05
123,123,2.670492914844277e-05
124,124,2.6774656469248893e-05
125,125,2.677823297691408e-05
126,126,2.6813629708211758e-05
127,127,2.6923452744941804e-05
128,128,2.6893446856239973e-05
129,129,2.694391616173294e-05
130,130,2.705646869906238e-05
131,131,2.704989353386576e-05
132,132,2.705454640176065e-05
133,133,2.707942397083731e-05
134,134,2.704095282644951e-05
135,135,2.7086687570023487e-05
136,136,2.716104823133826e-05
137,137,2.717033449324149e-05
138,138,2.725863267936374e-05
139,139,2.7286274202839087e-05
140,140,2.7274987480589462e-05
141,141,2.7353744639292607e-05
142,142,2.7342867938654416e-05
143,143,2.7252107857373846e-05
144,144,2.7318624126885825e-05
145,145,2.7374962883186527e-05
146,146,2.7371802335598177e-05
147,147,2.74931242743418e-05
148,148,2.7530462134831504e-05
149,149,2.7628319698765955e-05
150,150,2.762263102340512e-05
151,151,2.762314558340757e-05
152,152,2.7618102274787173e-05
153,153,2.7646542548609432e-05
154,154,2.7713484996638726e-05
155,155,2.7804249143895612e-05
156,156,2.7809450116097543e-05
157,157,2.785846813554492e-05
158,158,2.7937815021312633e-05
159,159,2.788589496477096e-05
160,160,2.7935847142276436e-05
161,161,2.7930738992033774e-05
162,162,2.7969686818644678e-05
163,163,2.7966616257532115e-05
164,164,2.8015881392039935e-05
165,165,2.8040938078073156e-05
166,166,2.80585425785188e-05
167,167,2.802851491544382e-05
168,168,2.8124321782824528e-05
169,169,2.810043080150054e-05
170,170,2.8092497172217598e-05
171,171,2.814406108133399e-05
172,172,2.8242695995740016e-05
173,173,2.8250778300656856e-05
174,174,2.822845726768719e-05
175,175,2.828947606972446e-05
176,176,2.8353881562532694e-05
177,177,2.841466336095062e-05
178,178,2.8395038444774828e-05
179,179,2.8394323207441414e-05
180,180,2.843727318523794e-05
181,181,2.8395965380375e-05
182,182,2.846752426301143e-05
183,183,2.8497224721992525e-05
184,184,2.8499760821218576e-05
185,185,2.849828396232196e-05
186,186,2.850151726948645e-05
187,187,2.8469561317144646e-05
188,188,2.851468332878807e-05
189,189,2.8509015625305064e-05
190,190,2.855103337103227e-05
191,191,2.8586889878651537e-05
192,192,2.864432693005416e-05
193,193,2.8638959252823362e-05
194,194,2.870104756713023e-05
195,195,2.8681414305003057e-05
196,196,2.8688283290488043e-05
197,197,2.869577629633782e-05
198,198,2.873882626505185e-05
199,199,2.878263860432472e-05
200,200,2.8833033331252143e-05
201,201,2.8874179246058167e-05
202,202,2.8802717786354205e-05
203,203,2.8831869499032e-05
204,204,2.886535163698307e-05
205,205,2.8841730294088312e-05
206,206,2.887018319383702e-05
207,207,2.8883318330318778e-05
208,208,2.891567317633684e-05
209,209,2.8890868206337257e-05
210,210,2.8916415698511308e-05
211,211,2.8961266627233915e-05
212,212,2.8947331509912413e-05
213,213,2.8972053983392578e-05
214,214,2.906467087835635e-05
215,215,2.9019845896982588e-05
216,216,2.9072430419653436e-05
217,217,2.912003107185763e-05
218,218,2.907690534758491e-05
219,219,2.909492318662267e-05
220,220,2.9118929352775656e-05
221,221,2.911746832978679e-05
222,222,2.917117201243801e-05
223,223,2.920811140724896e-05
224,224,2.9192764914649376e-05
225,225,2.919362888111637e-05
226,226,2.9178810109442566e-05
227,227,2.9164577373354832e-05
228,228,2.9221603279652566e-05
229,229,2.9213164185314192e-05
230,230,2.9263551315285868e-05
231,231,2.9270291580520707e-05
232,232,2.9251783095841185e-05
233,233,2.9269555371309468e-05
234,234,2.9258275978517142e-05
235,235,2.929963252159616e-05
236,236,2.9293792388617638e-05
237,237,2.9368331310893956e-05
238,238,2.9322812224563677e-05
239,239,2.9365864279765554e-05
240,240,2.93537100600695e-05
241,241,2.9377457929727182e-05
242,242,2.9401750265713097e-05
243,243,2.932597303965047e-05
244,244,2.933210292694104e-05
245,245,2.9388783064753035e-05
246,246,2.9398266633506864e-05
247,247,2.9412392798215424e-05
248,248,2.9468199607114965e-05
249,249,2.949992224731592e-05
250,250,2.9510377049411865e-05
251,251,2.9489178546902942e-05
252,252,2.951067300968776e-05
253,253,2.950651624440284e-05
254,254,2.9527412634171708e-05
255,255,2.9570328853664894e-05
256,256,2.9569398173086537e-05
257,257,2.95409114615348e-05
258,258,2.953525734697263e-05
259,259,2.9553661881757708e-05
260,260,2.9559679687201208e-05
261,261,2.9583534395736505e-05
262,262,2.9595133556166035e-05
263,263,2.9600763060871567e-05
264,264,2.960110444238286e-05
265,265,2.9609508708424127e-05
266,266,2.9625584615774534e-05
267,267,2.963434786472456e-05
268,268,2.9609382770157774e-05
269,269,2.9631907957938145e-05
270,270,2.9603796118702603e-05
271,271,2.960777901000042e-05
272,272,2.963200372238027e-05
273,273,2.9658465524228042e-05
274,274,2.962979375725434e-05
275,275,2.9630847326616812e-05
276,276,2.9642652246847693e-05
277,277,2.966240941425306e-05
278,278,2.9688963610062594e-05
279,279,2.9709559813080193e-05
280,280,2.972116154149476e-05
281,281,2.9742431091589798e-05
282,282,2.9769144555971518e-05
283,283,2.971769299620064e-05
284,284,2.972770492787651e-05
285,285,2.9704537048340117e-05
286,286,2.9740946261239622e-05
287,287,2.9761376026726793e-05
288,288,2.9769060935958644e-05
289,289,2.97835762039005e-05
290,290,2.9755238863478607e-05
291,291,2.9733778747493704e-05
292,292,2.9811118592453352e-05
293,293,2.9808229930281147e-05
294,294,2.9803822893454172e-05
295,295,2.9829965462661622e-05
296,296,2.9799183988977937e-05
297,297,2.978366672537317e-05
298,298,2.9787208137242807e-05
299,299,2.9840794067079996e-05
300,300,2.9833960765887133e-05
301,301,2.9845712186429676e-05
302,302,2.9872142851458836e-05
303,303,2.986792691551861e-05
304,304,2.9888179757536444e-05
305,305,2.9898530181740437e-05
306,306,2.989193190467845e-05
307,307,2.993063994568622e-05
308,308,2.991160780605723e-05
309,309,2.9918364388697012e-05
310,310,2.988718070435639e-05
311,311,2.991477905358325e-05
312,312,2.9930919535057482e-05
313,313,2.9944150275482304e-05
