userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,66.65106964111328) (187,66.1772689819336) (1836,66.11859130859375) (51,66.06039428710938)* (1098,65.76042175292969) (3501,65.70803833007812) (6150,65.62246704101562) (601,65.55027770996094) (3768,65.30126190185547) (238,65.24138641357422) (1713,65.14341735839844) (1892,65.10147094726562) (1014,65.09841918945312) (157,64.9239501953125) (1156,64.84015655517578) (1073,64.82780456542969) (993,64.76834869384766) (3201,64.73725128173828) (511,64.59938049316406) (1824,64.5904312133789)
3: (3034,60.605323791503906) (5970,60.48212432861328) (2164,59.734039306640625) (1548,59.522926330566406) (13857,59.46430969238281) (2832,59.331993103027344) (842,59.2241096496582) (831,59.203948974609375) (762,59.198585510253906) (2685,59.143287658691406) (1236,59.088924407958984) (3227,59.04850769042969) (2679,58.93436050415039) (9694,58.80967330932617) (6618,58.36012649536133) (8782,58.218055725097656) (2702,58.1132926940918) (2244,57.959747314453125) (276,57.93034362792969) (278,57.898292541503906)
4: (190,63.18235778808594)* (506,63.042991638183594) (511,62.70048141479492) (1109,62.66302490234375) (1713,62.53919219970703) (959,62.02935028076172) (1104,61.84205627441406) (1375,61.81175994873047) (159,61.79441833496094)* (166,61.74233627319336)* (1385,61.70520782470703) (227,61.68653106689453) (81,61.66822052001953) (1098,61.489723205566406) (377,61.45986557006836) (518,61.43736267089844) (967,61.41656494140625) (1072,61.39000701904297) (1001,61.34584045410156) (54,61.26947784423828)
5: (436,54.51139831542969) (441,54.09881591796875) (424,54.09565353393555) (429,53.95812225341797) (418,53.876548767089844) (1090,53.837730407714844) (220,53.70799255371094)* (615,53.69416046142578) (1412,53.571624755859375) (163,53.556732177734375) (533,53.553794860839844) (709,53.53894805908203) (614,53.47926330566406) (964,53.36508560180664) (88,53.34600067138672) (173,53.232479095458984)* (159,53.131263732910156) (1515,53.12885284423828) (859,53.073673248291016) (863,52.961082458496094)
6: (266,60.01821517944336)* (12243,59.75606918334961) (251,59.6499137878418)* (2419,59.54608154296875) (569,59.405372619628906) (8282,59.206016540527344) (8991,59.08858108520508) (301,59.04844284057617) (575,58.89853286743164) (1834,58.873783111572266) (913,58.861305236816406) (7239,58.84645080566406) (157,58.83429718017578) (1641,58.803924560546875) (2179,58.61429214477539) (295,58.545997619628906) (8843,58.5333251953125) (5787,58.50858688354492) (289,58.495670318603516) (2220,58.359466552734375)
7: (349,59.29297637939453) (292,59.15753173828125)* (701,59.01631164550781) (333,58.84297561645508)* (302,58.842864990234375)* (55,58.801918029785156)* (466,58.464942932128906) (461,58.3587532043457) (913,58.18278121948242) (907,58.14344024658203) (679,58.08980941772461) (318,58.08854675292969)* (525,58.050296783447266) (352,57.87177276611328) (344,57.77813720703125) (157,57.676300048828125) (544,57.64146041870117) (523,57.59930419921875) (161,57.547576904296875) (468,57.43604278564453)
8: (333,64.11561584472656) (909,64.02896881103516) (291,64.01957702636719)* (679,63.92424011230469) (325,63.83464813232422) (786,63.577720642089844) (2076,63.531761169433594) (3081,63.52362823486328) (67,63.48360824584961) (67,63.48360824584961) (972,63.35159683227539) (13265,63.3298454284668) (3570,63.17475128173828) (8718,63.173912048339844) (318,63.153831481933594) (2094,63.133026123046875) (302,63.121009826660156)* (638,63.114173889160156) (479,63.03058624267578) (2019,63.010536193847656)
9: (930,58.486541748046875) (518,57.71333312988281) (811,57.15453338623047) (754,57.044639587402344) (726,56.9747200012207) (378,56.83906936645508)* (955,56.813072204589844) (1114,56.65391540527344) (1919,56.35771560668945) (503,56.32548904418945) (2104,56.148311614990234) (968,56.12125015258789) (486,56.101165771484375) (2512,56.05304718017578) (1797,56.01197052001953) (390,56.004058837890625)* (498,55.95970153808594) (2940,55.898643493652344) (289,55.898216247558594) (475,55.81390380859375)
10: (225,57.45354080200195)* (618,57.06814193725586) (207,56.94318389892578) (217,56.25973892211914)* (1090,56.19855880737305) (1515,56.14263153076172) (1390,56.09423065185547) (615,56.068939208984375) (3259,56.00682067871094) (5414,55.9812126159668) (622,55.855323791503906) (441,55.842437744140625)* (2277,55.841331481933594) (236,55.668121337890625) (1400,55.517333984375) (1424,55.45216369628906) (1048,55.438133239746094) (210,55.373321533203125) (227,55.316749572753906) (231,55.27946472167969)
11: (333,59.34654998779297) (257,59.063743591308594) (300,58.788795471191406)* (306,58.65164566040039)* (295,58.62242126464844)* (355,58.56129455566406) (701,58.52826690673828) (291,58.50289535522461) (89,58.47685241699219)* (498,58.463523864746094) (302,58.28831481933594) (161,58.095497131347656) (310,57.99418640136719) (1613,57.94960021972656) (913,57.88633346557617) (538,57.73527526855469) (290,57.71174621582031) (329,57.68864440917969)* (2051,57.6568717956543) (691,57.61637878417969)
12: (1104,61.80694580078125) (1854,61.32398223876953) (930,61.19853973388672) (7,61.16011047363281) (1797,61.11451721191406) (490,61.033355712890625)* (2014,61.002281188964844) (2940,60.798316955566406) (190,60.77705764770508) (498,60.77068328857422)* (1179,60.732540130615234) (3367,60.25434112548828) (1044,60.2374382019043) (198,60.16699981689453) (968,60.16554260253906) (978,60.156822204589844) (5079,60.095848083496094) (726,60.086669921875) (173,60.080833435058594) (209,60.07572937011719)
13: (288,59.404388427734375) (289,59.32085418701172) (306,58.841583251953125) (302,58.41522979736328)* (532,58.235191345214844)* (377,58.17196273803711) (701,58.051048278808594) (679,58.04769515991211) (486,58.00114440917969) (328,57.997093200683594)* (704,57.93825149536133) (680,57.84016418457031) (291,57.7270393371582) (475,57.632694244384766) (546,57.455726623535156)* (190,57.408294677734375) (690,57.39384841918945) (349,57.384437561035156)* (344,57.37714385986328)* (689,57.321495056152344)
