userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,54.48860549926758) (51,53.69181823730469)* (59,53.14431381225586)* (187,53.137508392333984) (1073,52.83039474487305) (1098,52.69015121459961) (1713,52.43505859375) (2638,52.38718795776367) (3992,52.326019287109375) (511,52.30113220214844) (157,52.18468475341797) (1824,52.175132751464844) (993,52.07918167114258) (4308,52.0689811706543) (1014,52.04991912841797) (715,52.04514694213867) (1072,51.98812484741211) (70,51.943885803222656)* (238,51.941497802734375) (997,51.92046356201172)
3: (7694,55.30251693725586) (6004,54.126041412353516) (8674,54.03548049926758) (5233,54.03341293334961) (13827,54.01082229614258) (9726,53.95412063598633) (9728,53.921627044677734) (10547,53.75813293457031) (9730,53.757022857666016) (6598,53.71830368041992) (1627,53.62975311279297) (14670,53.593650817871094) (9719,53.56953811645508) (8390,53.56201934814453) (9724,53.515655517578125) (9733,53.49739074707031) (1943,53.48110580444336) (9725,53.476539611816406) (1961,53.395992279052734) (9731,53.37112808227539)
4: (190,51.54304504394531)* (1713,51.531036376953125) (1072,51.40400314331055) (511,51.35325241088867) (1104,51.3331184387207) (959,51.279632568359375) (1795,51.15335464477539) (4075,51.084144592285156) (1791,51.04495620727539) (227,50.941375732421875) (234,50.91364288330078) (70,50.886966705322266)* (220,50.86665725708008) (67,50.724822998046875) (67,50.724822998046875) (7,50.709510803222656) (1001,50.66934585571289) (159,50.612831115722656)* (63,50.51451110839844) (63,50.51451110839844)
5: (418,50.67654037475586) (436,50.54929733276367) (429,50.49297332763672) (709,50.36848068237305) (163,50.202396392822266) (159,50.181861877441406) (614,50.18131637573242) (533,50.16883087158203) (441,50.12612533569336) (602,50.119808197021484) (424,50.097198486328125) (88,50.082916259765625) (81,50.07097625732422) (1090,49.98418426513672) (715,49.87759017944336) (859,49.860225677490234) (65,49.84164810180664) (65,49.84164810180664) (173,49.793304443359375)* (615,49.625125885009766)
6: (266,48.5814208984375)* (8975,48.43410110473633) (7869,48.13194274902344) (1772,48.014015197753906) (5789,47.916038513183594) (4710,47.89466094970703) (4253,47.767425537109375) (13164,47.751380920410156) (6389,47.73777770996094) (301,47.59486389160156) (2220,47.59269714355469) (69,47.55469512939453) (69,47.55469512939453) (67,47.516212463378906) (67,47.516212463378906) (3466,47.44796371459961) (12406,47.32572937011719) (8071,47.254310607910156) (7545,47.16710662841797) (310,47.16310119628906)
7: (292,49.058135986328125)* (302,48.94418716430664)* (701,48.9267578125) (333,48.707611083984375)* (55,48.663612365722656)* (349,48.54267120361328) (466,48.46693801879883) (525,48.332576751708984) (161,48.20568084716797) (461,47.9160041809082) (907,47.8890495300293) (903,47.87857437133789) (913,47.73216247558594) (157,47.72502517700195) (544,47.667274475097656) (679,47.642887115478516) (468,47.60049819946289) (475,47.52327346801758) (318,47.500999450683594)* (327,47.47520446777344)*
8: (67,53.9072380065918) (67,53.9072380065918) (790,53.449806213378906) (455,53.42247009277344) (157,53.41511154174805) (461,53.33681869506836) (2523,53.33436965942383) (302,53.269935607910156)* (55,53.2275390625) (299,53.12606430053711) (679,53.061546325683594) (701,52.99797058105469) (646,52.96763610839844) (465,52.94668960571289) (1489,52.93843460083008) (3557,52.9197883605957) (798,52.88890838623047) (2498,52.83609390258789) (333,52.82142639160156) (291,52.81203079223633)*
9: (930,53.65540313720703) (518,53.142425537109375) (955,52.851253509521484) (2428,52.677242279052734) (4137,52.642513275146484) (503,52.551361083984375) (9746,52.503318786621094) (1114,52.44633483886719) (475,52.38715362548828) (2951,52.25147247314453) (16431,52.172569274902344) (5082,52.079994201660156) (2014,52.014286041259766) (953,51.994171142578125) (754,51.98420333862305) (378,51.954158782958984)* (1705,51.936431884765625) (837,51.842960357666016) (2944,51.82161331176758) (5459,51.816650390625)
10: (225,49.28670883178711)* (207,49.10288619995117) (217,48.93975067138672)* (1090,48.872344970703125) (227,48.83110809326172) (615,48.73274230957031) (1400,48.69015121459961) (618,48.62763977050781) (1106,48.58499526977539) (709,48.478797912597656) (206,48.47245407104492) (441,48.45805740356445)* (1239,48.347408294677734) (1390,48.34126663208008) (203,48.317481994628906) (1424,48.186588287353516) (436,48.135990142822266)* (65,48.12562942504883) (65,48.12562942504883) (195,48.10614013671875)
11: (295,51.44146728515625)* (378,51.27389907836914) (300,51.25749969482422)* (475,51.23086166381836)* (306,51.204166412353516)* (329,51.151611328125)* (161,51.15027618408203) (89,51.138484954833984)* (333,50.93640899658203) (701,50.91753005981445) (302,50.87889862060547) (907,50.828704833984375) (310,50.609344482421875) (257,50.593597412109375) (291,50.56849670410156) (184,50.4707145690918) (328,50.445068359375) (330,50.438846588134766) (966,50.436370849609375) (377,50.42815399169922)
12: (7,54.07746887207031) (1044,54.055809020996094) (1104,54.04561233520508) (198,54.015602111816406) (475,53.813438415527344) (1854,53.703407287597656) (405,53.272090911865234)* (190,53.170711517333984) (209,53.170501708984375) (498,53.09318161010742)* (978,53.001319885253906) (1672,52.995174407958984) (500,52.909706115722656)* (1714,52.907432556152344) (1145,52.90144348144531) (3240,52.84300231933594) (707,52.72539520263672) (1179,52.717987060546875) (7636,52.684200286865234) (1874,52.650634765625)
