userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,13.564674377441406)* (1001,13.463759422302246) (157,13.009085655212402) (3768,12.665403366088867) (998,12.491379737854004) (511,12.053409576416016) (1072,11.801580429077148) (1014,11.795880317687988) (1073,11.552505493164062) (187,11.229269981384277) (877,11.150175094604492) (59,10.92856502532959)* (1713,10.899521827697754) (238,10.850545883178711) (153,10.82229995727539) (1707,10.732564926147461) (3280,10.726459503173828) (1013,10.550677299499512) (1394,10.457609176635742) (70,10.338756561279297)*
3: (7958,22.6004581451416) (7954,22.027587890625) (7955,21.693750381469727) (9595,21.51192283630371) (9618,21.45911979675293) (9590,21.004993438720703) (9614,20.630937576293945) (3147,20.625064849853516) (4224,20.600061416625977) (9616,20.581403732299805) (3703,20.464282989501953) (9615,20.19759750366211) (9626,19.898786544799805) (10350,19.883750915527344) (8445,19.83175277709961) (10348,19.761371612548828) (10347,19.504594802856445) (10374,19.490394592285156) (9591,19.350784301757812) (762,19.19501495361328)
4: (190,13.74001407623291)* (67,12.678215980529785) (67,12.678215980529785) (959,12.436332702636719) (1104,12.032684326171875) (159,11.149617195129395)* (511,10.86909294128418) (3768,10.797266006469727) (930,10.751970291137695) (518,10.515762329101562) (227,10.515340805053711) (1001,10.498985290527344) (172,10.305795669555664)* (1072,10.289796829223633) (56,10.243517875671387) (56,10.243517875671387) (707,10.211923599243164) (5079,10.180789947509766) (75,10.054733276367188) (75,10.054733276367188)
5: (418,13.546346664428711) (65,12.719684600830078) (65,12.719684600830078) (599,11.441610336303711) (429,11.164754867553711) (159,11.082615852355957) (163,11.032880783081055) (220,10.530223846435547)* (88,10.226751327514648) (424,10.138287544250488) (441,10.020084381103516) (1090,9.759828567504883) (1098,9.584041595458984) (1412,9.55871868133545) (533,9.528523445129395) (3259,9.50988483428955) (436,9.381132125854492) (615,9.255451202392578) (173,8.955890655517578)* (604,8.913721084594727)
6: (157,7.777316093444824) (465,6.823781490325928) (5249,6.763280391693115) (1464,6.650727272033691) (2220,6.645454406738281) (360,6.598814487457275) (7846,6.351101398468018) (787,6.331953048706055) (2523,6.299769401550293) (3466,6.268398761749268) (3081,6.160207271575928) (251,6.075878143310547)* (3060,5.8378119468688965) (789,5.732873439788818) (889,5.676840782165527) (3488,5.672088623046875) (792,5.607897758483887) (311,5.549335479736328) (1936,5.5185933113098145) (2024,5.412328720092773)
7: (292,13.208521842956543)* (701,10.673626899719238) (349,9.59438419342041) (302,9.238760948181152)* (55,9.042491912841797)* (466,8.990865707397461) (333,8.322029113769531)* (352,8.072640419006348) (461,7.953106880187988) (523,7.907147407531738) (323,7.737941265106201)* (525,7.722729206085205) (686,7.623350143432617) (318,7.603722095489502)* (485,7.286267280578613) (907,6.861993789672852) (1037,6.855113506317139) (913,6.759665489196777) (544,6.660149574279785) (2020,6.618875503540039)
8: (67,12.559831619262695) (67,12.559831619262695) (701,12.280421257019043) (311,11.261078834533691)* (1459,10.968889236450195) (679,10.958625793457031) (342,10.739476203918457)* (333,10.688414573669434) (3173,10.28885269165039) (283,10.005645751953125) (291,9.956096649169922)* (157,9.92915153503418) (55,9.900524139404297) (523,9.88791275024414) (465,9.67978572845459) (3081,9.674098014831543) (1447,9.671740531921387) (786,9.390854835510254) (2523,9.390416145324707) (97,9.29427433013916)*
9: (475,11.234152793884277) (1104,10.433682441711426) (930,10.294815063476562) (72,9.615328788757324) (72,9.615328788757324) (157,9.462151527404785) (518,9.334100723266602) (2092,8.84677505493164) (2094,8.62865924835205) (198,8.625265121459961) (3324,8.612553596496582) (3554,8.532254219055176) (1613,8.481372833251953) (2102,8.252406120300293) (2044,8.22569465637207) (1918,8.107158660888672) (2106,8.102031707763672) (5238,8.094099044799805) (8392,8.02635669708252) (483,7.9721150398254395)
10: (227,13.113304138183594) (207,12.498786926269531) (217,11.914037704467773)* (225,11.620403289794922)* (757,11.160311698913574) (618,10.871955871582031) (622,10.730548858642578) (1155,10.706521034240723) (1390,10.655782699584961) (1098,10.314939498901367) (615,10.253178596496582) (190,9.972740173339844) (703,9.903356552124023) (1964,9.642898559570312) (1400,9.605107307434082) (1106,9.505550384521484) (441,9.449392318725586)* (210,9.419240951538086) (898,9.371186256408691) (2137,9.338623046875)
11: (89,13.678995132446289)* (295,12.684720993041992)* (300,12.300874710083008)* (701,10.778693199157715) (333,10.56184196472168) (291,9.167099952697754) (257,9.104630470275879) (302,8.914082527160645) (55,8.787163734436035) (686,8.769371032714844) (299,8.278238296508789) (306,8.207332611083984)* (498,7.890647888183594) (318,7.63383150100708) (681,7.603092193603516) (679,7.418170928955078) (523,7.391883850097656) (544,7.245213985443115) (475,7.231022357940674)* (310,7.1762261390686035)
12: (498,14.952262878417969)* (1104,13.390124320983887) (930,13.027863502502441) (1300,13.00714111328125) (190,12.866518020629883) (2014,12.626487731933594) (89,12.24941349029541) (7,12.125432014465332) (5079,12.015212059020996) (1714,12.011598587036133) (173,11.98365592956543) (1854,11.980588912963867) (1044,11.968598365783691) (537,11.787057876586914) (198,11.707773208618164) (2794,10.99218463897705) (209,10.967342376708984) (1914,10.899700164794922) (1704,10.878898620605469) (490,10.858242988586426)*
