userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,11.09520149230957)* (1001,9.295970916748047) (1098,8.181228637695312) (238,8.147696495056152) (1073,8.05726146697998) (59,7.995640754699707)* (1013,7.671652793884277) (997,7.544815540313721) (4308,7.404715061187744) (173,7.377686500549316) (998,7.356198310852051) (157,6.83020544052124) (993,6.710125923156738) (1014,6.702834606170654) (159,6.542559623718262) (3281,6.453182220458984) (599,6.35756254196167) (1062,6.344254493713379) (511,6.320759296417236) (187,6.319375038146973)
3: (2811,13.318220138549805) (603,11.565811157226562) (969,11.037201881408691) (2605,10.905517578125) (2699,10.538908958435059) (154,9.986825942993164) (8445,9.92041015625) (3132,9.59029769897461) (2952,9.544868469238281) (8127,9.459390640258789) (2702,9.442179679870605) (3792,9.424633026123047) (2824,9.405405044555664) (7565,9.297316551208496) (3529,9.276233673095703) (3028,9.033844947814941) (3364,8.948129653930664) (7472,8.943955421447754) (4271,8.914474487304688) (7201,8.887435913085938)
4: (190,17.9171142578125)* (67,11.702296257019043) (67,11.702296257019043) (227,11.563592910766602) (229,11.554460525512695) (159,11.237646102905273)* (377,11.11166000366211) (1104,10.992632865905762) (486,10.356374740600586) (1001,9.88631534576416) (511,9.73447322845459) (7,9.702150344848633) (959,9.356929779052734) (378,9.022337913513184) (89,8.880309104919434) (234,8.696584701538086) (533,8.654870986938477) (59,8.650745391845703) (930,8.610097885131836) (599,8.477058410644531)
5: (418,11.189314842224121) (65,10.394652366638184) (65,10.394652366638184) (159,10.303898811340332) (429,10.134161949157715) (1090,9.931886672973633) (441,9.714466094970703) (424,9.408672332763672) (533,9.302881240844727) (173,9.197351455688477)* (220,9.048890113830566)* (163,8.730650901794434) (599,8.577214241027832) (436,8.227828979492188) (88,7.991847515106201) (1512,7.96661376953125) (709,7.6719512939453125) (1400,7.561022758483887) (233,7.525507926940918)* (425,7.484352111816406)
6: (227,15.9236478805542) (374,13.975162506103516) (375,13.82293701171875) (2179,13.418415069580078) (360,13.291720390319824) (67,13.268531799316406) (67,13.268531799316406) (330,12.974703788757324) (1613,12.928330421447754) (3466,12.754383087158203) (2226,12.65589714050293) (1464,12.287910461425781) (2094,12.174211502075195) (468,12.128543853759766) (356,11.930960655212402) (267,11.735251426696777)* (6626,11.678232192993164) (2439,11.668769836425781) (2455,11.627002716064453) (8071,11.621736526489258)
7: (292,13.835996627807617)* (701,12.42133903503418) (333,11.62428092956543)* (302,10.273833274841309)* (55,10.082261085510254)* (466,9.748554229736328) (349,9.16485595703125) (461,9.020123481750488) (543,8.425394058227539) (679,8.135199546813965) (525,7.9215288162231445) (908,7.874545574188232) (290,7.811188220977783)* (327,7.710615158081055)* (802,7.652182579040527) (352,7.6507158279418945) (523,7.646975517272949) (157,7.646661281585693) (1042,7.564038276672363) (318,7.461121559143066)*
8: (701,13.286388397216797) (67,11.782294273376465) (67,11.782294273376465) (333,11.271549224853516) (302,10.347639083862305)* (461,9.582911491394043) (327,9.434259414672852) (55,9.359235763549805) (468,9.214903831481934) (679,9.097981452941895) (790,8.989381790161133) (792,8.977253913879395) (290,8.920063972473145) (326,8.89895248413086) (299,8.8040771484375) (311,8.653900146484375)* (318,8.624961853027344) (325,8.599953651428223) (291,8.556462287902832)* (913,8.540846824645996)
9: (1613,12.527953147888184) (2094,12.272439956665039) (2226,12.212194442749023) (330,12.189284324645996) (2102,11.951925277709961) (2092,11.755178451538086) (468,11.407671928405762) (498,10.625936508178711) (527,10.546369552612305) (198,10.341584205627441) (2179,10.265137672424316) (475,10.147829055786133) (360,10.095565795898438) (2439,10.020455360412598) (3317,9.96849250793457) (279,9.963400840759277) (1857,9.813994407653809) (278,9.761465072631836) (331,9.570074081420898) (2097,9.450559616088867)
10: (207,9.130962371826172) (227,7.799408912658691) (225,7.367148399353027)* (1090,6.759105682373047) (1400,6.577176094055176) (203,6.413449287414551) (217,6.178427219390869)* (65,5.995920181274414) (65,5.995920181274414) (1512,5.590371608734131) (441,5.557305335998535)* (689,5.454063415527344) (1106,5.433488845825195) (210,5.380826950073242) (173,5.307023048400879) (533,5.2655839920043945) (182,5.263516426086426) (618,4.98972225189209) (237,4.947221755981445) (88,4.87044620513916)
11: (89,16.950490951538086)* (300,14.554376602172852)* (333,14.138174057006836) (295,13.74459171295166)* (701,12.69493579864502) (302,11.114431381225586) (498,10.876853942871094) (306,10.518624305725098)* (55,9.965448379516602) (257,9.827118873596191) (291,9.817981719970703) (679,9.709062576293945) (475,9.440313339233398)* (377,9.019987106323242) (378,8.732385635375977) (310,8.719952583312988) (544,8.616780281066895) (328,8.491676330566406) (318,8.43635368347168) (298,8.410926818847656)
12: (498,16.479585647583008)* (190,16.024938583374023) (1104,14.631199836730957) (173,14.156595230102539) (7,13.779046058654785) (930,13.556158065795898) (1672,12.565555572509766) (1854,12.402097702026367) (978,12.378536224365234) (500,12.232122421264648)* (198,12.099465370178223) (1044,11.955405235290527) (2014,11.574920654296875) (1180,11.428180694580078) (209,11.004058837890625) (536,10.854402542114258) (1043,10.716440200805664) (726,10.604487419128418) (371,10.565893173217773) (490,10.424310684204102)*
