,epoch,hit@10,hit@20,ndcg@10,ndcg@20,precision@10,precision@20,recall@10,recall@20
0,0,0.07971,0.11817,0.13169,0.13824,0.09921,0.07353,0.07961,0.11686
1,1,0.10467,0.1481,0.16705,0.17044,0.13027,0.09216,0.10527,0.14957
2,2,0.10238,0.14835,0.16579,0.17154,0.12742,0.09231,0.10245,0.15012
3,3,0.10531,0.14835,0.16928,0.1723,0.13106,0.09231,0.10598,0.15
4,4,0.10824,0.15434,0.17183,0.17597,0.13471,0.09604,0.10813,0.15538
5,5,0.10595,0.15395,0.16614,0.17226,0.13185,0.0958,0.10603,0.15523
6,6,0.10837,0.15535,0.17168,0.17647,0.13487,0.09667,0.10896,0.15741
7,7,0.11053,0.16389,0.17819,0.18593,0.13756,0.10198,0.11174,0.16582
8,8,0.11066,0.16007,0.1782,0.18403,0.13772,0.0996,0.11192,0.16235
9,9,0.11512,0.16771,0.18424,0.191,0.14326,0.10436,0.11614,0.16833
10,10,0.10951,0.16249,0.17592,0.18342,0.13629,0.10111,0.11062,0.1634
11,11,0.1155,0.1672,0.18548,0.19141,0.14374,0.10404,0.116,0.16706
12,12,0.1183,0.16682,0.19091,0.19405,0.14723,0.1038,0.11913,0.16687
13,13,0.12339,0.17598,0.19755,0.20266,0.15357,0.10951,0.12514,0.17701
14,14,0.11486,0.17089,0.18727,0.19564,0.14295,0.10634,0.11639,0.1722
15,15,0.11944,0.17102,0.19357,0.19803,0.14865,0.10642,0.12118,0.17197
16,16,0.11715,0.17051,0.19056,0.19696,0.1458,0.1061,0.11852,0.17139
17,17,0.11715,0.17229,0.18957,0.19655,0.1458,0.10721,0.11924,0.17308
18,18,0.11932,0.17178,0.19224,0.19847,0.14849,0.10689,0.12068,0.17445
19,19,0.12212,0.17395,0.19404,0.19872,0.15198,0.10824,0.12323,0.17357
20,20,0.12441,0.18006,0.19776,0.20467,0.15483,0.11204,0.12602,0.1828
21,21,0.11715,0.1714,0.18592,0.19398,0.1458,0.10666,0.11776,0.17215
22,22,0.12135,0.17382,0.19908,0.20329,0.15103,0.10816,0.12264,0.17649
23,23,0.12326,0.17598,0.19582,0.20095,0.15341,0.10951,0.12468,0.17683
24,24,0.11944,0.17127,0.19571,0.20083,0.14865,0.10658,0.12098,0.17417
25,25,0.11983,0.17038,0.19252,0.19608,0.14913,0.10602,0.12087,0.17023
26,26,0.12288,0.17458,0.20063,0.20409,0.15293,0.10864,0.12385,0.17703
27,27,0.12403,0.1821,0.20241,0.20906,0.15436,0.11331,0.12412,0.18266
28,28,0.12492,0.1812,0.20396,0.20971,0.15547,0.11276,0.12542,0.18255
29,29,0.12454,0.18108,0.19969,0.20644,0.15499,0.11268,0.1247,0.18232
30,30,0.12772,0.1849,0.20547,0.21092,0.15895,0.11506,0.12785,0.1849
31,31,0.12365,0.18095,0.2008,0.20677,0.15388,0.1126,0.12438,0.18037
32,32,0.12963,0.18617,0.20997,0.21428,0.16133,0.11585,0.13032,0.18731
33,33,0.12594,0.1821,0.2043,0.20953,0.15674,0.11331,0.12617,0.18171
34,34,0.12301,0.17891,0.20038,0.20539,0.15309,0.11133,0.12361,0.17747
35,35,0.13078,0.18388,0.20892,0.21177,0.16276,0.11442,0.12998,0.18457
36,36,0.12759,0.18464,0.20636,0.21156,0.1588,0.1149,0.12845,0.18421
37,37,0.13014,0.18961,0.20685,0.21313,0.16197,0.11799,0.12939,0.18822
38,38,0.12887,0.18719,0.207,0.21277,0.16038,0.11648,0.12903,0.18795
39,39,0.12861,0.18388,0.20653,0.21021,0.16006,0.11442,0.12773,0.18249
40,40,0.13078,0.18744,0.2117,0.2157,0.16276,0.11664,0.13065,0.18687
41,41,0.12849,0.1863,0.20853,0.21398,0.1599,0.11593,0.12921,0.18561
42,42,0.12849,0.18668,0.20857,0.21454,0.1599,0.11616,0.12868,0.18669
43,43,0.13141,0.18643,0.21047,0.21401,0.16355,0.11601,0.13235,0.18785
44,44,0.13638,0.1933,0.21498,0.21864,0.16973,0.12029,0.13805,0.19373
45,45,0.12135,0.18235,0.19488,0.20381,0.15103,0.11347,0.12156,0.18211
46,46,0.1332,0.18859,0.21192,0.21596,0.16577,0.11735,0.13305,0.19076
47,47,0.13358,0.19534,0.21376,0.22114,0.16624,0.12155,0.1339,0.19618
48,48,0.13422,0.19025,0.21584,0.21907,0.16704,0.11838,0.13416,0.19052
49,49,0.13027,0.18859,0.20888,0.21447,0.16212,0.11735,0.13027,0.18907
50,50,0.13205,0.19126,0.21409,0.21875,0.16434,0.11902,0.13224,0.19011
51,51,0.13345,0.19216,0.21473,0.2201,0.16609,0.11957,0.1338,0.19189
52,52,0.12925,0.18974,0.20938,0.216,0.16086,0.11807,0.12967,0.18871
53,53,0.12479,0.18362,0.20005,0.20747,0.15531,0.11426,0.12527,0.18272
54,54,0.13116,0.19037,0.21195,0.21796,0.16323,0.11846,0.13184,0.18989
