userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,61.72628402709961) (51,61.409942626953125)* (1073,61.080013275146484) (187,60.8080940246582) (59,60.28465270996094)* (157,60.01789093017578) (1098,59.44164276123047) (599,59.4344596862793) (511,59.320465087890625) (1464,59.24199676513672) (227,59.05555725097656) (715,59.03497314453125) (1122,59.002037048339844) (900,58.998680114746094) (1833,58.9981689453125) (159,58.96393585205078) (172,58.934898376464844) (1014,58.8427619934082) (4308,58.699668884277344) (61,58.680938720703125)*
3: (7015,62.26767349243164) (6326,61.785247802734375) (3703,60.38984298706055) (12491,60.319278717041016) (4253,60.1397590637207) (7485,59.774864196777344) (8633,59.76072311401367) (13819,59.50395202636719) (9571,59.37501907348633) (6887,59.35684585571289) (1923,59.29647445678711) (1627,59.10042953491211) (7472,59.09901428222656) (7497,58.970802307128906) (1543,58.935909271240234) (1253,58.762149810791016) (1544,58.582576751708984) (6980,58.41082000732422) (9587,58.39793014526367) (15290,58.305118560791016)
4: (511,59.858638763427734) (190,59.664276123046875)* (1001,59.45405197143555) (959,59.422996520996094) (1104,59.11937713623047) (7,59.074432373046875) (1713,59.010520935058594) (159,58.90791320800781)* (70,58.866973876953125)* (1072,58.862083435058594) (172,58.68444061279297)* (1795,58.62754821777344) (227,58.562469482421875) (1055,58.441436767578125) (229,58.422203063964844) (1061,58.389991760253906) (99,58.36449432373047) (969,58.34268569946289) (1791,58.31847381591797) (726,58.2821044921875)
5: (163,60.298282623291016) (418,59.76736831665039) (859,59.468994140625) (715,59.442352294921875) (436,59.40346908569336) (615,59.37926483154297) (868,59.130340576171875) (863,59.10255813598633) (735,59.00372314453125) (599,58.95806121826172) (609,58.94721221923828) (3259,58.888206481933594) (429,58.863365173339844) (159,58.83476638793945) (220,58.82997512817383)* (533,58.821495056152344) (81,58.74372482299805) (88,58.73273849487305) (1242,58.69346618652344) (614,58.6697998046875)
6: (1825,62.397705078125) (2054,62.2014274597168) (1641,62.12062454223633) (266,61.8929443359375)* (67,61.815277099609375) (67,61.815277099609375) (1832,61.76278305053711) (263,61.269378662109375)* (727,61.25691223144531) (157,61.1458740234375) (2226,61.08583068847656) (2919,61.07805633544922) (12734,61.04957580566406) (789,61.011878967285156) (15338,60.89531707763672) (2079,60.88521957397461) (8991,60.875457763671875) (987,60.85813522338867) (11078,60.83323287963867) (1841,60.808204650878906)
7: (292,58.26652145385742)* (55,57.88300323486328)* (701,57.837257385253906) (349,57.74928665161133) (302,57.7259521484375)* (466,57.331214904785156) (333,57.15641403198242)* (525,57.05767059326172) (318,56.86634063720703)* (352,56.84934616088867) (461,56.84339141845703) (523,56.7112922668457) (907,56.62275695800781) (679,56.452449798583984) (157,56.35566711425781) (285,56.355567932128906) (544,56.31891632080078) (265,56.28866195678711) (468,56.13505554199219) (455,56.125362396240234)
8: (641,59.58262634277344) (701,59.48390579223633) (251,59.38417434692383)* (67,59.30339813232422) (67,59.30339813232422) (157,59.28715515136719) (1475,59.259456634521484) (294,59.196083068847656) (299,59.19491958618164) (455,59.16675567626953) (913,59.0748291015625) (465,58.99518585205078) (306,58.939022064208984) (301,58.84837341308594) (55,58.83184051513672) (161,58.76477813720703) (285,58.61235427856445) (637,58.60490417480469) (5249,58.566001892089844) (792,58.563575744628906)
9: (460,58.584877014160156) (968,58.307193756103516) (5089,57.82102966308594) (1613,57.70569610595703) (475,57.68815994262695) (498,57.59722137451172) (2512,57.4919548034668) (2106,57.40523147583008) (2154,57.224178314208984) (489,57.221961975097656) (490,57.176822662353516) (3324,56.91027069091797) (1918,56.89512252807617) (1919,56.839359283447266) (8292,56.82283401489258) (11695,56.818687438964844) (230,56.799869537353516) (4437,56.75860595703125) (1857,56.704017639160156) (930,56.562347412109375)
10: (207,58.32061767578125) (225,58.05826950073242)* (1090,57.734291076660156) (615,57.7288818359375) (618,57.715599060058594) (227,57.579288482666016) (217,57.56829833984375)* (1390,57.50288391113281) (195,57.4576416015625) (1239,57.20781707763672) (65,57.109798431396484) (65,57.109798431396484) (190,57.07261657714844) (206,57.01013946533203) (604,56.963401794433594) (1400,56.899383544921875) (1048,56.89596176147461) (1515,56.80271911621094) (533,56.77008819580078) (203,56.74712371826172)
11: (295,59.41608810424805)* (300,59.056739807128906)* (89,58.988616943359375)* (306,58.88931655883789)* (701,58.60441589355469) (257,58.57344055175781) (333,58.425567626953125) (302,58.413055419921875) (907,58.37511444091797) (291,58.332557678222656) (329,58.27382278442383)* (299,57.97594451904297) (310,57.868255615234375) (55,57.86488342285156) (475,57.79966735839844)* (161,57.78999328613281) (318,57.61962127685547) (328,57.42610168457031) (290,57.318748474121094) (1613,57.29426956176758)
12: (930,58.62047576904297) (1044,58.38787841796875) (2014,58.29345703125) (1854,58.265602111816406) (209,58.11812210083008) (198,57.95458221435547) (7,57.94548416137695) (1104,57.821800231933594) (1145,57.70355224609375) (726,57.676231384277344) (978,57.63288879394531) (490,57.63208770751953)* (955,57.57318115234375) (1672,57.56366729736328) (498,57.51910400390625)* (405,57.514678955078125)* (1874,57.43217086791992) (4502,57.37275695800781) (190,57.3109245300293) (966,57.30702209472656)
13: (289,63.34551239013672) (288,63.26018524169922) (306,63.0345458984375) (302,62.484642028808594)* (328,62.39006805419922)* (704,62.02172088623047) (701,61.95286560058594) (331,61.895423889160156) (486,61.73072052001953) (679,61.683860778808594) (291,61.63469314575195) (972,61.62126159667969) (293,61.58035659790039) (349,61.51996612548828)* (907,61.508514404296875) (344,61.49193572998047)* (191,61.39414978027344) (686,61.3271598815918) (2521,61.31553268432617) (475,61.24842071533203)
