userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,75.0465316772461) (3768,74.84757995605469) (1073,74.75566101074219) (51,74.49420928955078)* (3920,74.2337875366211) (1014,73.69796752929688) (1019,73.68535614013672) (1013,73.63550567626953) (998,73.54996490478516) (1836,73.5308609008789) (997,73.46241760253906) (187,73.40522766113281) (3501,73.39506530761719) (1885,73.39071655273438) (59,73.33796691894531)* (157,73.26742553710938) (1886,73.21783447265625) (4308,73.1673355102539) (91,73.10387420654297)* (61,73.01515197753906)*
3: (1801,67.41409301757812) (10333,66.82357025146484) (10336,66.76465606689453) (1945,66.22990417480469) (10363,66.16695404052734) (2668,66.07076263427734) (10359,65.99201965332031) (6764,65.79629516601562) (13033,65.77003479003906) (18192,65.68401336669922) (14361,65.64122772216797) (7021,65.58470916748047) (7694,65.43196105957031) (5352,65.4278564453125) (2673,65.40641784667969) (18198,65.38954162597656) (16367,65.28228759765625) (11520,65.24618530273438) (2146,65.24146270751953) (2695,65.24036407470703)
4: (2014,76.07350158691406) (1298,75.99734497070312) (518,75.75410461425781) (190,75.75103759765625)* (930,75.73471069335938) (1104,75.49642181396484) (511,75.29656982421875) (959,75.17772674560547) (1300,74.94823455810547) (172,74.83769226074219)* (1001,74.7773208618164) (378,74.7027587890625) (159,74.69505310058594)* (63,74.67042541503906) (63,74.67042541503906) (1098,74.58392333984375) (877,74.5182876586914) (389,74.48817443847656) (1114,74.44564056396484) (1075,74.43368530273438)
5: (429,74.03397369384766) (441,73.97655487060547) (418,73.9213638305664) (1504,73.48540496826172) (159,73.44694519042969) (436,73.35360717773438) (424,73.31108093261719) (1098,73.31001281738281) (425,73.2579345703125) (1090,73.06901550292969) (709,72.97471618652344) (88,72.95773315429688) (173,72.93818664550781)* (615,72.91587829589844) (56,72.91344451904297) (56,72.91344451904297) (163,72.89936828613281) (1390,72.72525024414062) (533,72.71866607666016) (81,72.7001724243164)
6: (6529,76.19181823730469) (1427,75.533203125) (1834,75.29837799072266) (2455,75.17924499511719) (7545,75.086181640625) (1936,75.04899597167969) (1841,74.88722229003906) (67,74.85050964355469) (67,74.85050964355469) (13929,74.72697448730469) (301,74.67184448242188) (69,74.5953140258789) (69,74.5953140258789) (266,74.59367370605469)* (251,74.54502868652344)* (310,74.47974395751953) (8991,74.47191619873047) (987,74.43983459472656) (2220,74.4330062866211) (8071,74.3318099975586)
7: (701,76.99752044677734) (292,76.96565246582031)* (349,76.80760955810547) (302,76.72053527832031)* (333,76.65235137939453)* (466,76.33099365234375) (55,76.2784423828125)* (679,76.11634826660156) (290,75.87096405029297)* (344,75.85584259033203) (913,75.83403778076172) (318,75.81573486328125)* (525,75.75992584228516) (907,75.609130859375) (1934,75.60872650146484) (2523,75.52362823486328) (265,75.52095794677734) (523,75.48046112060547) (465,75.40007019042969) (279,75.33880615234375)
8: (3570,76.2813949584961) (67,75.70022583007812) (67,75.70022583007812) (641,75.59288787841797) (2052,75.43472290039062) (11219,75.34980773925781) (1475,75.25975036621094) (2067,75.19017791748047) (6862,75.11246490478516) (6232,75.06668853759766) (2395,75.06415557861328) (4817,75.03358459472656) (457,75.0010986328125) (2059,74.98637390136719) (909,74.89293670654297) (55,74.85969543457031) (2046,74.7249526977539) (1447,74.69690704345703) (798,74.66635131835938) (2462,74.63431549072266)
9: (2096,79.23941802978516) (10228,78.71331024169922) (1919,78.41050720214844) (498,78.30827331542969) (2100,78.27234649658203) (2097,78.2166519165039) (968,78.09679412841797) (2944,78.02800750732422) (475,77.97589111328125) (1797,77.94398498535156) (3982,77.88548278808594) (1918,77.85171508789062) (89,77.72148132324219) (518,77.63809967041016) (2799,77.58153533935547) (3863,77.54743957519531) (2092,77.54627990722656) (930,77.53939056396484) (486,77.50511932373047) (6397,77.33504486083984)
10: (225,71.89207458496094)* (217,71.11589813232422)* (207,71.09577941894531) (1390,71.08802032470703) (1090,70.83304595947266) (227,70.74639129638672) (190,70.65953826904297) (1424,70.62928009033203) (1400,70.57274627685547) (604,70.560302734375) (210,70.46327209472656) (618,70.42987060546875) (2815,70.42655944824219) (703,70.41433715820312) (615,70.38005828857422) (1376,70.31684875488281) (65,70.22550964355469) (65,70.22550964355469) (1106,70.18128967285156) (231,70.16255950927734)
11: (89,89.48490142822266)* (295,89.4267578125)* (333,89.21202087402344) (161,88.90672302246094) (475,88.87667846679688)* (300,88.81094360351562)* (701,88.54119110107422) (306,88.49369049072266)* (257,88.46700286865234) (302,88.1465072631836) (5988,88.1163558959961) (329,87.95716857910156)* (291,87.94902801513672) (7390,87.92616271972656) (498,87.91493225097656) (55,87.89906311035156) (4562,87.85575866699219) (310,87.78949737548828) (378,87.67748260498047) (1455,87.65983581542969)
12: (930,71.42768096923828) (2014,71.20999908447266) (1104,71.11723327636719) (1854,70.91524505615234) (498,70.3924560546875)* (7,70.3836898803711) (1044,70.1932601928711) (726,70.07843780517578) (1914,69.96309661865234) (190,69.81825256347656) (1672,69.80107116699219) (1797,69.78601837158203) (978,69.74674224853516) (2062,69.61795806884766) (5079,69.561767578125) (2956,69.55979919433594) (966,69.5493392944336) (500,69.51881408691406)* (1859,69.46846008300781) (955,69.46218872070312)
