userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,53.743186950683594) (51,53.6226921081543)* (187,52.742835998535156) (1014,52.682289123535156) (1073,52.478580474853516) (59,52.15489196777344)* (193,52.08202362060547) (3768,52.08128356933594) (511,52.05740737915039) (1013,51.96367645263672) (1019,51.921756744384766) (599,51.904022216796875) (993,51.81451416015625) (998,51.702423095703125) (1885,51.68733596801758) (1892,51.66470718383789) (3201,51.65154266357422) (1098,51.6512336730957) (997,51.5468635559082) (61,51.48124694824219)*
3: (10008,54.91791915893555) (8390,54.81088638305664) (2678,54.556434631347656) (2667,54.393348693847656) (9587,54.23588180541992) (7312,54.145164489746094) (7485,54.01012420654297) (11520,53.92081069946289) (12845,53.88426208496094) (7963,53.771209716796875) (2673,53.697208404541016) (7521,53.6895866394043) (1222,53.5805778503418) (2702,53.531455993652344) (2149,53.43842315673828) (2671,53.249725341796875) (1253,53.21672821044922) (11103,53.21519088745117) (11094,53.136375427246094) (2684,53.0657844543457)
4: (511,49.87993621826172) (959,49.688941955566406) (190,49.57373809814453)* (1104,49.33552169799805) (1001,49.19451904296875) (7,49.05031967163086) (930,48.89339828491211) (1713,48.79140090942383) (172,48.74517822265625)* (227,48.69473648071289) (229,48.681121826171875) (159,48.663055419921875)* (377,48.489013671875) (1375,48.400665283203125) (99,48.32433319091797) (533,48.324310302734375) (2014,48.11783218383789) (1795,48.080997467041016) (961,48.05315017700195) (67,48.04906463623047)
5: (429,54.662113189697266) (418,54.53784942626953) (163,54.48288345336914) (436,54.275787353515625) (599,54.228187561035156) (859,54.1429328918457) (159,54.093406677246094) (709,54.08686065673828) (88,54.043540954589844) (533,53.82404327392578) (857,53.814918518066406) (441,53.81358337402344) (424,53.725975036621094) (614,53.57313537597656) (863,53.51228332519531) (1090,53.38140106201172) (1412,53.35071563720703) (233,53.34136962890625)* (868,53.323509216308594) (718,53.295066833496094)
6: (1694,59.349884033203125) (157,59.11903381347656) (67,59.09161376953125) (67,59.09161376953125) (1427,58.371822357177734) (15920,58.34832763671875) (251,58.300655364990234)* (1834,58.05116653442383) (601,58.03685760498047) (1832,57.98287582397461) (266,57.91573715209961)* (987,57.896209716796875) (69,57.89220428466797) (69,57.89220428466797) (295,57.81199645996094) (288,57.71818542480469) (1464,57.70079040527344) (89,57.650325775146484) (8975,57.64087677001953) (55,57.63719940185547)
7: (292,52.687347412109375)* (333,52.412994384765625)* (55,52.37771987915039)* (302,52.375404357910156)* (701,52.28085708618164) (466,52.07710266113281) (679,51.892677307128906) (157,51.738731384277344) (349,51.48675537109375) (461,51.48063659667969) (544,51.478759765625) (525,51.25531005859375) (318,51.21761703491211)* (344,51.06049346923828) (352,51.05775833129883) (1934,51.000030517578125) (523,50.943092346191406) (903,50.81403350830078) (906,50.714324951171875) (972,50.630950927734375)
8: (909,53.05320739746094) (479,52.96809387207031) (2067,52.88153076171875) (67,52.87751770019531) (67,52.87751770019531) (637,52.720245361328125) (161,52.681495666503906) (157,52.67311096191406) (3570,52.65704345703125) (4565,52.53797149658203) (3576,52.39650344848633) (800,52.3671989440918) (455,52.31310272216797) (3951,52.295650482177734) (638,52.232398986816406) (701,52.12611770629883) (294,52.04652404785156) (6313,51.97126770019531) (3320,51.95913314819336) (786,51.95829772949219)
9: (930,53.791263580322266) (1854,53.49058151245117) (1797,53.468650817871094) (726,53.438743591308594) (497,53.4316520690918) (490,53.2735595703125) (754,53.259700775146484) (1859,53.24652862548828) (475,53.220916748046875) (518,53.214599609375) (1104,53.145545959472656) (489,53.11376953125) (486,52.99941635131836) (396,52.98817443847656)* (4502,52.98554229736328) (2944,52.9120979309082) (7874,52.908851623535156) (198,52.84355163574219) (966,52.83958435058594) (378,52.78009796142578)*
10: (225,55.567283630371094)* (207,55.38201141357422) (1090,55.304832458496094) (217,55.24089431762695)* (615,54.86578369140625) (441,54.845542907714844)* (227,54.812049865722656) (618,54.75967788696289) (203,54.71534729003906) (1400,54.71156692504883) (210,54.636085510253906) (1390,54.58414077758789) (170,54.38206100463867) (1239,54.35301208496094) (223,54.30165100097656) (206,54.253116607666016) (222,54.21449661254883) (622,54.20299530029297) (195,54.185630798339844) (1376,54.18333435058594)
11: (475,54.82649612426758)* (89,54.7574462890625)* (333,54.61695861816406) (300,54.556861877441406)* (701,54.54296112060547) (295,54.4793815612793)* (378,54.41593551635742) (161,54.331295013427734) (377,54.23053741455078) (306,54.09923553466797)* (291,54.019935607910156) (302,54.001251220703125) (907,53.86967849731445) (498,53.82172775268555) (257,53.60715866088867) (374,53.44569396972656) (544,53.43584442138672) (329,53.41810607910156)* (525,53.417236328125) (310,53.32354736328125)
12: (1104,52.55380630493164) (2014,52.30024719238281) (7,52.10751724243164) (930,51.91365051269531) (190,51.88208770751953) (5079,51.79401397705078) (1044,51.57128143310547) (173,51.569786071777344) (1854,51.53688049316406) (1091,51.50859069824219) (209,51.222862243652344) (1179,51.212120056152344) (498,51.090911865234375)* (198,51.08436584472656) (1714,51.056312561035156) (1672,51.055625915527344) (1300,51.03570556640625) (978,51.021484375) (234,50.940643310546875) (537,50.81556701660156)
13: (289,50.987571716308594) (306,50.94907760620117) (288,50.90802001953125) (302,50.27092742919922)* (701,50.24836730957031) (157,50.239402770996094) (903,50.152793884277344) (328,50.07833480834961)* (475,49.946929931640625) (679,49.79377746582031) (349,49.777870178222656)* (1934,49.73023223876953) (532,49.622474670410156)* (190,49.595123291015625) (56,49.58891296386719) (56,49.58891296386719) (329,49.563636779785156) (2083,49.4946174621582) (689,49.47991943359375) (377,49.447349548339844)
14: (1123,62.811561584472656) (613,62.3814697265625) (2902,62.34889221191406) (3430,62.174434661865234) (1889,62.134803771972656) (9433,61.99844741821289) (11124,61.880027770996094) (4620,61.80052947998047) (610,61.76451110839844) (5375,61.69159698486328) (11919,61.53377151489258) (1150,61.46827697753906) (11927,61.419151306152344) (1005,61.39433288574219) (2419,61.3282470703125) (599,61.292137145996094) (15384,61.27362823486328) (2265,61.19200134277344) (3458,61.178955078125) (7056,61.14768981933594)
15: (418,59.70176696777344) (197,59.5899543762207)* (163,59.292354583740234) (206,59.28242492675781) (863,59.22105407714844) (859,59.00590515136719) (718,58.822410583496094) (196,58.80665969848633) (1504,58.609764099121094) (199,58.51587677001953) (630,58.46227264404297)* (2475,58.43053436279297) (1242,58.35646057128906) (441,58.350006103515625) (857,58.33201599121094) (1976,58.317237854003906) (1123,58.224830627441406) (1881,58.19800567626953) (436,58.17167282104492) (1412,58.119712829589844)
16: (3982,49.60565185546875) (9013,49.584190368652344) (2515,49.5243034362793) (2098,49.47377014160156) (16431,49.24738311767578) (4565,48.888397216796875) (3985,48.75480270385742) (3572,48.752769470214844) (5076,48.568382263183594) (3570,48.56245422363281) (1057,48.41395950317383) (4687,48.24265670776367) (502,48.13623046875) (1114,48.088714599609375) (338,47.93181610107422) (5459,47.86649703979492) (4769,47.723087310791016) (1575,47.68159866333008) (4558,47.66693878173828) (16427,47.597503662109375)
17: (333,56.839805603027344) (300,56.771934509277344)* (701,56.21198272705078)* (1934,56.07756805419922) (1246,55.546722412109375) (306,55.50324249267578)* (291,55.43994140625) (471,55.40052795410156) (295,55.396095275878906) (302,55.38738250732422) (470,55.352943420410156) (689,55.33158874511719)* (292,55.33079528808594)* (458,55.258567810058594) (903,55.13103103637695) (3399,55.11250305175781) (1047,55.094764709472656) (481,55.07231903076172) (321,55.05087661743164) (1201,54.98989486694336)
18: (959,55.338401794433594) (227,54.476531982421875)* (1412,54.462432861328125) (868,53.92652893066406) (1415,53.89454650878906) (1249,53.56758499145508) (917,53.53916549682617) (2346,53.42066192626953) (1406,53.24985885620117) (198,53.231666564941406) (220,53.17230224609375)* (614,53.12982940673828) (1122,53.11225891113281) (234,53.03590774536133) (157,52.98950958251953) (253,52.98744201660156) (176,52.921470642089844) (7,52.89728546142578) (951,52.86499786376953) (377,52.79933166503906)
20: (2605,58.161495208740234) (174,57.99458312988281) (5069,57.80651092529297) (162,57.68138885498047) (101,57.66033172607422) (11852,57.52325439453125) (1226,57.50662612915039) (1401,57.301719665527344) (603,57.229610443115234) (2174,57.22489547729492) (2165,57.20921325683594) (5807,57.20304870605469) (2667,57.18251419067383) (2193,57.153953552246094) (2832,57.12310791015625) (755,57.065696716308594)* (1099,56.94634246826172) (2668,56.88334655761719) (7079,56.8036994934082) (4316,56.69298553466797)
21: (257,51.10710144042969) (89,50.70970153808594)* (349,50.60356903076172) (306,50.4896354675293)* (294,50.404815673828125) (161,50.288230895996094) (333,50.282196044921875) (913,50.21885299682617) (455,50.17580795288086) (291,50.156517028808594) (265,50.13704299926758) (466,50.07456970214844)* (157,50.03815460205078) (308,49.896453857421875) (290,49.7333984375) (340,49.72968292236328) (296,49.67564392089844) (386,49.667945861816406) (328,49.64564514160156) (285,49.633453369140625)
22: (1547,58.626853942871094) (953,57.85260772705078) (5100,57.777992248535156) (785,57.77595138549805) (2744,57.69735336303711) (500,57.577789306640625) (923,57.520328521728516) (5666,57.44583511352539) (2379,57.24789810180664) (3719,57.17776870727539) (843,57.167911529541016)* (2850,57.137176513671875) (383,57.04701232910156) (1044,57.040496826171875) (809,57.026424407958984)* (2143,57.022743225097656) (3543,57.02259063720703) (2576,56.98603057861328) (11936,56.9569206237793) (4821,56.91164016723633)
23: (1119,58.62896728515625) (868,58.15071105957031)* (1118,58.09556198120117) (1131,58.08681869506836) (857,57.9560546875)* (1534,57.86921691894531) (186,57.86751174926758) (1143,57.82297134399414) (215,57.772300720214844) (152,57.710933685302734)* (227,57.69933319091797)* (59,57.69032287597656) (959,57.58219909667969) (1707,57.563926696777344) (864,57.515052795410156)* (51,57.415672302246094) (614,57.38903045654297) (1295,57.32136535644531) (1412,57.29045104980469) (441,57.22699737548828)
24: (67,54.45967102050781)* (67,54.45967102050781)* (157,53.67646789550781)* (55,53.51081085205078)* (288,53.417274475097656)* (1934,53.354248046875) (701,53.18071365356445) (295,53.03437042236328)* (289,52.91328811645508)* (525,52.91144561767578) (97,52.893089294433594) (306,52.86866760253906) (292,52.8170280456543) (697,52.72099304199219) (2083,52.656394958496094) (1243,52.63848114013672) (3488,52.60246658325195) (679,52.50218963623047) (1098,52.43585205078125) (65,52.34162902832031)
25: (306,49.15727615356445) (349,48.91875457763672)* (161,48.68781661987305) (292,48.62091064453125)* (89,48.61140441894531)* (257,48.242454528808594) (300,48.22069549560547) (475,48.21226501464844) (461,48.071163177490234) (525,47.98949432373047) (333,47.96755599975586) (544,47.7795295715332) (299,47.74803924560547) (291,47.61814880371094) (466,47.536155700683594) (320,47.530418395996094) (378,47.45356369018555) (251,47.39404296875) (377,47.36078643798828) (1449,47.33673858642578)
26: (710,59.549102783203125) (918,59.406410217285156)* (707,59.061431884765625)* (724,58.88579559326172) (1803,58.78266143798828) (2797,58.78224182128906) (176,58.64739990234375) (2838,58.633148193359375) (4342,58.50370788574219) (732,58.46949768066406) (1358,58.354827880859375) (2787,58.34416961669922) (1249,58.31673812866211) (2343,58.277732849121094) (1339,58.21497344970703) (954,58.158660888671875)* (1369,58.109718322753906) (1360,58.014835357666016) (2342,58.00274658203125) (1338,57.99504089355469)
27: (190,54.89155197143555) (72,54.52452087402344) (72,54.52452087402344) (65,54.427059173583984) (65,54.427059173583984) (173,54.418067932128906) (227,54.172786712646484) (234,54.14506912231445) (157,54.037803649902344) (154,54.032875061035156) (1705,54.02260208129883) (7,53.96476745605469) (1104,53.951053619384766) (70,53.87126541137695) (377,53.83097457885742) (511,53.81493377685547) (229,53.81095504760742) (67,53.76808547973633)* (67,53.76808547973633)* (959,53.73193359375)
28: (877,50.719539642333984) (187,50.567901611328125) (7096,50.050140380859375) (3966,49.953704833984375) (1001,49.90303421020508)* (6522,49.37879943847656) (75,49.064796447753906) (75,49.064796447753906) (3982,48.96888732910156) (3768,48.829586029052734) (1014,48.765342712402344)* (175,48.696266174316406) (1114,48.67487335205078) (4135,48.54405975341797) (1793,48.478153228759766) (2044,48.379520416259766) (30,48.337928771972656) (99,48.32499694824219) (3920,48.314186096191406) (997,48.2899055480957)*
