,epoch,hit@10,precision@10,recall@10,ndcg@10,hit@20,precision@20,recall@20,ndcg@20
0,0,0.02636,0.03281,0.02649,0.03103,0.05043,0.03138,0.05171,0.04141
1,1,0.04521,0.05626,0.04494,0.06741,0.0801,0.04984,0.07923,0.08149
2,2,0.07182,0.08938,0.07242,0.10117,0.11728,0.07298,0.11691,0.11517
3,3,0.07577,0.09429,0.07605,0.11386,0.1169,0.07274,0.11778,0.12363
4,4,0.09118,0.11347,0.09104,0.13706,0.13664,0.08502,0.13542,0.14488
5,5,0.09423,0.11727,0.09498,0.13832,0.1467,0.09128,0.14694,0.15146
6,6,0.08583,0.10681,0.08757,0.12733,0.13664,0.08502,0.13825,0.14106
7,7,0.09589,0.11933,0.09664,0.14249,0.14517,0.09033,0.14708,0.15309
8,8,0.09525,0.11854,0.0981,0.13922,0.14797,0.09208,0.14943,0.15225
9,9,0.09219,0.11474,0.09504,0.13734,0.15013,0.09342,0.1523,0.15397
10,10,0.09792,0.12187,0.09837,0.13898,0.15281,0.09509,0.15416,0.15377
11,11,0.09831,0.12235,0.09927,0.14183,0.15077,0.09382,0.15201,0.15436
12,12,0.10098,0.12567,0.10165,0.14654,0.15968,0.09937,0.1611,0.16284
13,13,0.10786,0.13423,0.10808,0.16269,0.16376,0.1019,0.16466,0.17484
14,14,0.1183,0.14723,0.11891,0.17681,0.17344,0.10792,0.17386,0.18622
15,15,0.11461,0.14263,0.11471,0.17205,0.16936,0.10539,0.17085,0.18233
16,16,0.11588,0.14422,0.11594,0.17544,0.17178,0.10689,0.17299,0.18598
17,17,0.11397,0.14184,0.11346,0.17139,0.17229,0.10721,0.17406,0.18376
18,18,0.11448,0.14247,0.1143,0.17101,0.17242,0.10729,0.17488,0.18343
19,19,0.12135,0.15103,0.12181,0.1848,0.18235,0.11347,0.18388,0.19715
20,20,0.11639,0.14485,0.11698,0.17775,0.17789,0.1107,0.1806,0.19103
21,21,0.11639,0.14485,0.11667,0.18526,0.18133,0.11284,0.18388,0.19991
22,22,0.12263,0.15261,0.12324,0.19696,0.17649,0.10983,0.17846,0.20273
23,23,0.12568,0.15642,0.12663,0.19485,0.18006,0.11204,0.18186,0.20081
24,24,0.11792,0.14675,0.11867,0.18011,0.17471,0.10872,0.17658,0.1902
25,25,0.12416,0.15452,0.12437,0.19363,0.1812,0.11276,0.18297,0.20182
26,26,0.12441,0.15483,0.12472,0.18845,0.18464,0.1149,0.18624,0.19959
27,27,0.12772,0.15895,0.12821,0.19959,0.18248,0.11355,0.18448,0.20543
28,28,0.12912,0.1607,0.12897,0.20079,0.18706,0.1164,0.188,0.20793
29,29,0.12645,0.15737,0.12602,0.19593,0.18668,0.11616,0.18683,0.20508
30,30,0.12085,0.1504,0.12024,0.18663,0.18388,0.11442,0.18407,0.1991
31,31,0.1197,0.14897,0.11965,0.18033,0.18273,0.11371,0.18317,0.19332
32,32,0.12632,0.15721,0.12553,0.19468,0.18693,0.11632,0.18724,0.20431
33,33,0.12021,0.1496,0.11922,0.1799,0.17828,0.11094,0.17863,0.19037
34,34,0.12556,0.15626,0.12789,0.19437,0.19139,0.1191,0.19181,0.20747
35,35,0.1239,0.1542,0.12472,0.19178,0.18515,0.11521,0.18445,0.20177
36,36,0.11588,0.14422,0.1158,0.17855,0.17637,0.10975,0.17692,0.19011
37,37,0.12454,0.15499,0.12341,0.19107,0.19037,0.11846,0.19076,0.20409
38,38,0.12632,0.15721,0.12591,0.19304,0.18846,0.11727,0.18808,0.20403
39,39,0.11983,0.14913,0.11948,0.18659,0.18477,0.11498,0.18462,0.20049
40,40,0.11932,0.14849,0.11973,0.18728,0.18108,0.11268,0.18274,0.19921
41,41,0.12632,0.15721,0.12577,0.19369,0.19037,0.11846,0.19169,0.20564
42,42,0.13065,0.1626,0.13067,0.20266,0.19126,0.11902,0.19251,0.21191
43,43,0.12467,0.15515,0.12468,0.19709,0.19012,0.1183,0.19136,0.20961
44,44,0.12734,0.15848,0.12782,0.20162,0.19216,0.11957,0.19236,0.21261
45,45,0.13091,0.16292,0.13193,0.20081,0.19432,0.12092,0.19429,0.21084
46,46,0.13141,0.16355,0.13138,0.20436,0.19827,0.12338,0.19991,0.21642
47,47,0.12709,0.15816,0.12668,0.20068,0.18999,0.11823,0.18968,0.21106
48,48,0.13192,0.16418,0.13192,0.20571,0.19814,0.1233,0.19986,0.21797
49,49,0.13205,0.16434,0.13224,0.20497,0.19623,0.12211,0.1973,0.21517
50,50,0.13358,0.16624,0.13415,0.20456,0.19903,0.12385,0.19909,0.21624
51,51,0.12734,0.15848,0.12798,0.19347,0.18935,0.11783,0.18944,0.20435
52,52,0.12594,0.15674,0.12539,0.19344,0.18834,0.11719,0.18834,0.20481
53,53,0.13065,0.1626,0.13106,0.20222,0.19432,0.12092,0.19456,0.21261
54,54,0.136,0.16926,0.13577,0.20647,0.19929,0.12401,0.20032,0.21611
55,55,0.13447,0.16735,0.13394,0.20467,0.19776,0.12306,0.19795,0.21459
56,56,0.1304,0.16228,0.13018,0.20435,0.20285,0.12623,0.20117,0.2196
57,57,0.13523,0.1683,0.13595,0.20401,0.20145,0.12536,0.20224,0.21632
58,58,0.13956,0.17369,0.13944,0.2129,0.20795,0.1294,0.20699,0.2245
59,59,0.13765,0.17132,0.13781,0.20757,0.20285,0.12623,0.20436,0.21875
60,60,0.14097,0.17544,0.14054,0.21482,0.2082,0.12956,0.20839,0.22579
61,61,0.13269,0.16513,0.13217,0.20137,0.19776,0.12306,0.19743,0.21301
62,62,0.13294,0.16545,0.13219,0.19902,0.19954,0.12417,0.19992,0.21158
63,63,0.1416,0.17623,0.14308,0.21781,0.20973,0.13051,0.21107,0.22891
64,64,0.13103,0.16307,0.1307,0.20246,0.20018,0.12456,0.20185,0.21642
65,65,0.13434,0.16719,0.13391,0.20379,0.20043,0.12472,0.20095,0.21557
