,ep,loss
0,0,1.8713122555616096e-05
1,1,1.998668086153442e-05
2,2,2.0915223624908805e-05
3,3,2.2064728873805787e-05
4,4,2.291381089688599e-05
5,5,2.30072585944309e-05
6,6,2.3784833311323233e-05
7,7,2.447050381148153e-05
8,8,2.521432789895921e-05
9,9,2.6019611626540463e-05
10,10,2.6598423156885453e-05
11,11,2.735322978472468e-05
12,12,2.7888360549293168e-05
13,13,2.8407726535323285e-05
14,14,2.8955274562753107e-05
15,15,2.9430754043082725e-05
16,16,2.961986634049522e-05
17,17,3.0071399062586647e-05
18,18,3.0477691404445544e-05
19,19,3.072459726587947e-05
20,20,3.111373366898003e-05
21,21,3.147053624847959e-05
22,22,3.1730952017421544e-05
23,23,3.1988034218668446e-05
24,24,3.244256803601623e-05
25,25,3.271966983332748e-05
26,26,3.296889023295799e-05
27,27,3.3167736374049746e-05
28,28,3.376473952395374e-05
29,29,3.394522605139004e-05
30,30,3.410269754578492e-05
31,31,3.462065503727313e-05
32,32,3.485896022071907e-05
33,33,3.515093580091725e-05
34,34,3.5781313049429365e-05
35,35,3.56737038794962e-05
36,36,3.5925653942339785e-05
37,37,3.641867267210386e-05
38,38,3.682125091799829e-05
39,39,3.716023109683936e-05
40,40,3.743652823938355e-05
41,41,3.769797173014882e-05
42,42,3.809859612259532e-05
43,43,3.8374941853006654e-05
44,44,3.872757703431683e-05
45,45,3.890184130947098e-05
46,46,3.9224698785862706e-05
47,47,3.956284677345681e-05
48,48,3.9986022493250765e-05
49,49,4.009026932238377e-05
50,50,3.991367199560333e-05
51,51,4.044050893059788e-05
52,52,4.096890041851273e-05
53,53,4.109777902435187e-05
54,54,4.121473318404378e-05
55,55,4.141350849239402e-05
56,56,4.180018703099856e-05
57,57,4.186888839145331e-05
58,58,4.19455144344783e-05
59,59,4.1962267772645205e-05
60,60,4.2315781461130165e-05
61,61,4.2638594505290605e-05
62,62,4.317854633950536e-05
63,63,4.3026483886904664e-05
64,64,4.313212230763851e-05
65,65,4.31656549818604e-05
66,66,4.376154173241023e-05
67,67,4.380837771864405e-05
68,68,4.37621505977724e-05
69,69,4.425503754067574e-05
70,70,4.466972663239834e-05
71,71,4.4783272077844813e-05
72,72,4.483612014759302e-05
73,73,4.50421334376601e-05
74,74,4.518841981522927e-05
75,75,4.5661738904132306e-05
76,76,4.5643535177149765e-05
77,77,4.5550261211067095e-05
78,78,4.582853901019162e-05
79,79,4.6035719516281254e-05
80,80,4.638098116162078e-05
81,81,4.6622368820327274e-05
82,82,4.6456719767886653e-05
83,83,4.6315640445201375e-05
84,84,4.669455300626371e-05
85,85,4.603543745069912e-05
86,86,4.711640602598434e-05
87,87,4.754227879659637e-05
88,88,4.7573133271344915e-05
89,89,4.7519413467101835e-05
90,90,4.790528451820482e-05
91,91,4.814808746570217e-05
92,92,4.815859088569276e-05
93,93,4.848421797116762e-05
94,94,4.820644218435975e-05
95,95,4.826020567310724e-05
96,96,4.849482129897146e-05
