,ep,loss
0,0,4.873975858967953e-06
1,1,4.167889118804955e-06
2,2,4.403318954522863e-06
3,3,4.180406504271268e-06
4,4,4.667906913576876e-06
5,5,4.682250660566338e-06
6,6,4.698198934154343e-06
7,7,4.774583775949068e-06
8,8,4.7955418285494345e-06
9,9,4.834028281354973e-06
10,10,4.797636677941324e-06
11,11,4.792948776473343e-06
12,12,4.7555574262868445e-06
13,13,4.792937389815368e-06
14,14,4.849159028848726e-06
15,15,4.9404626249877754e-06
16,16,4.855413934866541e-06
17,17,4.834053899088643e-06
18,18,4.731198920385018e-06
19,19,4.70295131358416e-06
20,20,4.785940190529858e-06
21,21,4.297660767557325e-06
22,22,4.5764990544750486e-06
23,23,6.242053768441786e-06
24,24,5.90474076348846e-06
25,25,4.905556135652393e-06
26,26,4.874859196709949e-06
27,27,4.878984520883562e-06
28,28,4.800765878042821e-06
29,29,4.838596847591753e-06
30,30,4.715380744981324e-06
31,31,4.884492292281943e-06
32,32,4.698219395987713e-06
33,33,4.828694765366869e-06
34,34,4.781719396373863e-06
35,35,4.847064728568756e-06
36,36,4.721023952003774e-06
37,37,4.411906647946172e-06
38,38,4.712459845229129e-06
39,39,4.822394991243336e-06
40,40,4.8375723485431354e-06
41,41,4.942812696387444e-06
42,42,4.902984054079633e-06
43,43,4.86805879248602e-06
44,44,4.8630040456111114e-06
45,45,4.967416314706239e-06
46,46,4.938507223960905e-06
47,47,4.875797165246342e-06
48,48,4.883738890956428e-06
49,49,4.818775355111011e-06
50,50,4.875685960646137e-06
51,51,4.60371921985016e-06
52,52,4.735354876196394e-06
53,53,4.612659081844455e-06
54,54,4.393619597049326e-06
55,55,4.379444055353211e-06
56,56,4.8697476855026745e-06
57,57,4.546419042325084e-06
58,58,4.807758589169694e-06
59,59,4.789279722065661e-06
60,60,4.826943713060641e-06
61,61,4.893795351818547e-06
62,62,4.86244104861909e-06
63,63,4.843387209209892e-06
64,64,4.840947580442114e-06
65,65,4.79027290465936e-06
66,66,4.874224681260544e-06
67,67,4.875810023991592e-06
68,68,4.821074013997435e-06
69,69,4.8353467377188215e-06
70,70,4.816751839940919e-06
71,71,5.098559182198392e-06
72,72,4.698400740423886e-06
73,73,4.782610650853831e-06
74,74,4.909476915186546e-06
75,75,4.818084600175986e-06
76,76,4.882260733793661e-06
77,77,4.84609082151099e-06
78,78,4.984485451541871e-06
79,79,4.825379042461144e-06
80,80,4.7845812940053465e-06
81,81,4.91594071560109e-06
82,82,4.946152721315136e-06
83,83,5.248374788351946e-06
84,84,4.774626959871909e-06
85,85,4.616620928838975e-06
86,86,4.7503623772722445e-06
87,87,4.865253209831812e-06
88,88,4.908296669663801e-06
89,89,4.845371634082012e-06
90,90,4.539896898544389e-06
91,91,4.702596947666787e-06
92,92,4.871682346096019e-06
93,93,4.746414481854552e-06
94,94,4.77850645535654e-06
95,95,4.824323131694328e-06
96,96,4.890062102542734e-06
97,97,4.8338254712261594e-06
98,98,4.810222045440464e-06
99,99,4.797886667658438e-06
100,100,4.762556411309482e-06
101,101,4.831491648506538e-06
102,102,4.7645101002934585e-06
103,103,4.891948881655128e-06
104,104,4.8256664625585275e-06
105,105,4.852479825872125e-06
106,106,4.810684205352912e-06
107,107,4.695003499112609e-06
108,108,4.686531218949277e-06
109,109,4.7168818641891805e-06
110,110,4.766214052097883e-06
111,111,4.723131114623834e-06
112,112,4.713458182824419e-06
113,113,4.823499789147793e-06
114,114,4.822919899999236e-06
115,115,4.786613038664554e-06
116,116,4.73104127134144e-06
117,117,4.754862880592281e-06
118,118,4.870717802699614e-06
119,119,4.49147996157616e-06
120,120,4.7681732169229845e-06
121,121,4.799185003698785e-06
122,122,4.6003175937319165e-06
123,123,4.898058635194412e-06
124,124,4.6519272174861506e-06
125,125,4.679789435792944e-06
126,126,4.730830946198104e-06
127,127,4.603175701502572e-06
128,128,4.905614643482507e-06
129,129,4.858710604217748e-06
130,130,4.733450224434657e-06
131,131,4.774292170558377e-06
132,132,4.729268175471926e-06
133,133,6.377708160136909e-06
134,134,3.96768670182757e-06
135,135,4.094657651516848e-06
136,136,4.293571048483607e-06
137,137,4.418946675265292e-06
138,138,4.369823309856505e-06
139,139,4.396099592283531e-06
140,140,4.548738871228498e-06
141,141,4.573236567565523e-06
142,142,4.482626804443865e-06
143,143,4.189405930080136e-06
144,144,4.6708428685220005e-06
145,145,4.279355201433358e-06
146,146,4.6142829145350755e-06
147,147,4.617976233218898e-06
148,148,4.623742481753329e-06
149,149,4.5541199739206135e-06
150,150,4.139042991694806e-06
151,151,4.576316590245991e-06
152,152,4.658038673182515e-06
153,153,4.6761572644510325e-06
154,154,4.630569477014052e-06
155,155,4.728023558933856e-06
156,156,4.473607219666958e-06
157,157,4.86000886207031e-06
158,158,4.823119176399623e-06
159,159,4.911730957606102e-06
160,160,4.977137578240404e-06
161,161,5.098957708936572e-06
162,162,4.964425241865799e-06
163,163,4.9846097224893775e-06
164,164,5.017691661202622e-06
165,165,4.927185562502762e-06
166,166,5.10686672698838e-06
167,167,4.995092330149627e-06
168,168,4.926606207188051e-06
169,169,4.878048173620332e-06
170,170,4.5020285552339266e-06
171,171,4.449853571778609e-06
172,172,4.921192508277722e-06
173,173,4.925912082988563e-06
174,174,4.648481887990582e-06
175,175,4.7706041344929915e-06
176,176,4.8189382382426755e-06
177,177,4.782382804456833e-06
178,178,4.8016811631342815e-06
179,179,4.773870056272823e-06
180,180,4.950714990289688e-06
181,181,4.83126850236378e-06
182,182,4.847927804889752e-06
183,183,4.880003864031879e-06
184,184,4.8780310460017295e-06
185,185,4.716596380812233e-06
186,186,4.512566913481458e-06
187,187,4.972068900459001e-06
188,188,4.896130554957003e-06
189,189,4.745277237816481e-06
190,190,4.929458129136541e-06
191,191,4.837573566295429e-06
192,192,4.930283617802984e-06
193,193,4.842117992278074e-06
194,194,4.93893424071049e-06
195,195,4.874727454784718e-06
196,196,4.930892233323723e-06
197,197,4.790094785694021e-06
198,198,4.912942498014723e-06
199,199,4.953190670816321e-06
200,200,4.898024085180267e-06
201,201,4.903147452172231e-06
202,202,4.944035012331118e-06
203,203,4.935560506062671e-06
204,204,4.854031744672884e-06
205,205,4.9866439080454334e-06
206,206,4.56568697067585e-06
207,207,4.8344608934741355e-06
208,208,4.851631067801711e-06
209,209,4.94877085459492e-06
210,210,4.847924483256928e-06
211,211,4.9155281537060356e-06
212,212,4.928191084387227e-06
213,213,4.913541822669624e-06
214,214,4.806134083345148e-06
215,215,4.767367298569413e-06
216,216,5.246817772965759e-06
217,217,3.997310265368278e-06
218,218,4.654372751678519e-06
219,219,5.035511123078826e-06
220,220,4.802984565203911e-06
221,221,4.642946545062601e-06
222,222,4.736584744001706e-06
223,223,4.79679702650116e-06
224,224,4.783255768387225e-06
225,225,4.666443809809618e-06
226,226,4.707611896958811e-06
227,227,4.496809200602519e-06
228,228,4.652080683033843e-06
229,229,4.737811549901438e-06
230,230,4.854864508398231e-06
231,231,4.441480750073435e-06
232,232,4.6406705642288495e-06
233,233,4.564088249745067e-06
234,234,4.884405743795516e-06
235,235,4.885186065984462e-06
236,236,4.895376594633756e-06
237,237,4.888012554434868e-06
238,238,4.839776374146355e-06
239,239,4.8843438720932e-06
240,240,4.529006457103339e-06
241,241,4.867059034928647e-06
242,242,4.8588360965123885e-06
243,243,4.880971395639632e-06
244,244,4.8533716770956525e-06
245,245,4.855663984797236e-06
246,246,4.812147454711219e-06
247,247,4.743621547647412e-06
248,248,4.630220118709799e-06
249,249,4.544223796221609e-06
250,250,4.458085893627853e-06
251,251,4.592228337556166e-06
252,252,4.8255383532198435e-06
253,253,4.901762730311998e-06
254,254,5.041149125670625e-06
255,255,4.961263318827952e-06
256,256,4.754573282021422e-06
257,257,4.803271180056974e-06
258,258,4.869616862957958e-06
259,259,4.800085784506656e-06
260,260,4.884263336876584e-06
261,261,4.922837563110525e-06
262,262,4.904160366846633e-06
263,263,4.921396715002155e-06
264,264,4.91438558570886e-06
265,265,4.931409888589762e-06
266,266,4.961147085045581e-06
267,267,4.912248267767433e-06
268,268,4.8476482458103085e-06
269,269,4.9175307639786405e-06
270,270,4.836865507594605e-06
271,271,4.846038069919577e-06
272,272,4.868262413251416e-06
273,273,4.846591771552211e-06
274,274,4.850999391377764e-06
275,275,4.871457160779863e-06
276,276,4.8573930456653685e-06
277,277,4.919199125961241e-06
278,278,4.861866129337826e-06
279,279,4.887530595937163e-06
280,280,4.928249667708996e-06
281,281,5.010375426993029e-06
282,282,4.926153431607299e-06
283,283,4.805611572348008e-06
284,284,4.67877551546185e-06
285,285,5.151988295937742e-06
286,286,4.351486633980961e-06
287,287,3.996144302147708e-06
288,288,5.5957126797826495e-06
289,289,4.572406168346658e-06
290,290,4.764371915514951e-06
291,291,4.82961360845193e-06
292,292,4.82751580499968e-06
293,293,4.8686430781247765e-06
294,294,4.944875315336161e-06
