,ep,loss
0,0,4.601820699142135e-06
1,1,4.532656783553916e-06
2,2,4.510797399394933e-06
3,3,4.502307614101857e-06
4,4,4.421027316472164e-06
5,5,4.337882862327045e-06
6,6,4.317634614594949e-06
7,7,4.202050858486259e-06
8,8,4.047134131510307e-06
9,9,4.047343268479488e-06
10,10,4.002084765756188e-06
11,11,3.856402125112415e-06
12,12,3.6527745538371484e-06
13,13,3.5706925968149924e-06
14,14,3.5519292864324493e-06
15,15,3.3750532245047747e-06
16,16,3.1683182375191416e-06
17,17,3.139854691332456e-06
18,18,3.135095760305429e-06
19,19,3.0014627140296987e-06
20,20,2.9930547230726326e-06
21,21,2.975938293596247e-06
22,22,2.848036187435141e-06
23,23,2.8533878950089704e-06
24,24,2.789136039930728e-06
25,25,2.7858274587047432e-06
26,26,2.711619632624634e-06
27,27,2.6728931542867725e-06
28,28,2.683846339416906e-06
29,29,2.6736431731050663e-06
30,30,2.6564263715258945e-06
31,31,2.636833087040834e-06
32,32,2.5860659287204995e-06
33,33,2.536301795932077e-06
34,34,2.5099158700172935e-06
35,35,2.558469211234136e-06
36,36,2.415723904104037e-06
37,37,2.343139539441515e-06
38,38,2.323264003975697e-06
39,39,2.30545768264325e-06
40,40,2.3250888984073434e-06
41,41,2.3192953569699002e-06
42,42,2.2923481524498234e-06
43,43,2.2580197430536773e-06
44,44,2.1733716801677743e-06
45,45,2.1385540930275645e-06
46,46,2.110907647580889e-06
47,47,2.0752799079726923e-06
48,48,2.0733670333035716e-06
49,49,2.0130533237213113e-06
50,50,1.9887863465876708e-06
51,51,2.0059836274680598e-06
52,52,1.975421362069884e-06
53,53,1.9543222753568174e-06
54,54,1.952682456409521e-06
55,55,1.928816255472424e-06
56,56,1.936321820374039e-06
57,57,1.931513458978717e-06
58,58,1.8638766886504207e-06
59,59,1.8379489307228461e-06
60,60,1.8329890648976074e-06
61,61,1.8168621422506369e-06
62,62,1.7561357962596743e-06
63,63,1.7572549395213975e-06
64,64,1.7501162453888408e-06
65,65,1.6986451013882983e-06
66,66,1.6785618333201188e-06
67,67,1.6900165445911305e-06
68,68,1.6961852626242462e-06
69,69,1.672344591069679e-06
70,70,1.6758289588966256e-06
71,71,1.659880889051505e-06
72,72,1.6554399300783938e-06
73,73,1.642343915243734e-06
74,74,1.6368289333085533e-06
75,75,1.6419447875063377e-06
76,76,1.6284073567743797e-06
77,77,1.6050687630762268e-06
78,78,1.609470623808353e-06
79,79,1.6046681373475569e-06
80,80,1.5932235442051024e-06
81,81,1.5509399852763796e-06
82,82,1.5601313822009935e-06
83,83,1.4856947212352037e-06
84,84,1.5110948752675648e-06
85,85,1.5485915128010674e-06
86,86,1.5281720727537451e-06
87,87,1.5010785031175628e-06
88,88,1.4677041804134205e-06
89,89,1.4814312106971236e-06
90,90,1.4810632164346101e-06
91,91,1.458381685846261e-06
92,92,1.4888527576819315e-06
93,93,1.4511911003597454e-06
94,94,1.4869939812289136e-06
95,95,1.4398896322585215e-06
96,96,1.4573902563717958e-06
97,97,1.4289180766729045e-06
98,98,1.4510420569154923e-06
99,99,1.4052428027485696e-06
100,100,1.4075892154858808e-06
101,101,1.3893823787678712e-06
102,102,1.3996008928028032e-06
103,103,1.3996840045686388e-06
104,104,1.4068312954323654e-06
105,105,1.441297319401843e-06
106,106,1.3803609938216088e-06
107,107,1.3772774857844684e-06
108,108,1.3763864718812863e-06
109,109,1.3806410646900666e-06
110,110,1.3608782798174241e-06
111,111,1.3838022475872147e-06
112,112,1.38977497954329e-06
113,113,1.393308001993051e-06
114,114,1.3710520614254432e-06
115,115,1.3782309003866378e-06
116,116,1.3811536284853953e-06
117,117,1.3632312562977484e-06
118,118,1.3427152660316256e-06
119,119,1.3398407745893672e-06
120,120,1.3301696626780647e-06
121,121,1.3159505255423617e-06
122,122,1.3266971015635885e-06
123,123,1.3199245492668364e-06
124,124,1.3442593773802133e-06
125,125,1.3492841216087554e-06
126,126,1.3486577974136333e-06
127,127,1.3407702514247348e-06
128,128,1.350117877470492e-06
129,129,1.3497753122785927e-06
130,130,1.3446569502829174e-06
131,131,1.3379633234013881e-06
132,132,1.3336757413472856e-06
133,133,1.331265988322711e-06
134,134,1.323179349931118e-06
135,135,1.3190129045463384e-06
136,136,1.3263378344377355e-06
137,137,1.31592299326525e-06
138,138,1.325168752560678e-06
139,139,1.3175817945707155e-06
140,140,1.3114543883281893e-06
141,141,1.3260144388529143e-06
142,142,1.3267982226620114e-06
143,143,1.3294152468541357e-06
144,144,1.3447654142135649e-06
145,145,1.3403638811670295e-06
146,146,1.3190665480150903e-06
147,147,1.3322224858444208e-06
148,148,1.3442680978294127e-06
149,149,1.3312580937749504e-06
150,150,1.320505425476714e-06
151,151,1.3241864681891884e-06
152,152,1.3328309946433257e-06
153,153,1.3327051901261951e-06
154,154,1.3250625088670966e-06
155,155,1.3239085774330306e-06
156,156,1.3243355818517824e-06
157,157,1.341452643293237e-06
158,158,1.3410106455868277e-06
159,159,1.335450820881627e-06
160,160,1.3388450250150687e-06
161,161,1.3405622747300453e-06
162,162,1.3539915658732163e-06
163,163,1.3482071327577132e-06
164,164,1.3537089972380592e-06
165,165,1.350868264099143e-06
166,166,1.3557791175224018e-06
167,167,1.3461198156673003e-06
168,168,1.3416170110544686e-06
169,169,1.3495639383536934e-06
170,170,1.3553996342018174e-06
171,171,1.353671126146176e-06
172,172,1.3590404351174691e-06
173,173,1.350742994578896e-06
174,174,1.3438504190750844e-06
175,175,1.3490884799359584e-06
176,176,1.3420431929155122e-06
177,177,1.3494273168683269e-06
178,178,1.355186320913216e-06
179,179,1.370889679840141e-06
180,180,1.3611301496626658e-06
181,181,1.35281787299177e-06
182,182,1.3687178700231873e-06
183,183,1.3556102624748104e-06
184,184,1.3606592688120145e-06
185,185,1.3654004111926684e-06
186,186,1.3546958290830577e-06
187,187,1.3570150004478124e-06
188,188,1.361277026369541e-06
189,189,1.358407015526181e-06
190,190,1.367234313634339e-06
191,191,1.360185077668147e-06
192,192,1.3662336521199048e-06
193,193,1.3661332833608492e-06
194,194,1.3671166678196801e-06
195,195,1.3664766577355347e-06
196,196,1.3735163540385496e-06
197,197,1.3728187515399066e-06
198,198,1.3771886528957111e-06
199,199,1.3763993485875237e-06
200,200,1.3766189514332354e-06
201,201,1.3755361143975119e-06
202,202,1.3762562569835984e-06
203,203,1.3723130189860325e-06
204,204,1.3761015225099982e-06
205,205,1.3821782846100497e-06
206,206,1.3822295506864013e-06
207,207,1.3877127036507505e-06
208,208,1.3846991397686532e-06
209,209,1.378707676234198e-06
210,210,1.3780093581772235e-06
211,211,1.3882739956309653e-06
212,212,1.386531768248995e-06
213,213,1.3833105988262962e-06
214,214,1.388583628420961e-06
215,215,1.3898904118083437e-06
216,216,1.3867183383808879e-06
217,217,1.393659307696533e-06
218,218,1.3927485657832756e-06
219,219,1.3817010640463303e-06
220,220,1.3802493700656187e-06
221,221,1.3816656472526494e-06
222,222,1.3861960844545085e-06
223,223,1.3932555355174425e-06
224,224,1.3986470635780494e-06
225,225,1.4053176387813652e-06
226,226,1.3945086386550376e-06
227,227,1.394081527236909e-06
228,228,1.3947281478762949e-06
229,229,1.3968201261270544e-06
230,230,1.4028231155006164e-06
231,231,1.4046446862641245e-06
232,232,1.3946411741017073e-06
233,233,1.404936527064017e-06
234,234,1.3951442818271222e-06
235,235,1.391079987409766e-06
236,236,1.3943931729526787e-06
237,237,1.4015025826933304e-06
238,238,1.4020142804624544e-06
239,239,1.4109142879907962e-06
240,240,1.4040747139594767e-06
241,241,1.4103068792792328e-06
242,242,1.410346475736065e-06
243,243,1.4025437501592985e-06
244,244,1.4077900800657517e-06
245,245,1.4064622445510075e-06
246,246,1.4061387152169653e-06
247,247,1.4115081211564437e-06
248,248,1.407345858778546e-06
249,249,1.4084636411419471e-06
250,250,1.4045333567564205e-06
251,251,1.4048114916049064e-06
252,252,1.4133645636855577e-06
253,253,1.4057320707733572e-06
254,254,1.408915151761689e-06
255,255,1.4177883860397475e-06
256,256,1.4111603999320805e-06
257,257,1.4062874276318968e-06
258,258,1.4090559562539376e-06
259,259,1.4145829354942287e-06
260,260,1.4147469387888337e-06
261,261,1.4132090735288597e-06
262,262,1.409082241319565e-06
263,263,1.403108991085259e-06
264,264,1.4064502572770887e-06
265,265,1.4068037163430263e-06
266,266,1.406322128867246e-06
267,267,1.411131580318718e-06
268,268,1.4122249801991582e-06
269,269,1.4135395511349248e-06
270,270,1.415590097220796e-06
271,271,1.4102833093227888e-06
272,272,1.4219903886548898e-06
273,273,1.414803394334954e-06
274,274,1.4186830579841199e-06
275,275,1.4130773673273592e-06
276,276,1.420530546002898e-06
277,277,1.4251333415332363e-06
278,278,1.4251184351825726e-06
279,279,1.420491959352683e-06
280,280,1.4219171408940918e-06
281,281,1.419186707393879e-06
282,282,1.426075634887692e-06
283,283,1.4303682893809952e-06
284,284,1.4260680245570256e-06
285,285,1.427991244728379e-06
286,286,1.431741830348234e-06
287,287,1.4258710821730561e-06
288,288,1.4283060201759166e-06
289,289,1.423148138629211e-06
290,290,1.4207959445818285e-06
291,291,1.426138818019621e-06
292,292,1.419658450927005e-06
293,293,1.4322447341060872e-06
294,294,1.4256530274745755e-06
295,295,1.4224374153320026e-06
296,296,1.4281343430197654e-06
297,297,1.4306726223581149e-06
298,298,1.429057025394714e-06
299,299,1.427847257004674e-06
300,300,1.4249116421684876e-06
301,301,1.4265014188448036e-06
302,302,1.4255802210862065e-06
303,303,1.4238836790943476e-06
304,304,1.4312275746252613e-06
305,305,1.4252632822450216e-06
306,306,1.4239221754638385e-06
307,307,1.4288638346763894e-06
308,308,1.4337379572198723e-06
309,309,1.434153355549985e-06
310,310,1.429184999992953e-06
311,311,1.4322759311118501e-06
312,312,1.4272200300023114e-06
313,313,1.4283795488100783e-06
314,314,1.4293238985588045e-06
315,315,1.4277662083205701e-06
316,316,1.42392584019249e-06
317,317,1.4259486165963823e-06
318,318,1.4271155986106725e-06
319,319,1.429743760769163e-06
320,320,1.4324292879684755e-06
321,321,1.4327822086937993e-06
322,322,1.427942289169818e-06
323,323,1.4306093355705396e-06
324,324,1.4275125897042659e-06
325,325,1.430334173298487e-06
326,326,1.430441125862939e-06
327,327,1.427246612659955e-06
