,epoch,hit@10,hit@20,ndcg@10,ndcg@20,precision@10,precision@20,recall@10,recall@20
0,0,0.06558,0.10467,0.10741,0.11828,0.08162,0.06513,0.06589,0.10468
1,1,0.07157,0.11384,0.11848,0.12879,0.08906,0.07084,0.07214,0.11313
2,2,0.08124,0.12377,0.13821,0.14545,0.10111,0.07702,0.08149,0.12343
3,3,0.09742,0.13855,0.15646,0.16037,0.12124,0.08621,0.09758,0.13794
4,4,0.0927,0.1267,0.15252,0.15215,0.11537,0.07884,0.09317,0.12612
5,5,0.08952,0.12836,0.14941,0.15274,0.11141,0.07987,0.09032,0.12836
6,6,0.102,0.14708,0.16782,0.1717,0.12694,0.09152,0.1027,0.14634
7,7,0.10378,0.14899,0.17278,0.17658,0.12916,0.09271,0.10569,0.15157
8,8,0.10556,0.14911,0.17418,0.17728,0.13138,0.09279,0.10751,0.15191
9,9,0.11613,0.16007,0.18602,0.18666,0.14453,0.0996,0.11733,0.15986
10,10,0.11473,0.15816,0.18253,0.18395,0.14279,0.09842,0.11633,0.16063
11,11,0.11652,0.16058,0.18559,0.18666,0.14501,0.09992,0.11867,0.16165
12,12,0.11703,0.16389,0.18591,0.18838,0.14564,0.10198,0.11909,0.16549
13,13,0.11142,0.15586,0.17892,0.18145,0.13867,0.09699,0.11212,0.15641
14,14,0.10964,0.15128,0.17781,0.17879,0.13645,0.09414,0.11087,0.15233
15,15,0.11562,0.16249,0.18485,0.18843,0.1439,0.10111,0.11637,0.16485
16,16,0.11906,0.16796,0.18967,0.19272,0.14818,0.10452,0.12111,0.17054
17,17,0.1155,0.16134,0.18559,0.18815,0.14374,0.1004,0.11715,0.16369
18,18,0.12263,0.17344,0.19427,0.19816,0.15261,0.10792,0.12443,0.17632
19,19,0.11168,0.15892,0.17892,0.18349,0.13899,0.09889,0.11227,0.16132
20,20,0.12505,0.17815,0.19855,0.20268,0.15563,0.11086,0.12599,0.17901
21,21,0.12072,0.17356,0.19403,0.19899,0.15024,0.108,0.1219,0.17481
22,22,0.12212,0.17586,0.19677,0.20181,0.15198,0.10943,0.12363,0.17667
23,23,0.11855,0.16822,0.19485,0.19762,0.14754,0.10468,0.11928,0.16876
24,24,0.12543,0.1784,0.2065,0.21004,0.1561,0.11101,0.12777,0.18064
25,25,0.1253,0.18184,0.20382,0.20945,0.15594,0.11315,0.12734,0.18248
26,26,0.12492,0.17789,0.20244,0.20588,0.15547,0.1107,0.12653,0.17897
27,27,0.12632,0.17891,0.2035,0.20721,0.15721,0.11133,0.12751,0.18104
28,28,0.12696,0.17904,0.20237,0.20551,0.158,0.11141,0.12853,0.17927
29,29,0.13027,0.18948,0.20968,0.21638,0.16212,0.11791,0.13172,0.19048
30,30,0.12849,0.18693,0.20699,0.21379,0.1599,0.11632,0.13038,0.18994
31,31,0.1318,0.18655,0.21162,0.2152,0.16403,0.11609,0.13299,0.18743
32,32,0.13014,0.1863,0.21229,0.21692,0.16197,0.11593,0.13164,0.18743
33,33,0.13282,0.18808,0.21355,0.21761,0.16529,0.11704,0.13457,0.1896
34,34,0.13282,0.19292,0.21203,0.219,0.16529,0.12005,0.13392,0.19536
35,35,0.13383,0.18974,0.2139,0.21762,0.16656,0.11807,0.13552,0.19021
36,36,0.13562,0.19279,0.2162,0.22132,0.16878,0.11997,0.13711,0.19567
37,37,0.13192,0.18974,0.2107,0.21695,0.16418,0.11807,0.1335,0.19264
38,38,0.13485,0.19152,0.2155,0.22043,0.16783,0.11918,0.13677,0.19424
39,39,0.1332,0.19267,0.21384,0.22114,0.16577,0.11989,0.13476,0.19586
40,40,0.13154,0.19203,0.21172,0.21936,0.16371,0.11949,0.13276,0.1931
41,41,0.13409,0.19699,0.21717,0.22515,0.16688,0.12258,0.13594,0.19996
42,42,0.13549,0.19789,0.21768,0.22528,0.16862,0.12314,0.1372,0.19908
43,43,0.13523,0.1961,0.2178,0.22487,0.1683,0.12203,0.13653,0.19866
44,44,0.1374,0.20005,0.21942,0.22681,0.171,0.12448,0.13856,0.20147
45,45,0.13676,0.19929,0.21884,0.22602,0.17021,0.12401,0.13833,0.20023
46,46,0.13562,0.19508,0.21918,0.22407,0.16878,0.12139,0.1372,0.19516
47,47,0.13791,0.19916,0.22023,0.22707,0.17163,0.12393,0.13961,0.20026
48,48,0.13358,0.19508,0.21536,0.22238,0.16624,0.12139,0.1348,0.19527
49,49,0.13536,0.1947,0.21549,0.22065,0.16846,0.12116,0.13719,0.19473
