,epoch,hit@10,hit@20,ndcg@10,ndcg@20,precision@10,precision@20,recall@10,recall@20
0,0,0.08025,0.12927,0.12035,0.13309,0.08023,0.06461,0.0913,0.1467
1,1,0.0979,0.1539,0.14487,0.15747,0.09787,0.07693,0.10929,0.17178
2,2,0.0967,0.15586,0.14059,0.15635,0.09668,0.0779,0.11409,0.1812
3,3,0.10091,0.16074,0.14708,0.16207,0.10088,0.08035,0.1207,0.18562
4,4,0.10505,0.16552,0.15241,0.16681,0.10502,0.08274,0.12056,0.18786
5,5,0.1045,0.16855,0.15294,0.1694,0.10447,0.08425,0.12179,0.19142
6,6,0.09864,0.15977,0.14621,0.16195,0.09861,0.07986,0.11547,0.18255
7,7,0.10758,0.17015,0.15872,0.17293,0.10755,0.08505,0.1238,0.19144
8,8,0.11257,0.17766,0.16868,0.18406,0.11254,0.08881,0.13128,0.20424
9,9,0.11065,0.17482,0.16524,0.18167,0.11061,0.08739,0.13167,0.20354
10,10,0.11257,0.17813,0.17089,0.18751,0.11254,0.08904,0.13425,0.20933
11,11,0.11423,0.18092,0.17101,0.18701,0.1142,0.09043,0.13466,0.20774
12,12,0.11044,0.175,0.16481,0.18143,0.11041,0.08747,0.13429,0.20691
13,13,0.11068,0.17572,0.16488,0.18144,0.11065,0.08784,0.13014,0.20404
14,14,0.11723,0.18366,0.17629,0.19253,0.11719,0.0918,0.13675,0.21233
15,15,0.11456,0.18125,0.17053,0.18902,0.11453,0.0906,0.1385,0.21706
16,16,0.11096,0.17763,0.16667,0.18301,0.11093,0.08879,0.12904,0.2022
17,17,0.11479,0.18068,0.1708,0.18851,0.11475,0.09031,0.13883,0.21501
18,18,0.10982,0.17572,0.16485,0.18128,0.10978,0.08784,0.1314,0.2042
19,19,0.11411,0.17986,0.16999,0.18719,0.11408,0.0899,0.13884,0.21459
20,20,0.10826,0.17281,0.16108,0.17835,0.10823,0.08638,0.13396,0.20801
21,21,0.11747,0.18703,0.17818,0.19631,0.11744,0.09349,0.14416,0.2221
22,22,0.11217,0.17771,0.16994,0.1893,0.11214,0.08883,0.14046,0.21856
23,23,0.12355,0.19502,0.18502,0.20372,0.12352,0.09748,0.14846,0.23221
24,24,0.11865,0.18709,0.17941,0.19667,0.11861,0.09352,0.14948,0.22584
25,25,0.12492,0.19348,0.18652,0.20203,0.12488,0.09671,0.15355,0.22742
26,26,0.12431,0.19517,0.1868,0.20405,0.12428,0.09756,0.15233,0.22989
27,27,0.12307,0.19242,0.18601,0.20259,0.12303,0.09618,0.14884,0.227
28,28,0.12431,0.19455,0.18739,0.20503,0.12428,0.09725,0.15293,0.23277
29,29,0.12525,0.1972,0.18805,0.20588,0.12521,0.09857,0.15248,0.23374
30,30,0.12508,0.19668,0.18767,0.20554,0.12504,0.09831,0.15338,0.23376
31,31,0.12573,0.19751,0.18858,0.20626,0.1257,0.09873,0.15229,0.23081
32,32,0.12,0.19209,0.18058,0.19983,0.11997,0.09602,0.148,0.22968
33,33,0.12554,0.1989,0.19088,0.20915,0.12551,0.09942,0.15422,0.23554
34,34,0.1253,0.19952,0.1871,0.2061,0.12526,0.09973,0.15332,0.23686
35,35,0.12838,0.20021,0.19372,0.21026,0.12835,0.10008,0.15601,0.23594
36,36,0.12897,0.20094,0.19465,0.21137,0.12894,0.10044,0.15752,0.23749
37,37,0.12946,0.20132,0.19563,0.21329,0.12942,0.10063,0.15804,0.24141
38,38,0.12428,0.19604,0.1857,0.20478,0.12424,0.09799,0.15336,0.23482
39,39,0.12754,0.19961,0.19248,0.21043,0.1275,0.09977,0.15607,0.23805
40,40,0.12709,0.20167,0.19306,0.21247,0.12705,0.10081,0.15585,0.23961
41,41,0.12412,0.19488,0.18751,0.20455,0.12409,0.09741,0.15221,0.23141
42,42,0.12677,0.1994,0.19181,0.20972,0.12674,0.09967,0.15456,0.23586
43,43,0.12953,0.20517,0.19466,0.21377,0.12949,0.10255,0.15992,0.2441
44,44,0.12715,0.19822,0.19351,0.21119,0.12712,0.09908,0.15954,0.23978
45,45,0.12573,0.19924,0.1903,0.20872,0.1257,0.09959,0.15505,0.23641
46,46,0.12717,0.20134,0.19129,0.21012,0.12713,0.10064,0.15471,0.23959
47,47,0.12934,0.20191,0.19588,0.21343,0.1293,0.10093,0.15785,0.23973
