userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,11.299883842468262) (187,10.988337516784668) (51,10.601839065551758)* (998,10.272648811340332) (1713,9.991779327392578) (997,9.944375038146973) (59,9.461076736450195)* (3992,9.446571350097656) (511,9.292078018188477) (1824,9.277674674987793) (959,9.24586009979248) (601,9.110419273376465) (183,8.929637908935547) (1076,8.850385665893555) (1464,8.759982109069824) (1800,8.704476356506348) (1892,8.653404235839844) (1836,8.644257545471191) (57,8.568218231201172)* (993,8.531414985656738)
3: (744,12.269789695739746) (10015,11.074556350708008) (7637,10.606109619140625) (2193,10.288917541503906) (2673,10.231077194213867) (6238,10.150702476501465) (17452,10.135196685791016) (17460,10.110478401184082) (10000,9.796602249145508) (5803,9.7629976272583) (2667,9.714802742004395) (2676,9.673311233520508) (9996,9.670136451721191) (17459,9.652801513671875) (4910,9.64516544342041) (9999,9.611310005187988) (4907,9.584952354431152) (10012,9.528614044189453) (10006,9.526440620422363) (17450,9.525189399719238)
4: (190,10.656243324279785)* (959,10.213860511779785) (63,10.17739486694336) (63,10.17739486694336) (511,9.907109260559082) (3992,9.511663436889648) (1001,9.39066219329834) (1713,9.313138008117676) (166,9.30242919921875)* (1464,8.801257133483887) (1795,8.677152633666992) (1375,8.575157165527344) (227,8.569093704223633) (70,8.543841361999512)* (707,8.479052543640137) (1072,8.458009719848633) (3462,8.42145824432373) (69,8.376566886901855) (69,8.376566886901855) (75,8.349287986755371)
5: (533,10.492875099182129) (703,9.970128059387207) (429,9.915685653686523) (599,9.498266220092773) (88,9.3549165725708) (163,9.196189880371094) (56,9.11961841583252) (56,9.11961841583252) (424,9.095855712890625) (418,8.972928047180176) (709,8.965744018554688) (868,8.92281436920166) (1424,8.880315780639648) (1106,8.867124557495117) (159,8.832406044006348) (859,8.75570297241211) (615,8.728442192077637) (1239,8.711121559143066) (428,8.68354320526123) (1151,8.610055923461914)
6: (1613,10.425713539123535) (2220,8.732813835144043) (913,8.703404426574707) (251,8.636469841003418)* (6562,8.632054328918457) (294,8.59243106842041) (8188,8.251228332519531) (330,8.209016799926758) (3318,8.146729469299316) (484,8.085253715515137) (322,8.061690330505371) (97,7.983267307281494) (8991,7.856181621551514) (468,7.84865140914917) (157,7.846724033355713) (301,7.783691883087158) (320,7.7273335456848145) (1641,7.692440986633301) (69,7.62584924697876) (69,7.62584924697876)
7: (1613,11.536705017089844) (330,10.977312088012695)* (913,10.581948280334473) (290,10.203322410583496)* (349,9.943584442138672) (157,9.678642272949219) (285,9.653663635253906) (907,9.433238983154297) (525,9.426323890686035) (701,9.36677074432373) (1441,9.340137481689453) (292,9.251810073852539)* (3491,9.210254669189453) (484,9.096961975097656) (1556,9.090713500976562) (317,9.08074951171875)* (479,9.08034610748291) (302,9.051153182983398)* (279,9.018667221069336) (459,8.977988243103027)
8: (294,11.355854988098145) (296,10.228259086608887)* (792,9.613507270812988) (909,9.475640296936035) (525,8.667542457580566) (5767,8.588621139526367) (2018,8.543986320495605) (97,8.537620544433594)* (3125,8.409637451171875) (701,8.388311386108398) (2051,8.230417251586914) (2523,8.100817680358887) (1464,7.991325378417969) (523,7.96682071685791) (310,7.952672004699707) (306,7.887848854064941) (906,7.8421735763549805) (2019,7.829094886779785) (2024,7.82039213180542) (465,7.816666603088379)
9: (396,10.732501983642578)* (5089,9.839550018310547) (3324,9.172725677490234) (502,9.128165245056152) (5092,8.723010063171387) (4980,8.53038215637207) (4173,8.514266014099121) (230,8.4886474609375) (2513,8.472955703735352) (5095,8.456700325012207) (5091,8.442727088928223) (2086,8.411945343017578) (1179,8.389244079589844) (1910,8.328139305114746) (968,8.289900779724121) (198,8.189623832702637) (3570,8.169706344604492) (2804,8.162862777709961) (2428,8.080549240112305) (3494,8.041829109191895)
10: (195,10.3944673538208) (217,10.390262603759766)* (1400,10.336801528930664) (1390,10.310830116271973) (2139,10.31045150756836) (1151,10.133783340454102) (703,10.105121612548828) (1633,10.052462577819824) (207,9.885342597961426) (225,9.79967975616455)* (1424,9.660467147827148) (210,9.650524139404297) (1632,9.643670082092285) (533,9.640514373779297) (716,9.638696670532227) (2277,9.575719833374023) (1090,9.560189247131348) (629,9.486113548278809) (190,9.442846298217773) (618,9.432863235473633)
11: (320,11.574628829956055) (306,10.903409004211426)* (161,10.364619255065918) (915,9.964571952819824) (330,9.92012882232666) (326,9.568117141723633) (475,9.5483980178833)* (329,9.490758895874023)* (314,9.376178741455078) (257,9.369914054870605) (290,9.352691650390625) (310,9.346291542053223) (308,9.299627304077148) (913,9.25790023803711) (332,9.166278839111328) (299,9.151345252990723) (291,9.022109031677246) (295,9.018838882446289)* (377,8.884864807128906) (327,8.812804222106934)*
12: (198,14.407715797424316) (190,12.979378700256348) (7,12.546168327331543) (707,11.939502716064453) (966,11.916133880615234) (498,11.732484817504883)* (1179,11.606124877929688) (490,11.400725364685059)* (1854,11.173571586608887) (405,11.007528305053711)* (1044,10.935637474060059) (1116,10.934946060180664) (166,10.853426933288574) (1104,10.80512809753418) (1406,10.612735748291016) (371,10.553543090820312) (472,10.5524320602417) (1672,10.428933143615723) (978,10.389121055603027) (475,10.311094284057617)
