userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (157,11.638233184814453) (1001,11.373764038085938) (1394,11.122992515563965) (1713,10.931801795959473) (159,10.276026725769043) (156,10.232832908630371) (603,10.231363296508789) (187,10.127117156982422) (172,9.9810791015625) (59,9.789396286010742)* (1790,9.75740909576416) (1061,9.614583015441895) (51,9.42298412322998)* (1062,9.356060981750488) (238,9.347040176391602) (1073,9.316446304321289) (190,9.229035377502441) (429,9.221417427062988) (4153,9.220003128051758) (70,9.199180603027344)*
3: (7034,12.978902816772461) (121,12.237367630004883)* (3862,11.770928382873535) (12345,11.285338401794434) (7022,11.241595268249512) (1171,11.094866752624512) (6669,10.922919273376465) (11529,10.761295318603516) (11230,10.698478698730469) (6980,10.658586502075195) (6674,10.646952629089355) (7030,10.594244003295898) (6974,10.583414077758789) (2679,10.553009033203125) (11528,10.494331359863281) (7021,10.448841094970703) (6671,10.428679466247559) (1423,10.372838973999023) (7741,10.351021766662598) (1038,10.284408569335938)
4: (511,10.344640731811523) (172,10.1519193649292)* (1464,9.757780075073242) (166,9.529760360717773)* (190,9.411645889282227)* (959,9.34506607055664) (3466,9.191564559936523) (1713,9.172343254089355) (1122,9.054276466369629) (1001,8.901159286499023) (316,8.785985946655273) (1098,8.776992797851562) (961,8.727962493896484) (63,8.719640731811523) (63,8.719640731811523) (3501,8.685596466064453) (227,8.66264820098877) (70,8.52144718170166)* (1394,8.381548881530762) (159,8.366617202758789)*
5: (418,11.846024513244629) (429,10.585311889648438) (604,10.560574531555176) (3057,10.295345306396484) (1732,10.112095832824707) (2277,10.019911766052246) (1790,10.01956844329834) (88,9.9540376663208) (533,9.896400451660156) (614,9.741839408874512) (620,9.736384391784668) (428,9.719932556152344) (1515,9.43691635131836) (159,9.40042495727539) (1976,9.222687721252441) (81,9.216357231140137) (602,9.134316444396973) (615,9.044992446899414) (618,8.995658874511719) (126,8.93733024597168)
6: (1613,11.692399024963379) (1448,10.462364196777344) (320,10.310600280761719) (349,9.837681770324707) (455,9.516616821289062) (2220,9.37373161315918) (8991,9.338571548461914) (288,9.221738815307617) (468,9.220861434936523) (330,9.192237854003906) (251,9.15843391418457)* (157,8.999594688415527) (306,8.894067764282227) (1456,8.856163024902344) (6383,8.76611328125) (289,8.720003128051758) (331,8.650660514831543) (301,8.648833274841309) (906,8.624539375305176) (1596,8.623428344726562)
7: (461,12.186685562133789) (455,11.281231880187988) (915,10.900978088378906) (349,10.822755813598633) (701,10.777993202209473) (523,10.604886054992676) (1032,10.445219993591309) (302,10.391019821166992)* (352,10.357166290283203) (525,10.352860450744629) (466,10.249772071838379) (681,10.246177673339844) (292,10.235350608825684)* (318,10.228961944580078)* (686,10.226506233215332) (528,10.172860145568848) (913,9.998241424560547) (2020,9.994935989379883) (679,9.961906433105469) (543,9.894807815551758)
8: (455,13.604940414428711) (294,11.530082702636719) (306,11.454741477966309) (786,11.451194763183594) (461,10.638792991638184) (325,10.45149040222168) (701,10.41096305847168) (2523,10.39059066772461) (291,10.33601188659668)* (310,10.290870666503906) (797,10.200967788696289) (326,10.09640121459961) (681,10.056937217712402) (1459,9.904298782348633) (302,9.87656021118164)* (680,9.81894588470459) (2094,9.772916793823242) (465,9.761383056640625) (320,9.755849838256836) (3063,9.703022003173828)
9: (396,11.943948745727539)* (5089,10.22558307647705) (1857,10.063568115234375) (2114,9.847543716430664) (3616,9.802054405212402) (5083,9.674901008605957) (5085,9.523536682128906) (1918,9.419681549072266) (1179,9.333118438720703) (3487,9.322723388671875) (5092,9.298715591430664) (3427,9.296858787536621) (2106,9.280150413513184) (5090,9.136659622192383) (5093,8.848945617675781) (3712,8.80726146697998) (1201,8.806543350219727) (2428,8.787726402282715) (4432,8.712568283081055) (4110,8.707010269165039)
10: (2277,12.871410369873047) (1515,12.072283744812012) (1400,11.265250205993652) (225,11.18570327758789)* (898,10.826417922973633) (3057,10.816473960876465) (217,10.759846687316895)* (1632,10.749309539794922) (703,10.715495109558105) (1424,10.712740898132324) (88,10.711450576782227) (1390,10.708696365356445) (207,10.481569290161133) (689,10.442095756530762) (618,10.388806343078613) (1633,10.373581886291504) (1106,10.30838680267334) (227,10.260174751281738) (1090,10.22713565826416) (210,10.179544448852539)
11: (306,11.953433990478516)* (966,10.600942611694336) (475,10.568902015686035)* (320,10.332401275634766) (913,10.24439525604248) (1455,10.22185230255127) (701,10.055619239807129) (386,10.025924682617188) (915,9.981475830078125) (308,9.858824729919434) (290,9.822168350219727) (302,9.81344985961914) (257,9.798216819763184) (329,9.778170585632324)* (295,9.733848571777344)* (1032,9.660941123962402) (299,9.644651412963867) (291,9.608450889587402) (318,9.59316635131836) (531,9.566483497619629)
12: (966,10.674779891967773) (498,10.23829460144043)* (2352,10.158942222595215) (490,10.112838745117188)* (198,9.963958740234375) (190,9.624971389770508) (1179,9.531832695007324) (1672,9.46116828918457) (1854,9.36912727355957) (1044,9.362698554992676) (475,9.337568283081055) (209,9.284242630004883) (1186,9.268315315246582) (7,9.092947959899902) (536,9.08555793762207) (537,9.047798156738281) (930,8.97705078125) (1406,8.96368408203125) (978,8.936433792114258) (808,8.934969902038574)
13: (289,13.439817428588867) (306,12.458383560180664) (288,12.328275680541992) (294,11.488300323486328) (523,11.335872650146484)* (532,11.02164363861084)* (701,10.612238883972168) (1032,10.445987701416016) (302,10.337353706359863)* (2083,10.252091407775879) (328,10.236719131469727)* (157,10.177895545959473) (349,10.164161682128906)* (320,10.101583480834961) (329,10.062591552734375) (704,9.97834587097168) (679,9.977327346801758) (903,9.87149715423584) (689,9.832975387573242) (2020,9.777458190917969)
14: (5660,11.832419395446777) (2864,11.556777954101562) (7056,11.527594566345215) (11918,11.421038627624512) (2894,11.321298599243164) (2896,11.305241584777832) (3024,11.032207489013672) (11885,10.951204299926758) (12057,10.771589279174805) (12060,10.721644401550293) (8126,10.67736530303955) (8112,10.674959182739258) (11923,10.66878890991211) (8114,10.595962524414062) (582,10.590829849243164)* (8110,10.542959213256836) (6958,10.542675018310547) (8116,10.52260684967041) (8111,10.426538467407227) (585,10.425442695617676)*
15: (418,10.937768936157227) (604,10.444497108459473)* (1732,10.419195175170898) (1790,9.987655639648438) (197,9.707170486450195)* (196,9.676346778869629) (235,9.577163696289062) (237,9.452617645263672) (206,9.230344772338867) (1976,9.085411071777344) (163,9.021721839904785) (703,8.900776863098145) (228,8.870025634765625) (3112,8.85020637512207) (858,8.791914939880371) (4079,8.782036781311035) (1519,8.767500877380371) (3057,8.702925682067871) (88,8.659490585327148) (81,8.590248107910156)
