,epoch,hit@10,precision@10,recall@10,ndcg@10,hit@20,precision@20,recall@20,ndcg@20
0,0,0.04075,0.05071,0.0408,0.05983,0.06724,0.04184,0.0674,0.06782
1,1,0.05527,0.06878,0.05541,0.08175,0.08468,0.05269,0.08463,0.08782
2,2,0.0638,0.0794,0.06371,0.09104,0.09843,0.06125,0.09796,0.0994
3,3,0.068,0.08463,0.06722,0.09317,0.10697,0.06656,0.10599,0.10356
4,4,0.07309,0.09097,0.0728,0.10426,0.11359,0.07068,0.11231,0.11375
5,5,0.07691,0.09572,0.07613,0.11235,0.11843,0.07369,0.11713,0.12144
6,6,0.0787,0.09794,0.07811,0.11273,0.1197,0.07448,0.11917,0.12178
7,7,0.07793,0.09699,0.07764,0.11352,0.12059,0.07504,0.11954,0.12317
8,8,0.07704,0.09588,0.07638,0.116,0.11995,0.07464,0.1186,0.1251
9,9,0.07933,0.09873,0.07822,0.12182,0.12263,0.07631,0.12119,0.13057
10,10,0.07971,0.09921,0.07813,0.12115,0.12339,0.07678,0.12128,0.13006
11,11,0.08201,0.10206,0.08086,0.12732,0.13027,0.08106,0.12901,0.13841
12,12,0.08672,0.10792,0.08594,0.13221,0.13549,0.08431,0.13472,0.14278
13,13,0.08366,0.10412,0.08314,0.12444,0.13816,0.08597,0.13742,0.13939
14,14,0.08786,0.10935,0.08701,0.13335,0.13409,0.08344,0.13304,0.14158
15,15,0.08863,0.1103,0.08743,0.13489,0.1402,0.08724,0.139,0.14647
16,16,0.08977,0.11173,0.0884,0.13528,0.13944,0.08677,0.13807,0.14523
17,17,0.08723,0.10856,0.08568,0.12964,0.14058,0.08748,0.13863,0.14293
18,18,0.09079,0.113,0.09012,0.13587,0.14771,0.09192,0.14612,0.15004
19,19,0.08863,0.1103,0.08808,0.13408,0.14007,0.08716,0.13965,0.14585
20,20,0.08723,0.10856,0.08665,0.13159,0.14326,0.08914,0.14177,0.14638
21,21,0.09232,0.1149,0.0917,0.13738,0.15306,0.09525,0.15263,0.1543
22,22,0.09003,0.11204,0.08913,0.13693,0.15039,0.09358,0.1486,0.15367
23,23,0.09716,0.12092,0.09648,0.14397,0.15497,0.09643,0.15429,0.15858
24,24,0.09601,0.11949,0.09532,0.1417,0.15535,0.09667,0.15463,0.1579
25,25,0.09283,0.11553,0.09214,0.1376,0.15141,0.09422,0.14935,0.15343
26,26,0.09449,0.11759,0.0943,0.13924,0.15485,0.09635,0.15459,0.15639
27,27,0.08646,0.10761,0.08575,0.12998,0.15103,0.09398,0.15064,0.15128
28,28,0.08786,0.10935,0.08712,0.12876,0.14733,0.09168,0.14604,0.14607
29,29,0.09194,0.11442,0.09082,0.13609,0.15472,0.09628,0.15406,0.15449
30,30,0.09003,0.11204,0.08828,0.13462,0.15434,0.09604,0.15391,0.15446
31,31,0.09703,0.12076,0.09593,0.14535,0.16223,0.10095,0.16125,0.16385
32,32,0.09258,0.11521,0.09179,0.13796,0.15676,0.09754,0.15602,0.15733
33,33,0.09385,0.1168,0.09258,0.13923,0.15676,0.09754,0.15603,0.15756
34,34,0.09589,0.11933,0.09517,0.14338,0.16325,0.10158,0.16297,0.16393
35,35,0.09894,0.12314,0.09805,0.14716,0.16096,0.10016,0.16013,0.16348
36,36,0.09805,0.12203,0.09747,0.14275,0.1672,0.10404,0.16768,0.16425
37,37,0.10225,0.12726,0.10216,0.15058,0.16592,0.10325,0.16577,0.16749
38,38,0.09869,0.12282,0.09762,0.147,0.16745,0.1042,0.16631,0.16716
39,39,0.10251,0.12758,0.10228,0.15161,0.1714,0.10666,0.17084,0.17174
40,40,0.10034,0.12488,0.09966,0.14753,0.17114,0.1065,0.17114,0.16979
41,41,0.10302,0.12821,0.10256,0.15098,0.17089,0.10634,0.17102,0.17142
42,42,0.10264,0.12773,0.10226,0.15401,0.17038,0.10602,0.17015,0.17344
43,43,0.10709,0.13328,0.10666,0.15802,0.17216,0.10713,0.17156,0.1751
44,44,0.10607,0.13201,0.10556,0.1536,0.17547,0.10919,0.17448,0.1735
45,45,0.10353,0.12884,0.10255,0.1504,0.17509,0.10895,0.17444,0.17236
46,46,0.10658,0.13265,0.10563,0.15224,0.18159,0.113,0.18047,0.17531
47,47,0.10213,0.1271,0.10149,0.14689,0.17344,0.10792,0.17279,0.16967
48,48,0.10073,0.12536,0.10053,0.14545,0.17293,0.10761,0.17279,0.16922
49,49,0.10658,0.13265,0.10706,0.15667,0.17726,0.1103,0.17793,0.1783
50,50,0.10595,0.13185,0.10525,0.15392,0.18184,0.11315,0.18121,0.17821
51,51,0.10697,0.13312,0.10617,0.15435,0.18133,0.11284,0.18045,0.17786
52,52,0.10315,0.12837,0.10254,0.15568,0.17446,0.10856,0.1734,0.17691
53,53,0.10862,0.13518,0.10797,0.16067,0.1798,0.11189,0.17944,0.1812
54,54,0.1104,0.1374,0.11012,0.1634,0.18273,0.11371,0.18241,0.18423
55,55,0.10658,0.13265,0.10578,0.15798,0.17318,0.10777,0.17301,0.17672
56,56,0.10442,0.12995,0.10437,0.15332,0.17662,0.1099,0.17634,0.17594
57,57,0.10467,0.13027,0.1039,0.1546,0.17382,0.10816,0.1738,0.1752
58,58,0.1062,0.13217,0.10496,0.15397,0.17777,0.11062,0.17658,0.1751
59,59,0.10709,0.13328,0.1064,0.15592,0.17789,0.1107,0.17747,0.17718
60,60,0.10938,0.13613,0.1085,0.15877,0.1821,0.11331,0.1816,0.18057
61,61,0.11104,0.13819,0.11071,0.1621,0.18668,0.11616,0.18712,0.18585
62,62,0.10951,0.13629,0.10906,0.15748,0.18031,0.1122,0.18121,0.17818
63,63,0.11155,0.13883,0.1113,0.16242,0.1821,0.11331,0.18198,0.18226
64,64,0.11219,0.13962,0.11156,0.16559,0.18974,0.11807,0.18936,0.18971
65,65,0.11015,0.13708,0.10956,0.16279,0.18388,0.11442,0.18382,0.18469
66,66,0.11244,0.13994,0.11176,0.16454,0.18159,0.113,0.1807,0.18329
67,67,0.11295,0.14057,0.11213,0.1644,0.18311,0.11395,0.1828,0.18418
68,68,0.11066,0.13772,0.11004,0.16321,0.18222,0.11339,0.18147,0.18331
69,69,0.11231,0.13978,0.11142,0.16522,0.18108,0.11268,0.18068,0.18396
70,70,0.11422,0.14216,0.11369,0.16547,0.18821,0.11712,0.18759,0.18681
71,71,0.10989,0.13677,0.10937,0.15947,0.18133,0.11284,0.18109,0.18039
72,72,0.11193,0.1393,0.11141,0.16108,0.18222,0.11339,0.18107,0.18071
73,73,0.11168,0.13899,0.11111,0.16135,0.18439,0.11474,0.18326,0.18284
74,74,0.11371,0.14152,0.11299,0.16269,0.18337,0.1141,0.18251,0.18188
75,75,0.11219,0.13962,0.11146,0.16469,0.18783,0.11688,0.18937,0.18799
76,76,0.11142,0.13867,0.11092,0.15883,0.18311,0.11395,0.18211,0.17959
77,77,0.1113,0.13851,0.11109,0.15961,0.1849,0.11506,0.18465,0.18181
78,78,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
79,79,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
80,80,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
81,81,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
82,82,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
83,83,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
84,84,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
85,85,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
86,86,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
87,87,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
88,88,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
89,89,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
90,90,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
91,91,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
92,92,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
93,93,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
94,94,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
95,95,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
96,96,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
97,97,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
98,98,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
99,99,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
100,100,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
101,101,0.01273,0.01585,0.0136,0.01291,0.01948,0.01212,0.02081,0.01528
