userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,10.038695335388184) (174,9.181574821472168) (1013,9.02889633178711) (511,8.85941219329834) (998,8.854972839355469) (59,8.849895477294922)* (180,8.843531608581543) (175,8.82432746887207) (722,8.8208646774292) (601,8.747257232666016) (997,8.693185806274414) (187,8.661480903625488) (697,8.50511646270752) (877,8.375199317932129) (1122,8.354081153869629) (4649,8.337584495544434) (1394,8.27284049987793) (715,8.221888542175293) (1713,8.186243057250977) (1073,8.039937019348145)
3: (603,10.366691589355469) (3166,10.062262535095215) (617,10.014845848083496) (2164,9.88940143585205) (11377,9.843893051147461) (12334,9.821252822875977) (2161,9.649266242980957) (3158,9.29617691040039) (5411,9.278423309326172) (625,9.24575138092041) (750,9.127201080322266) (1801,9.116718292236328) (18723,9.05501651763916) (18708,9.04743766784668) (3143,9.034485816955566) (10015,9.021470069885254) (3167,9.019095420837402) (13646,9.016386032104492) (16405,9.000840187072754) (444,8.989091873168945)
4: (190,9.003993034362793)* (159,8.919516563415527)* (511,8.906975746154785) (1001,8.582054138183594) (726,8.33531379699707) (99,8.217046737670898) (601,8.206255912780762) (172,8.19442367553711)* (1713,8.171146392822266) (961,7.972692489624023) (959,7.922016143798828) (1104,7.901340484619141) (227,7.837991237640381) (868,7.629778861999512) (1379,7.628199100494385) (228,7.599071502685547) (59,7.59820032119751) (877,7.516694068908691) (3466,7.508432388305664) (3460,7.470580577850342)
5: (703,10.431525230407715) (88,10.195324897766113) (429,9.941104888916016) (418,9.6240816116333) (2277,9.129236221313477) (620,9.045653343200684) (3057,9.026054382324219) (159,8.946964263916016) (1424,8.94540023803711) (858,8.768701553344727) (604,8.478265762329102) (629,8.42656421661377) (1106,8.397075653076172) (614,8.394295692443848) (437,8.373215675354004) (533,8.371919631958008) (430,8.36932373046875) (709,8.287908554077148) (1976,8.280241012573242) (1400,8.236669540405273)
6: (1613,9.600334167480469) (913,8.791625022888184) (69,8.421578407287598) (69,8.421578407287598) (330,8.412060737609863) (721,7.894232749938965) (8991,7.828724384307861) (2220,7.709672451019287) (719,7.660969257354736) (266,7.655468463897705)* (267,7.570560932159424)* (2222,7.470625400543213) (468,7.342655181884766) (15922,7.292391777038574) (1959,7.283446311950684) (15921,7.193150043487549) (329,7.094763278961182) (3488,7.060577869415283) (8173,7.012990951538086) (251,7.009913921356201)*
7: (461,10.407745361328125) (1032,10.310988426208496) (157,10.253785133361816) (349,9.96275520324707) (701,9.90146541595459) (468,9.606338500976562) (523,9.394654273986816) (913,9.255425453186035) (544,9.014321327209473) (161,8.973947525024414) (525,8.953370094299316) (292,8.851624488830566)* (2020,8.780088424682617) (55,8.777806282043457)* (1934,8.743308067321777) (1243,8.733189582824707) (681,8.71597671508789) (290,8.700819969177246)* (455,8.649637222290039) (302,8.636317253112793)*
8: (294,9.894930839538574) (306,8.490549087524414) (7390,8.396767616271973) (913,8.370498657226562) (157,8.226921081542969) (906,7.895145416259766) (1032,7.807585716247559) (455,7.715245246887207) (461,7.666802406311035) (1459,7.600645065307617) (465,7.584790229797363) (701,7.549359321594238) (1580,7.513815879821777) (891,7.505265712738037) (326,7.468437194824219) (291,7.459417343139648)* (1740,7.3913187980651855) (5767,7.385584354400635) (305,7.376717567443848) (329,7.37345552444458)
9: (2734,8.613983154296875) (198,8.134003639221191) (3124,8.006864547729492) (1796,7.585119724273682) (5087,7.425181865692139) (1406,7.391944408416748) (1857,7.344479084014893) (396,7.33872652053833)* (726,7.289068698883057) (230,7.264252185821533) (1910,7.188084125518799) (3056,7.170692443847656) (12275,7.1427741050720215) (3054,7.081830024719238) (2806,7.0577802658081055) (1179,7.014756202697754) (289,7.010563850402832) (4502,6.999894618988037) (8392,6.999858856201172) (1919,6.8942484855651855)
10: (703,10.570016860961914) (2277,10.372974395751953) (1424,9.805891990661621) (3693,9.753119468688965) (88,9.680453300476074) (4384,9.293558120727539) (620,9.27617073059082) (1390,9.23854923248291) (1400,9.141243934631348) (1106,9.11721420288086) (604,9.114733695983887) (1632,9.093475341796875) (2139,8.954398155212402) (225,8.874082565307617)* (227,8.85204792022705) (898,8.796232223510742) (1155,8.775131225585938) (3057,8.747395515441895) (215,8.747366905212402) (1633,8.705594062805176)
11: (306,11.013694763183594)* (475,9.33769702911377)* (913,9.20063304901123) (1032,8.910338401794434) (701,8.664393424987793) (523,8.103904724121094) (257,8.043425559997559) (7390,7.9593424797058105) (320,7.947495460510254) (310,7.9446635246276855) (291,7.908735275268555) (295,7.888612270355225)* (1457,7.832522392272949) (464,7.791795253753662)* (329,7.772278785705566)* (302,7.751016616821289) (1456,7.713348388671875) (2020,7.692756652832031) (318,7.6788530349731445) (290,7.674919605255127)
12: (198,12.63458251953125) (1406,10.69835090637207) (1179,10.398857116699219) (707,10.220190048217773) (1104,9.704834938049316) (726,9.684999465942383) (190,9.673456192016602) (481,9.574507713317871) (537,9.553446769714355) (498,9.446081161499023)* (490,9.370832443237305)* (930,9.219669342041016) (7,8.867818832397461) (1186,8.815220832824707) (808,8.742289543151855) (475,8.652376174926758) (371,8.545218467712402) (1044,8.520777702331543) (209,8.45549488067627) (405,8.40464973449707)*
