,ep,loss
0,0,1.182025698653888e-05
1,1,1.188745409308467e-05
2,2,1.1934186124348985e-05
3,3,1.1974659093325231e-05
4,4,1.20149904218766e-05
5,5,1.204993336881778e-05
6,6,1.2084133847084185e-05
7,7,1.2106969038808637e-05
8,8,1.2149523493409266e-05
9,9,1.2177139658032342e-05
10,10,1.2177470179106903e-05
11,11,1.221113263775752e-05
12,12,1.223330646633472e-05
13,13,1.2253705442751251e-05
14,14,1.2267633524863735e-05
15,15,1.2278268487160162e-05
16,16,1.2298418529526852e-05
17,17,1.2311126363997841e-05
18,18,1.2325574864328647e-05
19,19,1.233304462456384e-05
20,20,1.234479954933597e-05
21,21,1.2365746202062036e-05
22,22,1.237471916979035e-05
23,23,1.2384905670949271e-05
24,24,1.2372715633211877e-05
25,25,1.239633906259448e-05
26,26,1.2398494832536124e-05
27,27,1.2384494632843758e-05
28,28,1.2410173894750187e-05
29,29,1.2399019771478111e-05
30,30,1.2402605828837669e-05
31,31,1.2413650785995688e-05
32,32,1.2428428068661186e-05
33,33,1.243182125964428e-05
34,34,1.2426593831846463e-05
35,35,1.242700714368873e-05
36,36,1.244194385542548e-05
37,37,1.2442061982737333e-05
38,38,1.2436446682199056e-05
39,39,1.2430774939489579e-05
40,40,1.243376755155623e-05
41,41,1.2431035777220078e-05
42,42,1.2433566553227138e-05
43,43,1.2440591222805191e-05
44,44,1.2444883770299116e-05
45,45,1.2436590623110533e-05
46,46,1.2448986955646165e-05
47,47,1.2459978279366624e-05
48,48,1.2474507911974797e-05
49,49,1.2472980281873948e-05
50,50,1.2467265980162397e-05
51,51,1.247856051336652e-05
52,52,1.247998935629285e-05
53,53,1.2499127104306621e-05
54,54,1.2469158932885074e-05
55,55,1.249728198030532e-05
56,56,1.2486614383199006e-05
57,57,1.2474451041806092e-05
58,58,1.2472408129457e-05
59,59,1.2482021702453494e-05
60,60,1.2483596706528368e-05
61,61,1.2470709835350349e-05
62,62,1.247962587941027e-05
63,63,1.2494183358606225e-05
64,64,1.250291351799901e-05
65,65,1.2506335705813185e-05
66,66,1.2509505883345436e-05
67,67,1.2511798933487358e-05
68,68,1.2507396765132024e-05
69,69,1.2508209131149616e-05
70,70,1.249299941050327e-05
71,71,1.2501200939475572e-05
72,72,1.2517871014364681e-05
73,73,1.2510108263086295e-05
74,74,1.2527301511427676e-05
75,75,1.2530184074635412e-05
76,76,1.254642928174957e-05
77,77,1.2540316113111604e-05
78,78,1.252598129961852e-05
79,79,1.2517198550032095e-05
80,80,1.2524931501984075e-05
81,81,1.2525411233689416e-05
82,82,1.2518981908643208e-05
83,83,1.2538809133890455e-05
84,84,1.2528520180828363e-05
85,85,1.2530901157708072e-05
86,86,1.2545185708243962e-05
87,87,1.2540890138017644e-05
88,88,1.2542836269430528e-05
89,89,1.253457856578547e-05
90,90,1.2529258583526826e-05
91,91,1.2533475883709102e-05
92,92,1.251775516078958e-05
93,93,1.2523293983523377e-05
94,94,1.2526812283527653e-05
95,95,1.2542209921829293e-05
96,96,1.2543387583718868e-05
97,97,1.2543680467762683e-05
98,98,1.2543531203632215e-05
99,99,1.2531552543163451e-05
100,100,1.2534758244488758e-05
101,101,1.2537409849541933e-05
102,102,1.2527346852413543e-05
103,103,1.253531753023066e-05
104,104,1.2546946570236127e-05
105,105,1.2549429999019006e-05
106,106,1.2543230348134838e-05
107,107,1.253550344164764e-05
108,108,1.2562159982360968e-05
109,109,1.2572203719601556e-05
110,110,1.258237754133434e-05
111,111,1.2582490746674867e-05
112,112,1.259123537773335e-05
113,113,1.2580841565282112e-05
114,114,1.2586990551961421e-05
115,115,1.2592052745971801e-05
116,116,1.258057840031517e-05
117,117,1.2578440338770366e-05
118,118,1.257513932775028e-05
119,119,1.2611211439113558e-05
120,120,1.2698497892629616e-05
121,121,1.2668081099571496e-05
122,122,1.2648598519316533e-05
123,123,1.2642362247895695e-05
124,124,1.2639084723238793e-05
125,125,1.2624105158251683e-05
126,126,1.262189171564601e-05
127,127,1.261483871798298e-05
128,128,1.2603792557081975e-05
129,129,1.259629532475682e-05
130,130,1.2583666188327376e-05
131,131,1.258449497874929e-05
132,132,1.2582574955184314e-05
133,133,1.2587577791290481e-05
134,134,1.2565851808604374e-05
135,135,1.2560413137287147e-05
136,136,1.255905338920831e-05
137,137,1.2564934476198259e-05
138,138,1.2557030458992813e-05
139,139,1.2548783134287292e-05
140,140,1.2544395491097342e-05
141,141,1.2548473799089312e-05
142,142,1.2536384715263813e-05
143,143,1.2530853114987943e-05
144,144,1.2518978671912063e-05
145,145,1.2530169923967846e-05
