userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,31.058900833129883) (187,30.51532745361328) (70,30.423603057861328)* (1073,30.28750991821289) (877,30.20207977294922) (51,30.081222534179688)* (1824,29.81863784790039) (1014,29.79776954650879) (3992,29.765390396118164) (3768,29.68317222595215) (1394,29.66649627685547) (1098,29.633920669555664) (1081,29.5301513671875) (155,29.459640502929688) (1833,29.424196243286133) (183,29.397998809814453) (993,29.36525535583496) (238,29.35159683227539) (511,29.294784545898438) (1713,29.289453506469727)
3: (7152,26.847745895385742) (6180,26.530689239501953) (3504,26.497989654541016) (6163,26.475439071655273) (6152,26.466920852661133) (6171,26.466272354125977) (3510,26.4625186920166) (6170,26.460325241088867) (4232,26.454265594482422) (6166,26.443086624145508) (6175,26.434207916259766) (6162,26.42428207397461) (6172,26.41397476196289) (6174,26.35281753540039) (6154,26.33857536315918) (6167,25.774621963500977) (3216,25.619556427001953) (567,25.129793167114258) (6164,25.106246948242188) (981,25.06829071044922)
4: (63,30.951181411743164) (63,30.951181411743164) (1705,30.596586227416992) (70,30.329559326171875)* (959,29.9219913482666) (511,29.802003860473633) (190,29.785219192504883)* (1104,29.296894073486328) (1109,29.14886474609375) (2783,29.078672409057617) (910,29.035018920898438) (69,28.98485565185547) (69,28.98485565185547) (518,28.921106338500977) (722,28.82854461669922) (238,28.817113876342773) (377,28.605539321899414) (1249,28.519203186035156) (171,28.500917434692383)* (81,28.469940185546875)
5: (436,30.443038940429688) (715,30.111841201782227) (533,30.108699798583984) (418,29.976654052734375) (221,29.942686080932617)* (615,29.824390411376953) (65,29.750064849853516) (65,29.750064849853516) (3057,29.666303634643555) (1090,29.586790084838867) (220,29.580408096313477)* (81,29.58002471923828) (88,29.563697814941406) (173,29.525806427001953)* (614,29.463613510131836) (858,29.390283584594727) (159,29.323951721191406) (1151,29.282703399658203) (1510,29.20336151123047) (709,29.18770980834961)
6: (301,26.84202766418457) (1935,26.65006446838379) (6562,26.510704040527344) (251,26.274734497070312)* (1936,26.163129806518555) (913,26.122133255004883) (484,25.873729705810547) (266,25.56008529663086)* (11082,25.474124908447266) (4710,25.367494583129883) (474,25.340274810791016) (4560,25.21634292602539) (322,25.172468185424805) (1821,25.132177352905273) (575,25.038164138793945) (468,24.971790313720703) (1841,24.830589294433594) (329,24.789228439331055) (1834,24.772443771362305) (6375,24.75551986694336)
7: (913,29.539325714111328) (302,29.39077377319336)* (701,29.21892547607422) (349,29.150638580322266) (292,29.01780128479004)* (907,28.861234664916992) (1934,28.680448532104492) (333,28.60614013671875)* (290,28.57235336303711)* (525,28.254716873168945) (466,28.211750030517578) (1052,28.152057647705078) (344,28.07969093322754) (461,28.027437210083008) (279,28.01155662536621) (285,27.917203903198242) (538,27.84261703491211) (317,27.766937255859375)* (55,27.69793128967285)* (241,27.666702270507812)
8: (794,28.55142593383789) (2392,28.46044158935547) (67,27.839916229248047) (67,27.839916229248047) (316,27.759172439575195) (1459,27.666624069213867) (465,27.6463565826416) (1601,27.629369735717773) (674,27.493375778198242) (791,27.399641036987305) (701,27.380216598510742) (302,27.351245880126953)* (455,27.310096740722656) (318,27.204063415527344) (1441,27.169843673706055) (2934,27.157960891723633) (3557,27.09760284423828) (291,27.068115234375)* (3763,27.056705474853516) (1025,27.031593322753906)
9: (390,26.990772247314453)* (2086,26.662059783935547) (2097,26.6481876373291) (1857,26.31381607055664) (1351,26.151872634887695) (5605,26.047000885009766) (3324,26.009754180908203) (2092,26.002500534057617) (3873,25.97829818725586) (2101,25.893218994140625) (1918,25.742748260498047) (3712,25.424379348754883) (9576,25.402841567993164) (2089,25.383100509643555) (2102,25.333459854125977) (472,25.31775665283203) (2799,25.213592529296875) (1705,25.193798065185547) (2104,25.133007049560547) (5093,25.114519119262695)
10: (225,31.128936767578125)* (618,30.916168212890625) (210,30.529415130615234) (217,30.52066993713379)* (615,30.45212745666504) (1632,30.32978057861328) (1633,30.233531951904297) (207,30.22174835205078) (1090,30.111499786376953) (1400,30.09197425842285) (1106,29.988496780395508) (1048,29.819061279296875) (898,29.787336349487305) (5414,29.711490631103516) (1390,29.682674407958984) (223,29.675498962402344) (2277,29.64459228515625) (858,29.62154197692871) (1097,29.573759078979492) (5027,29.538864135742188)
11: (161,29.147127151489258) (300,29.04378890991211)* (458,29.042150497436523)* (89,28.93791961669922)* (333,28.829833984375) (306,28.795778274536133)* (321,28.43289566040039) (295,28.383760452270508)* (302,28.3778076171875) (544,28.35281753540039) (475,28.29607582092285)* (378,28.20702362060547) (701,28.177261352539062) (329,28.152347564697266)* (1447,28.12450408935547) (257,28.024890899658203) (1455,27.96408462524414) (291,27.960655212402344) (1042,27.939889907836914) (191,27.90436363220215)
12: (1179,30.768884658813477) (1854,30.601119995117188) (490,30.277883529663086)* (2956,30.264436721801758) (1104,30.199716567993164) (3946,30.055728912353516) (930,29.887765884399414) (371,29.791194915771484) (1091,29.78900146484375) (2941,29.766324996948242) (405,29.72327995300293)* (536,29.441463470458984) (1859,29.421607971191406) (2843,29.413375854492188) (500,29.370635986328125)* (3563,29.314735412597656) (1905,29.301795959472656) (1797,29.173276901245117) (966,29.11428451538086) (726,29.060829162597656)
