,ep,loss
0,0,1.0016736910877038e-05
1,1,1.0379065422645962e-05
2,2,1.06560288954557e-05
3,3,1.0897154639036779e-05
4,4,1.1110613821288366e-05
5,5,1.1334914688632125e-05
6,6,1.1552877340898917e-05
7,7,1.1746825427561656e-05
8,8,1.1902690296076745e-05
9,9,1.2108689562035793e-05
10,10,1.2282353482613176e-05
11,11,1.2441332460987136e-05
12,12,1.261390710116008e-05
13,13,1.2769439790110268e-05
14,14,1.2912255308893851e-05
15,15,1.3052740969749934e-05
16,16,1.3191181203771575e-05
17,17,1.3310217395080732e-05
18,18,1.3413007951278226e-05
19,19,1.353745427182088e-05
20,20,1.3651790702758316e-05
21,21,1.3742001208490419e-05
22,22,1.3866563757105991e-05
23,23,1.3972223046841785e-05
24,24,1.4037865345445051e-05
25,25,1.4153511502252727e-05
26,26,1.4249273376395542e-05
27,27,1.4334282160930075e-05
28,28,1.4435630419029621e-05
29,29,1.4506942159855766e-05
30,30,1.4628908796593724e-05
31,31,1.471652157145881e-05
32,32,1.4815597751294263e-05
33,33,1.4880084429879549e-05
34,34,1.4993018419986851e-05
35,35,1.5081932655020329e-05
36,36,1.5140965869624565e-05
37,37,1.523167504595168e-05
38,38,1.532234310776831e-05
39,39,1.5366748598085798e-05
40,40,1.5416177655638687e-05
41,41,1.5486615077808144e-05
42,42,1.5563429181330482e-05
43,43,1.5635199334236165e-05
44,44,1.5740183966152152e-05
45,45,1.579673672120621e-05
46,46,1.584025170921129e-05
47,47,1.5896229984611957e-05
48,48,1.5940678756177315e-05
49,49,1.600921619041508e-05
50,50,1.6079393176101695e-05
51,51,1.612653057450456e-05
52,52,1.6197237260605427e-05
53,53,1.6219422297367334e-05
54,54,1.626616904104594e-05
55,55,1.632770277758348e-05
56,56,1.637605606340324e-05
57,57,1.6461244098643554e-05
58,58,1.653470564419609e-05
59,59,1.6566298761651578e-05
60,60,1.659597546677105e-05
61,61,1.666520384948372e-05
62,62,1.6691820265430794e-05
63,63,1.6761603386411854e-05
64,64,1.6791581134277614e-05
65,65,1.686535597400507e-05
66,66,1.689991580967805e-05
67,67,1.693925306052038e-05
68,68,1.697231731240583e-05
69,69,1.7019306516671993e-05
70,70,1.7073549797179806e-05
71,71,1.7117618025462006e-05
72,72,1.716289695169133e-05
73,73,1.7199715276707566e-05
74,74,1.7214605737963747e-05
75,75,1.7265226875572218e-05
76,76,1.7334223337135935e-05
77,77,1.7368739998560425e-05
78,78,1.7384566918361304e-05
79,79,1.7432355193972506e-05
80,80,1.748750679218895e-05
81,81,1.7512128097758466e-05
82,82,1.7561423941087388e-05
83,83,1.759512644425473e-05
84,84,1.7610993221323416e-05
85,85,1.7621189780423747e-05
86,86,1.7666070615472135e-05
87,87,1.771835521889015e-05
88,88,1.7742126842409454e-05
89,89,1.7760704020688802e-05
90,90,1.780126550489941e-05
91,91,1.7825373534458992e-05
