userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (70,30.66868019104004)* (1001,30.633316040039062) (1824,30.60319709777832) (1394,30.448122024536133) (175,30.25417709350586) (51,30.062660217285156)* (1836,30.009801864624023) (1073,29.9009952545166) (187,29.72474479675293) (900,29.577129364013672) (3992,29.500341415405273) (1885,29.46784019470215) (238,29.217159271240234) (3201,29.168790817260742) (4308,29.160078048706055) (722,28.82684898376465) (511,28.82367515563965) (172,28.78044319152832) (1062,28.735668182373047) (1098,28.64838218688965)
3: (10516,26.95858383178711) (6004,25.362573623657227) (18185,25.16727066040039) (18177,25.114227294921875) (18160,25.10387420654297) (18167,25.067073822021484) (18169,25.055742263793945) (18165,25.035234451293945) (6598,25.015832901000977) (18186,25.008909225463867) (2811,25.002811431884766) (10002,24.962106704711914) (18175,24.960596084594727) (18181,24.956832885742188) (18170,24.943971633911133) (11211,24.917377471923828) (18176,24.911354064941406) (18164,24.90022087097168) (18174,24.898305892944336) (18168,24.894948959350586)
4: (511,29.3767147064209) (190,28.892711639404297)* (1795,28.735626220703125) (171,28.37348747253418)* (727,28.276288986206055) (905,28.061323165893555) (1375,27.989206314086914) (69,27.84117889404297) (69,27.84117889404297) (70,27.65012550354004)* (2783,27.578336715698242) (722,27.503437042236328) (221,27.397275924682617) (715,27.307191848754883) (2044,27.299301147460938) (159,27.294973373413086)* (712,27.28097152709961) (533,27.161441802978516) (486,27.11498260498047) (63,27.113372802734375)
5: (88,30.31482696533203) (210,30.297380447387695)* (418,30.23812484741211) (416,30.11824607849121) (858,30.05558967590332) (1151,29.780414581298828) (223,29.622591018676758)* (1633,29.54241371154785) (615,29.54218101501465) (220,29.42367935180664)* (173,29.36873435974121)* (1090,29.367769241333008) (163,29.355684280395508) (969,29.346824645996094) (170,29.331398010253906) (221,29.24179458618164)* (604,29.210519790649414) (65,29.134979248046875) (65,29.134979248046875) (851,29.133819580078125)
6: (913,26.957555770874023) (251,26.325441360473633)* (9907,26.043798446655273) (15742,25.751441955566406) (15747,25.60506820678711) (2220,25.522504806518555) (1834,25.491872787475586) (15745,25.46090316772461) (4696,25.458782196044922) (12044,25.438913345336914) (13446,25.398218154907227) (301,25.390064239501953) (11764,25.356731414794922) (1935,25.344589233398438) (1641,25.231611251831055) (3488,25.167400360107422) (322,25.165029525756836) (6721,25.11236000061035) (4560,25.026195526123047) (2222,24.99626350402832)
7: (349,27.60799789428711) (913,27.512571334838867) (302,27.005937576293945)* (292,26.956134796142578)* (290,26.65909194946289)* (317,26.544727325439453)* (279,26.50250244140625) (468,26.31235694885254) (701,26.29506492614746) (333,26.25791358947754)* (907,26.204429626464844) (1052,26.116077423095703) (318,25.98324203491211)* (55,25.777585983276367)* (525,25.69658660888672) (1450,25.64456558227539) (484,25.616592407226562) (466,25.561277389526367) (523,25.432167053222656) (456,25.32979393005371)
8: (2498,27.90675926208496) (1447,27.834041595458984) (1021,27.589576721191406) (3557,27.491640090942383) (6308,27.409690856933594) (786,27.370868682861328) (455,27.32147216796875) (386,27.24820899963379) (791,27.243179321289062) (291,27.218448638916016)* (3576,26.912046432495117) (479,26.87222671508789) (909,26.859561920166016) (3199,26.814006805419922) (290,26.65346336364746) (388,26.649560928344727) (7395,26.648948669433594) (161,26.606855392456055) (325,26.557668685913086) (1459,26.5339412689209)
9: (8658,27.56509780883789) (5089,27.275421142578125) (2092,27.088611602783203) (3266,27.0848445892334) (2102,26.925268173217773) (3324,26.856178283691406) (9716,26.727737426757812) (5605,26.686256408691406) (10228,26.475006103515625) (396,26.359560012817383)* (1918,26.204133987426758) (2945,26.185115814208984) (9013,26.13724136352539) (5744,26.056941986083984) (209,26.016773223876953) (2089,25.95416831970215) (9410,25.88610076904297) (3915,25.822324752807617) (17715,25.764780044555664) (2376,25.742229461669922)
10: (225,30.002084732055664)* (618,29.751604080200195) (207,29.525650024414062) (210,29.43731689453125) (1090,29.188884735107422) (1510,29.019695281982422) (1424,28.976383209228516) (1390,28.93290901184082) (441,28.73942756652832)* (5414,28.730911254882812) (1239,28.634395599365234) (1048,28.550344467163086) (898,28.51683235168457) (203,28.433176040649414) (1400,28.42814064025879) (3797,28.427919387817383) (217,28.418550491333008)* (709,28.41769027709961) (858,28.408708572387695) (236,28.389955520629883)
11: (913,29.186616897583008) (907,28.267648696899414) (290,28.26327896118164) (327,28.210601806640625)* (355,27.967998504638672) (308,27.86519432067871) (257,27.756515502929688) (329,27.6890926361084)* (1444,27.669591903686523) (1052,27.631778717041016) (314,27.584796905517578) (295,27.575014114379883)* (291,27.530109405517578) (300,27.5047664642334)* (161,27.503448486328125) (306,27.451759338378906)* (475,27.436357498168945)* (302,27.299251556396484) (89,27.288557052612305)* (333,27.261686325073242)
12: (1854,27.963205337524414) (209,27.564708709716797) (1104,27.495288848876953) (930,27.478782653808594) (190,27.28083038330078) (1852,27.276203155517578) (498,27.25389289855957)* (1179,27.226163864135742) (5079,27.21414566040039) (1874,27.198169708251953) (1091,27.14986228942871) (2956,27.070926666259766) (7,26.997888565063477) (972,26.86397361755371) (2014,26.835023880004883) (537,26.8140811920166) (536,26.747297286987305) (173,26.714263916015625) (968,26.62189483642578) (10430,26.618457794189453)
