userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,32.04536819458008) (175,31.976829528808594) (51,31.805654525756836)* (157,31.769336700439453) (1836,31.647449493408203) (193,31.518014907836914) (1394,31.508024215698242) (1009,31.30048179626465) (993,31.26662826538086) (1795,31.23754119873047) (511,31.23424530029297) (187,31.209806442260742) (1156,30.946598052978516) (1122,30.911243438720703) (1098,30.80465316772461) (155,30.78659439086914) (1395,30.76462745666504) (722,30.73705291748047) (3501,30.72675323486328) (70,30.61557960510254)*
3: (18318,29.618942260742188) (5927,29.550243377685547) (18315,29.51375961303711) (18319,29.50669288635254) (17903,29.42857551574707) (18316,29.363265991210938) (3414,29.330810546875) (4734,29.2849178314209) (18314,29.26900291442871) (4860,29.241703033447266) (10002,29.184383392333984) (7079,29.170873641967773) (11128,29.07603645324707) (15720,29.058635711669922) (15717,28.986635208129883) (15726,28.9223690032959) (15721,28.913244247436523) (15716,28.904666900634766) (15725,28.88499641418457) (15718,28.866640090942383)
4: (1713,32.14521408081055) (63,31.960847854614258) (63,31.960847854614258) (190,31.837167739868164)* (70,31.531660079956055)* (377,31.263917922973633) (1705,31.249670028686523) (1104,31.15846061706543) (511,31.111051559448242) (959,31.065006256103516) (389,31.059524536132812) (4126,31.02008628845215) (1072,30.922998428344727) (486,30.50848960876465) (968,30.507434844970703) (171,30.422651290893555)* (1099,30.352079391479492) (1001,30.271106719970703) (407,30.230993270874023) (1306,30.2154598236084)
5: (418,32.58309555053711) (163,32.302734375) (5423,32.2872200012207) (615,32.232601165771484) (602,32.0989875793457) (65,32.057125091552734) (65,32.057125091552734) (858,32.00830078125) (1510,31.970993041992188) (1090,31.83167839050293) (533,31.63142204284668) (88,31.5728702545166) (416,31.54336166381836) (7650,31.463333129882812) (173,31.38810920715332)* (618,31.2972412109375) (1958,31.2177791595459) (1790,31.16191864013672) (1048,31.120254516601562) (162,31.11573600769043)
6: (2220,31.068788528442383) (251,30.967182159423828)* (8991,30.96683120727539) (913,29.869731903076172) (301,29.863780975341797) (157,29.734285354614258) (2179,29.649887084960938) (6385,29.467256546020508) (3313,29.43453025817871) (266,29.383953094482422)* (322,29.277379989624023) (6562,29.197336196899414) (578,28.995534896850586) (1613,28.969879150390625) (1464,28.82720947265625) (69,28.82431411743164) (69,28.82431411743164) (329,28.797000885009766) (1127,28.759639739990234) (295,28.754779815673828)
7: (349,29.71607780456543) (302,29.602970123291016)* (292,29.532855987548828)* (701,29.229768753051758) (55,28.817543029785156)* (333,28.81148338317871)* (290,28.805622100830078)* (318,28.7944278717041)* (913,28.359752655029297) (523,28.350692749023438) (461,28.140193939208984) (525,28.070032119750977) (466,27.995487213134766) (344,27.95840072631836) (465,27.927961349487305) (317,27.914520263671875)* (679,27.77903938293457) (456,27.755319595336914) (538,27.715282440185547) (1934,27.695899963378906)
8: (465,28.783245086669922) (294,28.55680274963379) (326,28.408876419067383) (1580,28.32247543334961) (296,28.10851287841797)* (291,28.04067611694336)* (1602,27.94274139404297) (523,27.833717346191406) (293,27.814069747924805) (302,27.808774948120117)* (2454,27.808082580566406) (909,27.7432861328125) (318,27.69801902770996) (913,27.440420150756836) (299,27.383974075317383) (311,27.27415657043457)* (906,27.252971649169922) (786,27.25118637084961) (455,27.182727813720703) (310,27.171363830566406)
9: (5746,30.63039779663086) (2107,30.43320655822754) (966,30.385290145874023) (2096,30.135072708129883) (910,29.999237060546875) (2106,29.924577713012695) (2092,29.74068260192871) (1130,29.68749237060547) (968,29.632402420043945) (472,29.616764068603516) (2104,29.59389305114746) (2175,29.476057052612305) (1859,29.443925857543945) (2150,29.434701919555664) (1918,29.34370231628418) (2068,29.237489700317383) (488,29.086458206176758) (4437,29.0008487701416) (5575,28.984148025512695) (486,28.972869873046875)
10: (618,33.57434844970703) (207,33.259765625) (225,33.16762161254883)* (1090,32.697750091552734) (217,32.65960693359375)* (1400,32.57555389404297) (1390,32.40206527709961) (615,32.40065002441406) (1106,32.363380432128906) (629,32.33577346801758) (3057,32.11177062988281) (1976,32.08110809326172) (898,32.07783126831055) (210,31.8787784576416) (1048,31.720552444458008) (1504,31.65886116027832) (2277,31.54484748840332) (231,31.52939796447754) (1632,31.516382217407227) (1424,31.49453353881836)
11: (538,30.71693992614746) (355,30.511693954467773) (329,29.948711395263672)* (295,29.93507194519043)* (326,29.741302490234375) (913,29.6522274017334) (257,29.618499755859375) (291,29.593524932861328) (89,29.529417037963867)* (907,29.471080780029297) (701,29.43056869506836) (300,29.333873748779297)* (290,29.25278091430664) (302,29.24727439880371) (306,29.183650970458984)* (161,29.094514846801758) (333,29.09124755859375) (318,29.060752868652344) (309,29.015666961669922) (342,28.996116638183594)
12: (1854,33.91160583496094) (490,33.19263458251953)* (1179,32.81792449951172) (190,32.799278259277344) (1091,32.3052864074707) (7,32.25038528442383) (209,32.239437103271484) (1874,32.01198959350586) (1104,32.00245666503906) (726,31.963579177856445) (173,31.891929626464844) (930,31.81700325012207) (498,31.570781707763672)* (371,31.52779769897461) (405,31.448322296142578)* (1797,31.402851104736328) (1145,31.397743225097656) (536,31.370588302612305) (966,31.370317459106445) (198,31.353357315063477)
13: (289,31.94322395324707) (288,31.71721839904785) (306,31.528146743774414) (701,31.256450653076172) (302,31.243919372558594)* (679,30.96564483642578) (328,30.563920974731445)* (291,30.2550106048584) (349,30.031932830810547)* (972,29.977006912231445) (704,29.96653175354004) (680,29.906787872314453) (523,29.805267333984375)* (344,29.770843505859375)* (903,29.748214721679688) (1934,29.67365837097168) (532,29.648269653320312)* (1243,29.591331481933594) (293,29.571985244750977) (2083,29.56997299194336)
14: (582,32.47161865234375)* (3019,32.41750717163086) (7056,31.761829376220703) (8123,31.598567962646484) (2842,31.500110626220703) (11124,31.457439422607422) (2864,31.285480499267578) (8314,31.25763702392578) (3024,31.23516845703125) (2902,31.094776153564453) (8126,31.030357360839844) (2459,30.78369903564453) (2894,30.769153594970703) (8111,30.62327766418457) (15881,30.59072494506836) (1220,30.29973602294922) (1244,30.283184051513672) (2871,30.181324005126953) (12051,30.17017364501953) (8114,30.09001922607422)
15: (2419,34.395286560058594) (1958,34.30010223388672) (1833,34.07616424560547) (4079,33.38492202758789) (7123,33.01971435546875) (418,32.86320877075195) (196,32.8018913269043) (715,32.79793167114258) (163,32.70803451538086) (1122,32.66399383544922) (199,32.655887603759766) (1504,32.63654708862305) (1976,32.58636474609375) (197,32.451416015625)* (11477,32.39889144897461) (206,32.39859390258789) (53,32.325077056884766) (53,32.325077056884766) (1633,32.318824768066406) (3693,32.262081146240234)
16: (2498,28.81928253173828) (788,28.502185821533203) (7506,28.410369873046875) (787,28.371431350708008) (4260,28.286325454711914) (2396,28.274986267089844) (8409,28.122745513916016) (6856,28.118070602416992) (8002,28.07179069519043) (15906,28.058910369873047) (15236,28.014047622680664) (15908,27.96807861328125) (6318,27.92462158203125) (14474,27.914081573486328) (15913,27.907363891601562) (15909,27.897502899169922) (15910,27.88671112060547) (15911,27.83507537841797) (2067,27.81621551513672) (15914,27.81369400024414)
17: (2020,32.13330078125) (333,31.781869888305664) (300,31.565330505371094)* (2607,31.33992576599121) (458,30.9510555267334) (191,30.92045021057129) (1047,30.836875915527344) (528,30.812454223632812)* (1934,30.767866134643555) (2977,30.747879028320312) (291,30.622774124145508) (793,30.540681838989258) (1043,30.459260940551758) (471,30.38240623474121) (321,30.35275650024414) (302,30.32984161376953) (352,30.30611801147461) (1455,30.234161376953125) (1042,30.193950653076172) (5746,30.085344314575195)
18: (180,34.772727966308594) (1249,34.5252571105957) (959,34.49912643432617) (157,34.30795669555664) (220,34.194557189941406)* (227,34.168025970458984)* (868,33.91779708862305) (2786,33.87546157836914) (1464,33.855098724365234) (234,33.820560455322266) (1412,33.645877838134766) (2346,33.55549621582031) (69,33.468177795410156) (69,33.468177795410156) (614,33.426780700683594) (885,33.28002166748047) (1244,33.195011138916016) (176,33.18083572387695) (982,33.15653610229492) (63,33.13008117675781)
20: (603,30.640790939331055) (5052,30.261083602905273) (1099,30.241907119750977) (8786,30.215007781982422) (407,30.119291305541992) (7470,30.02357292175293) (2174,29.888256072998047) (11204,29.802501678466797) (4734,29.645036697387695) (12979,29.57073974609375) (616,29.446855545043945) (2605,29.437007904052734) (1112,29.3829345703125) (1222,29.370277404785156) (8383,29.334033966064453) (238,29.215801239013672) (3164,29.151952743530273) (2832,29.111572265625) (2673,29.07552719116211) (2164,28.927526473999023)
21: (161,27.601919174194336) (349,27.55286407470703) (89,27.528356552124023)* (790,27.202449798583984)* (323,27.1688289642334) (455,27.068143844604492) (306,26.987735748291016)* (296,26.97031593322754) (350,26.95813751220703) (906,26.943252563476562) (326,26.837671279907227) (257,26.828258514404297) (525,26.81951904296875) (466,26.751195907592773)* (3576,26.7354793548584) (265,26.492603302001953) (638,26.431987762451172) (291,26.29833984375) (9231,26.29383087158203) (290,26.28599739074707)
22: (1861,30.39781379699707) (1541,30.252696990966797) (779,30.001182556152344) (2850,29.774179458618164) (500,29.6729793548584) (953,29.483421325683594) (4096,29.205080032348633) (5069,29.188091278076172) (1196,29.157678604125977) (2214,29.149599075317383) (1044,29.0920352935791) (5066,28.99228286743164) (2744,28.977718353271484) (978,28.968791961669922) (4948,28.900434494018555) (809,28.79179573059082)* (2959,28.791208267211914) (8277,28.759552001953125) (1547,28.74651336669922) (2379,28.707454681396484)
23: (1534,32.94130325317383) (631,31.755599975585938) (441,31.243558883666992) (1707,31.046430587768555) (1083,30.93409538269043) (1119,30.918590545654297) (868,30.907608032226562)* (450,30.885940551757812) (1131,30.885223388671875) (59,30.61370277404785) (206,30.60199546813965) (3280,30.5460147857666) (5913,30.42369270324707) (857,30.410194396972656)* (6730,30.388690948486328) (429,30.364025115966797) (1203,30.359912872314453) (8042,30.350969314575195) (234,30.328744888305664) (2493,30.32332420349121)
24: (97,34.75453567504883) (1934,33.478946685791016) (1556,33.25516891479492) (1243,33.11882781982422) (2277,33.001251220703125) (3488,32.445518493652344) (1767,32.419837951660156) (2544,32.3929557800293) (5790,32.37953567504883) (55,32.314674377441406)* (67,32.29702377319336)* (67,32.29702377319336)* (316,32.18775939941406)* (575,31.853769302368164) (340,31.809490203857422)* (2521,31.75321388244629) (71,31.6739444732666) (71,31.6739444732666) (1772,31.577892303466797) (3057,31.498870849609375)
25: (349,28.725000381469727)* (326,28.70724105834961) (465,28.322803497314453) (257,28.16429328918457) (299,27.87693214416504) (314,27.783525466918945)* (4566,27.595664978027344) (2018,27.521589279174805) (292,27.284326553344727)* (320,27.223365783691406) (332,27.17510414123535) (1596,27.16994285583496) (285,27.153486251831055) (291,26.966899871826172) (301,26.93187141418457) (306,26.904151916503906) (279,26.684947967529297) (1601,26.64828872680664) (317,26.634977340698242) (89,26.6302490234375)*
26: (1338,31.383085250854492) (5585,31.266572952270508) (2654,30.855607986450195) (4670,30.7099552154541) (15,30.572097778320312) (1339,30.081783294677734) (2963,29.955665588378906) (1350,29.883312225341797) (4349,29.64402961730957) (918,29.618026733398438)* (1358,29.290653228759766) (953,28.95687484741211)* (2966,28.91474151611328) (1347,28.892641067504883) (4335,28.881004333496094) (954,28.875362396240234)* (2004,28.858911514282227) (707,28.805116653442383)* (2746,28.733428955078125) (942,28.68205451965332)*
