userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,18.99237060546875) (51,17.047077178955078)* (601,16.38421630859375) (157,16.190763473510742) (187,15.915897369384766) (993,15.881421089172363) (193,15.791446685791016) (3768,15.712691307067871) (1836,15.599447250366211) (1014,15.548009872436523) (61,15.430207252502441)* (175,15.201653480529785) (3201,15.095775604248047) (238,15.006688117980957) (1098,14.995369911193848) (1464,14.979047775268555) (1892,14.924192428588867) (3501,14.877582550048828) (70,14.824239730834961)* (1013,14.740090370178223)
3: (592,16.685592651367188) (7148,15.999735832214355) (15622,14.686919212341309) (15630,14.677050590515137) (15625,14.640419006347656) (12315,14.635640144348145) (15623,14.608604431152344) (15634,14.60793399810791) (15626,14.603959083557129) (13647,14.598475456237793) (15629,14.59316349029541) (15631,14.592684745788574) (9141,14.565078735351562) (15633,14.560941696166992) (8390,14.516508102416992) (15621,14.47109603881836) (6582,14.44990348815918) (6588,14.421195030212402) (11088,14.420990943908691) (15628,14.418140411376953)
4: (190,15.845071792602539)* (511,14.245113372802734) (229,13.684505462646484) (1001,13.605926513671875) (159,13.529467582702637)* (1375,13.526612281799316) (227,13.35611629486084) (228,13.290163040161133) (166,13.151483535766602)* (959,13.0347900390625) (89,13.005287170410156) (1116,12.993437767028809) (1075,12.946510314941406) (533,12.93373966217041) (486,12.919880867004395) (518,12.91854476928711) (378,12.908784866333008) (70,12.872940063476562)* (506,12.797606468200684) (54,12.776188850402832)
5: (65,16.53725242614746) (65,16.53725242614746) (88,16.42734718322754) (163,16.422971725463867) (715,16.233064651489258) (418,16.085737228393555) (159,15.998522758483887) (533,15.82333755493164) (220,15.795305252075195)* (210,15.776748657226562)* (429,15.741287231445312) (709,15.566167831420898) (173,15.532761573791504)* (3057,15.31649112701416) (716,15.168967247009277) (1090,14.984720230102539) (1424,14.978551864624023) (1098,14.955021858215332) (436,14.799081802368164) (441,14.79529094696045)
6: (913,15.225606918334961) (468,15.200898170471191) (301,15.07547378540039) (329,14.851430892944336) (484,14.850434303283691) (157,14.708030700683594) (355,14.670578002929688) (331,14.636765480041504) (8991,14.466388702392578) (1613,14.361026763916016) (295,14.146806716918945) (1834,14.088440895080566) (1681,14.059625625610352) (4710,14.036806106567383) (9907,13.93207836151123) (366,13.931702613830566) (327,13.892606735229492) (701,13.782120704650879) (2179,13.747941970825195) (69,13.684541702270508)
7: (349,14.68801212310791) (292,14.382869720458984)* (302,14.1259765625)* (701,13.974996566772461) (290,13.606046676635742)* (333,13.360992431640625)* (55,13.344343185424805)* (318,13.312654495239258)* (913,13.299025535583496) (466,13.240234375) (461,13.068290710449219) (352,12.68842887878418) (317,12.600310325622559)* (523,12.31342887878418) (679,12.265995025634766) (525,12.232126235961914) (344,12.20999526977539) (1934,12.205141067504883) (528,12.166754722595215) (543,12.15929126739502)
8: (294,14.002142906188965) (291,13.877880096435547)* (1459,13.671442985534668) (290,13.639755249023438) (786,13.458393096923828) (311,13.302989959716797)* (326,13.292215347290039) (305,12.781806945800781) (251,12.761470794677734)* (302,12.631002426147461)* (301,12.616390228271484) (913,12.396833419799805) (299,12.376358032226562) (55,12.240474700927734) (465,12.195659637451172) (310,12.174633979797363) (325,12.16357421875) (5767,12.093210220336914) (67,12.04297924041748) (67,12.04297924041748)
9: (378,15.273218154907227)* (1857,15.171243667602539) (2086,15.018085479736328) (1705,14.991252899169922) (3324,14.862665176391602) (2102,14.646924018859863) (89,14.57158088684082) (2094,14.414499282836914) (4923,14.364828109741211) (968,14.339296340942383) (498,14.136204719543457) (2655,14.081270217895508) (486,14.023758888244629) (4980,13.95870590209961) (2101,13.874296188354492) (2092,13.705482482910156) (7,13.6448335647583) (972,13.637495040893555) (289,13.581533432006836) (2089,13.522323608398438)
10: (225,15.614672660827637)* (207,15.385619163513184) (1400,15.23320484161377) (1424,15.068870544433594) (441,14.833959579467773)* (1090,14.700275421142578) (1097,14.513961791992188) (210,14.510764122009277) (4384,14.370203971862793) (618,14.189218521118164) (858,14.139951705932617) (629,13.918761253356934) (716,13.876775741577148) (757,13.858128547668457) (1390,13.855877876281738) (1504,13.85041618347168) (3200,13.645782470703125) (1106,13.630603790283203) (227,13.511643409729004) (217,13.498787879943848)*
11: (89,16.627017974853516)* (295,16.57518768310547)* (475,16.571876525878906)* (300,16.545433044433594)* (306,16.370771408081055)* (333,16.13396453857422) (302,15.773298263549805) (291,15.557395935058594) (257,15.374113082885742) (329,15.222904205322266)* (701,15.071470260620117) (328,14.979440689086914) (1444,14.805620193481445) (907,14.680522918701172) (161,14.6137113571167) (679,14.600610733032227) (327,14.595638275146484)* (544,14.577486038208008) (318,14.510107040405273) (538,14.462236404418945)
12: (1179,17.855920791625977) (190,16.907665252685547) (1116,16.581270217895508) (830,16.101665496826172) (198,15.912193298339844) (498,15.815162658691406)* (3240,15.760579109191895) (1672,15.627782821655273) (173,15.546536445617676) (2956,15.460882186889648) (181,15.411955833435059) (1104,15.327317237854004) (1145,15.264429092407227) (1854,15.248310089111328) (930,15.018562316894531) (1044,14.925003051757812) (1091,14.90245246887207) (5972,14.813431739807129) (65,14.789081573486328) (65,14.789081573486328)
