userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,15.361922264099121)* (1394,15.346834182739258) (70,15.246964454650879)* (1001,15.058014869689941) (1073,15.03543472290039) (157,14.58851146697998) (155,14.258397102355957) (4308,14.117077827453613) (238,14.063812255859375) (1836,14.017176628112793) (1062,13.817917823791504) (159,13.4962739944458) (59,13.381601333618164)* (187,13.324319839477539) (1098,13.281108856201172) (1156,13.082818984985352) (1014,13.037276268005371) (3768,12.998406410217285) (511,12.923308372497559) (3201,12.896687507629395)
3: (1700,16.77709197998047) (12022,16.357677459716797) (749,15.633244514465332) (15370,15.42253303527832) (981,15.319063186645508) (10002,14.843398094177246) (16845,14.613173484802246) (10719,14.480511665344238) (6296,14.475386619567871) (1146,14.450944900512695) (16853,14.448676109313965) (16854,14.44157886505127) (16851,14.433676719665527) (8697,14.430014610290527) (16856,14.405787467956543) (16852,14.39026927947998) (16855,14.386080741882324) (11875,14.370338439941406) (16849,14.330557823181152) (16848,14.311863899230957)
4: (70,15.059662818908691)* (190,14.170621871948242)* (1001,13.938767433166504) (511,13.779969215393066) (63,13.776374816894531) (63,13.776374816894531) (1713,13.773240089416504) (722,13.572030067443848) (5000,13.336256980895996) (1410,13.120635986328125) (67,13.11395263671875) (67,13.11395263671875) (238,13.091079711914062) (1795,13.014103889465332) (159,13.010653495788574)* (1793,12.98394775390625) (1384,12.919977188110352) (961,12.876959800720215) (81,12.839866638183594) (486,12.830757141113281)
5: (436,14.108074188232422) (418,14.041926383972168) (614,13.80842113494873) (159,13.740571975708008) (533,13.615883827209473) (1098,13.381402969360352) (173,13.197021484375)* (429,13.073017120361328) (163,12.972183227539062) (220,12.942571640014648)* (615,12.933523178100586) (859,12.86219310760498) (65,12.850187301635742) (65,12.850187301635742) (233,12.794872283935547)* (1116,12.769387245178223) (964,12.702299118041992) (1239,12.657563209533691) (81,12.58231258392334) (3057,12.4934720993042)
6: (329,13.161750793457031) (8161,12.714388847351074) (2179,12.398022651672363) (251,12.348089218139648)* (157,12.088933944702148) (331,11.995599746704102) (8991,11.977106094360352) (913,11.872960090637207) (301,11.829357147216797) (295,11.823081016540527) (1601,11.69666576385498) (67,11.644275665283203) (67,11.644275665283203) (701,11.451826095581055) (5778,11.360662460327148) (349,11.34439754486084) (310,11.218546867370605) (330,11.18993854522705) (1613,11.174612045288086) (4710,11.097979545593262)
7: (292,12.347887992858887)* (349,12.242303848266602) (302,11.932855606079102)* (701,11.882322311401367) (290,11.687453269958496)* (318,11.567831039428711)* (333,11.462568283081055)* (55,11.393925666809082)* (466,11.331554412841797) (461,11.223100662231445) (525,11.218868255615234) (523,11.190054893493652) (352,10.958876609802246) (344,10.842399597167969) (906,10.810820579528809) (285,10.721013069152832) (1459,10.557992935180664) (342,10.52470588684082) (913,10.514524459838867) (1580,10.48692798614502)
8: (972,13.040074348449707) (674,12.78947639465332) (786,12.654549598693848) (291,12.564903259277344)* (909,12.426616668701172) (294,12.371108055114746) (333,12.315362930297852) (6308,12.223518371582031) (1459,12.093924522399902) (794,12.01087474822998) (293,11.94961929321289) (680,11.897974967956543) (318,11.87993049621582) (296,11.870800971984863)* (67,11.710037231445312) (67,11.710037231445312) (311,11.70750617980957)* (1463,11.702836036682129) (290,11.701438903808594) (5767,11.641200065612793)
9: (209,12.543279647827148) (475,12.365528106689453) (498,12.233061790466309) (5306,12.191009521484375) (378,11.997275352478027)* (536,11.956853866577148) (1672,11.93474006652832) (333,11.89666748046875) (1183,11.826194763183594) (1860,11.701873779296875) (230,11.692347526550293) (3324,11.669878959655762) (2092,11.651361465454102) (497,11.592276573181152) (344,11.566549301147461) (808,11.558894157409668) (9828,11.542613983154297) (1351,11.442301750183105) (198,11.367654800415039) (2102,11.346280097961426)
10: (225,15.123080253601074)* (207,15.000235557556152) (1090,14.631560325622559) (210,14.288414001464844) (217,14.197474479675293)* (1400,14.088716506958008) (1390,14.066402435302734) (1239,13.866991996765137) (618,13.493179321289062) (1510,13.33855152130127) (441,13.323356628417969)* (5027,13.306974411010742) (190,13.306092262268066) (1048,13.276056289672852) (227,13.167137145996094) (1106,13.146367073059082) (1632,13.136514663696289) (203,13.118651390075684) (2815,13.101512908935547) (419,13.095754623413086)*
11: (295,12.992815971374512)* (300,12.769134521484375)* (161,12.719764709472656) (333,12.708102226257324) (701,12.635221481323242) (257,12.4276762008667) (89,12.376707077026367)* (291,12.25457763671875) (306,12.178491592407227)* (302,12.080720901489258) (329,11.904610633850098)* (377,11.819234848022461) (318,11.683756828308105) (328,11.560787200927734) (378,11.514874458312988) (191,11.472837448120117) (290,11.441529273986816) (310,11.422162055969238) (320,11.41770076751709) (299,11.331914901733398)
12: (1104,14.17822551727295) (1179,13.67150592803955) (7,13.594789505004883) (1044,13.461783409118652) (173,13.373702049255371) (1914,13.363739967346191) (1714,13.319775581359863) (1116,13.251775741577148) (1704,13.091859817504883) (190,13.079121589660645) (498,13.06758975982666)* (2014,13.056482315063477) (198,12.918764114379883) (726,12.873464584350586) (1874,12.780936241149902) (930,12.620464324951172) (3367,12.616876602172852) (1854,12.570420265197754) (3240,12.37436294555664) (2062,12.166519165039062)
