userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,12.378839492797852) (187,12.286238670349121) (51,11.998109817504883)* (3992,11.952180862426758) (511,11.848634719848633) (238,11.838972091674805) (159,11.793747901916504) (1824,11.486345291137695) (1073,11.407682418823242) (1394,11.10818099975586) (1098,11.062036514282227) (70,11.033012390136719)* (1892,10.767091751098633) (1836,10.699735641479492) (183,10.617656707763672) (1713,10.327179908752441) (157,10.278861999511719) (1072,10.229265213012695) (57,10.15085220336914)* (59,10.120065689086914)*
3: (748,13.435201644897461) (7695,13.018061637878418) (7697,12.846807479858398) (7682,12.838740348815918) (7696,12.833453178405762) (7689,12.812297821044922) (7701,12.783048629760742) (7692,12.742350578308105) (7687,12.728697776794434) (7699,12.7215576171875) (7693,12.700350761413574) (17962,12.6705322265625) (13398,12.656203269958496) (7685,12.364304542541504) (6004,12.242514610290527) (1737,12.178059577941895) (17972,12.162065505981445) (3541,12.147764205932617) (17971,12.115462303161621) (17960,12.103310585021973)
4: (511,12.658868789672852) (159,12.077608108520508)* (190,11.926127433776855)* (959,11.502670288085938) (1001,11.242629051208496) (70,10.949366569519043)* (238,10.801918983459473) (63,10.662514686584473) (63,10.662514686584473) (1394,10.558544158935547) (166,10.551311492919922)* (227,10.462320327758789) (533,10.34107780456543) (389,10.273646354675293) (599,10.192745208740234) (1122,10.121530532836914) (986,10.017618179321289) (1705,10.004814147949219) (1098,9.965902328491211) (95,9.96218204498291)
5: (436,14.498711585998535) (418,14.29973030090332) (614,13.443442344665527) (533,13.413341522216797) (220,12.9746675491333)* (982,12.800532341003418) (1151,12.73085880279541) (429,12.527885437011719) (173,12.44277286529541)* (233,12.435630798339844)* (159,12.32246208190918) (964,12.266905784606934) (615,12.264245986938477) (1424,12.233025550842285) (441,12.112763404846191) (1239,12.077936172485352) (1116,12.039671897888184) (709,12.018769264221191) (81,12.011713981628418) (858,11.99695110321045)
6: (69,11.376646041870117) (69,11.376646041870117) (2220,10.828730583190918) (913,10.341169357299805) (6562,10.224393844604492) (1402,9.977249145507812) (322,9.975752830505371) (366,9.974973678588867) (1841,9.902231216430664) (9907,9.794210433959961) (2179,9.755593299865723) (8071,9.751762390136719) (3318,9.665217399597168) (6385,9.649508476257324) (8991,9.640497207641602) (2222,9.596391677856445) (1544,9.570661544799805) (4566,9.551918029785156) (482,9.495864868164062) (9904,9.41176700592041)
7: (349,11.12442684173584) (913,10.907299995422363) (292,10.827154159545898)* (290,10.630942344665527)* (701,10.577010154724121) (302,10.291861534118652)* (523,10.018692016601562) (318,10.003011703491211)* (342,9.855621337890625) (525,9.843087196350098) (484,9.727632522583008) (333,9.727524757385254)* (317,9.678582191467285)* (461,9.601747512817383) (55,9.596638679504395)* (465,9.588391304016113) (908,9.529549598693848) (456,9.467764854431152) (279,9.46682071685791) (323,9.443219184875488)*
8: (676,11.596715927124023) (455,10.915854454040527) (386,10.884356498718262) (1459,10.665162086486816) (674,10.651786804199219) (644,10.60964584350586) (161,10.39465045928955) (291,10.29709243774414)* (290,10.27926254272461) (638,10.213723182678223) (641,10.175281524658203) (465,10.146295547485352) (326,10.041765213012695) (701,9.982316970825195) (2067,9.95600700378418) (318,9.840473175048828) (3080,9.793811798095703) (792,9.783684730529785) (909,9.758752822875977) (794,9.745854377746582)
9: (5087,11.477924346923828) (518,11.31436824798584) (396,10.62840747833252)* (504,10.455493927001953) (930,10.426544189453125) (726,10.089346885681152) (972,10.03904914855957) (2014,10.02608585357666) (1918,10.022393226623535) (5202,9.940458297729492) (378,9.79002857208252)* (1104,9.280718803405762) (1179,9.265791893005371) (1857,9.177581787109375) (9013,9.146939277648926) (2512,9.136402130126953) (5076,9.135923385620117) (2094,9.0986967086792) (3324,9.027637481689453) (674,8.970904350280762)
10: (225,12.657034873962402)* (1090,11.357990264892578) (170,11.002392768859863) (615,10.892010688781738) (207,10.891458511352539) (217,10.702532768249512)* (210,10.562749862670898) (1376,10.560093879699707) (227,10.456233024597168) (1239,10.455280303955078) (3030,10.335238456726074) (1048,10.232161521911621) (533,10.150415420532227) (206,10.014548301696777) (236,9.8988618850708) (441,9.806831359863281)* (1632,9.779335021972656) (709,9.739749908447266) (203,9.716076850891113) (1390,9.65910530090332)
11: (314,12.446672439575195) (475,12.372637748718262)* (295,12.03801155090332)* (257,11.953163146972656) (320,11.90711784362793) (306,11.865829467773438)* (291,11.81180191040039) (302,11.681618690490723) (89,11.651738166809082)* (333,11.54641342163086) (293,11.517082214355469) (913,11.49701976776123) (907,11.329938888549805) (310,11.239930152893066) (300,11.117423057556152)* (329,11.078363418579102)* (701,11.06725788116455) (318,11.020745277404785) (326,10.994769096374512) (161,10.994547843933105)
12: (1104,12.229117393493652) (1044,11.714703559875488) (198,11.68392276763916) (1854,11.576746940612793) (1672,11.391304016113281) (7,11.359269142150879) (371,11.270977973937988) (190,11.264005661010742) (500,10.97299575805664)* (1179,10.950006484985352) (209,10.690855026245117) (2014,10.593642234802246) (498,10.505118370056152)* (1091,10.359786033630371) (173,10.335481643676758) (405,10.196626663208008)* (930,10.194632530212402) (3240,10.1527738571167) (2940,10.12686538696289) (1116,10.081714630126953)
13: (306,11.56707763671875) (288,11.335946083068848) (289,11.32004165649414) (701,11.302889823913574) (679,10.993654251098633) (302,10.993383407592773)* (1032,10.570528030395508) (328,10.330009460449219)* (704,10.309867858886719) (1934,10.025574684143066) (344,9.947368621826172)* (523,9.947247505187988)* (2020,9.942625045776367) (329,9.877202987670898) (291,9.875029563903809) (903,9.842236518859863) (349,9.802300453186035)* (464,9.749922752380371) (320,9.741619110107422) (680,9.735797882080078)
14: (582,14.975440979003906)* (2902,14.643592834472656) (8126,13.98845100402832) (7056,13.618833541870117) (5660,13.580156326293945) (3024,13.570547103881836) (1422,13.489723205566406) (8118,13.429259300231934) (8108,13.372808456420898) (9352,13.251901626586914) (992,13.247832298278809) (8816,13.176502227783203) (8130,13.16275405883789) (8112,13.160786628723145) (8116,13.156708717346191) (2899,13.149065017700195) (8124,13.122058868408203) (8115,13.117289543151855) (8113,13.1128568649292) (8119,13.086968421936035)
15: (197,13.119688034057617)* (206,12.723307609558105) (199,11.867776870727539) (2419,11.744726181030273) (718,11.334376335144043) (1958,11.123958587646484) (418,11.117762565612793) (1242,11.0142822265625) (859,10.825658798217773) (416,10.772726058959961) (1833,10.719069480895996) (88,10.718135833740234) (434,10.716190338134766) (2629,10.672874450683594) (748,10.664094924926758) (163,10.621391296386719) (715,10.44182300567627) (630,10.43979549407959)* (567,10.314531326293945) (235,10.231977462768555)
16: (3570,10.2262601852417) (4565,10.211647987365723) (7656,10.039626121520996) (4688,9.753829956054688) (5729,9.641251564025879) (1576,9.595846176147461) (912,9.584186553955078) (6002,9.575858116149902) (4880,9.555094718933105) (502,9.537487983703613) (2515,9.44475269317627) (360,9.400362968444824) (2019,9.230246543884277) (1057,9.229974746704102) (455,9.115313529968262) (16771,8.870887756347656) (354,8.858355522155762) (794,8.770581245422363) (4309,8.751825332641602) (15416,8.750373840332031)
17: (333,11.157760620117188) (1047,11.130049705505371) (471,10.854771614074707) (1246,10.755807876586914) (300,10.729362487792969)* (321,10.604884147644043) (470,10.582709312438965) (1043,10.494951248168945) (291,10.024662017822266) (458,9.878751754760742) (1198,9.741214752197266) (1934,9.737403869628906) (403,9.555459022521973)* (293,9.521852493286133) (528,9.428848266601562)* (302,9.428760528564453) (1447,9.414033889770508) (342,9.365234375) (701,9.257611274719238)* (306,9.24824047088623)*
18: (1249,12.980228424072266) (227,12.315670013427734)* (959,12.22447395324707) (220,12.188804626464844)* (2346,11.377958297729492) (1244,11.202688217163086) (157,11.155818939208984) (1412,11.01529312133789) (951,10.858514785766602) (234,10.853792190551758) (868,10.605063438415527) (176,10.488069534301758) (982,10.432074546813965) (159,10.318601608276367) (1464,10.20301628112793) (166,10.166204452514648) (1415,10.163772583007812) (180,10.112191200256348) (187,9.976236343383789) (917,9.925039291381836)
