userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (70,11.027851104736328)* (238,10.108229637145996) (1001,9.866653442382812) (1098,9.48542594909668) (1394,9.27556324005127) (159,9.233038902282715) (1464,9.1077299118042) (511,8.796530723571777) (187,8.655597686767578) (1122,8.624711036682129) (51,8.614142417907715)* (157,8.204042434692383) (1073,7.901272773742676) (599,7.803216457366943) (4316,7.7607316970825195) (154,7.729551315307617) (1156,7.631448268890381) (193,7.575323104858398) (155,7.550449848175049) (57,7.534350395202637)*
3: (1226,7.911815166473389) (10719,7.2721266746521) (3026,6.933147430419922) (7021,6.675945281982422) (7017,6.589818000793457) (5358,6.571390151977539) (2605,6.490833282470703) (747,6.402672290802002) (782,6.368226051330566) (5348,6.31335973739624) (10002,6.30047607421875) (7029,6.238775730133057) (7037,6.206604480743408) (3863,6.162091255187988) (8390,6.120360374450684) (8205,6.101581573486328) (8207,6.086254596710205) (12877,6.071214199066162) (12878,6.062697410583496) (12870,6.061351776123047)
4: (511,8.188797950744629) (190,7.901142120361328)* (159,7.730349063873291)* (1464,7.385698318481445) (70,7.0621232986450195)* (389,6.71047830581665) (1122,6.677300453186035) (171,6.423659324645996)* (715,6.290399551391602) (67,6.2111310958862305) (67,6.2111310958862305) (1109,6.1823296546936035) (227,6.179600715637207) (722,6.077059745788574) (1375,6.056671142578125) (1001,6.045829772949219) (69,6.041044235229492) (69,6.041044235229492) (1098,6.024301052093506) (238,5.9850006103515625)
5: (418,9.26890754699707) (429,8.610651969909668) (159,8.434453964233398) (599,8.254977226257324) (436,8.096419334411621) (615,8.053281784057617) (416,7.887627601623535) (859,7.653819561004639) (1633,7.565782070159912) (88,7.535086631774902) (1242,7.528511047363281) (223,7.516974449157715)* (858,7.437991142272949) (618,7.387004375457764) (440,7.195985794067383) (163,7.1920390129089355) (715,7.07273530960083) (65,7.03940486907959) (65,7.03940486907959) (1976,6.9577813148498535)
6: (69,7.58635139465332) (69,7.58635139465332) (251,7.426611423492432)* (301,7.248709678649902) (1834,7.225252151489258) (157,7.084366798400879) (331,6.9473419189453125) (913,6.884735107421875) (1613,6.862270832061768) (1821,6.797983646392822) (9907,6.790388107299805) (8991,6.787862777709961) (11078,6.760219573974609) (1464,6.757881164550781) (15920,6.676268100738525) (67,6.593408107757568) (67,6.593408107757568) (1841,6.4526166915893555) (295,6.376375675201416) (6389,6.335793495178223)
7: (349,8.008657455444336) (292,7.493697166442871)* (913,7.411014556884766) (302,7.399287223815918)* (701,6.831060409545898) (318,6.72910737991333)* (290,6.4352126121521)* (55,6.367547035217285)* (333,6.269914150238037)* (465,6.2647552490234375) (466,6.219217300415039) (285,6.2053375244140625) (525,6.1269755363464355) (523,6.109849452972412) (908,6.029036998748779) (455,5.953786849975586) (538,5.650210857391357) (1459,5.635395050048828) (456,5.59766149520874) (461,5.511023044586182)
8: (294,8.857681274414062) (291,8.615866661071777)* (290,8.070937156677246) (6313,8.032517433166504) (1602,7.930048942565918) (296,7.863503456115723)* (455,7.707659721374512) (302,7.693611145019531)* (479,7.692196369171143) (2392,7.667206287384033) (465,7.650547504425049) (674,7.598323345184326) (5767,7.54419469833374) (909,7.5431036949157715) (326,7.4303789138793945) (3570,7.4137115478515625) (786,7.403639316558838) (701,7.379171371459961) (333,7.36051082611084) (67,7.34902286529541)
9: (378,7.7519731521606445)* (486,7.481916427612305) (4980,7.165172100067139) (930,7.044920444488525) (1919,6.986026287078857) (518,6.872442722320557) (2509,6.771548748016357) (968,6.451857089996338) (396,6.3804755210876465)* (972,6.369042873382568) (2092,6.3529276847839355) (1857,6.2451491355896) (3324,6.222626686096191) (498,6.028199672698975) (2086,6.007563591003418) (6056,5.938214302062988) (9576,5.931401252746582) (5575,5.921684741973877) (1918,5.905784606933594) (2096,5.864726543426514)
10: (225,8.343414306640625)* (1390,8.053730010986328) (618,8.017951965332031) (629,7.355103492736816) (1400,7.2353515625) (207,7.183638572692871) (615,7.091361045837402) (217,7.078458786010742)* (858,7.018637657165527) (1097,7.0143632888793945) (1633,6.970149993896484) (210,6.928651332855225) (1048,6.79103946685791) (1090,6.725088119506836) (3259,6.695343017578125) (231,6.655986785888672) (236,6.621079921722412) (1159,6.543743133544922) (2139,6.529641628265381) (227,6.510519027709961)
11: (295,8.817363739013672)* (89,8.715523719787598)* (300,8.368599891662598)* (302,8.26098918914795) (701,8.191683769226074) (257,8.061070442199707) (329,7.944875240325928)* (291,7.91590690612793) (907,7.842305660247803) (306,7.824024677276611)* (333,7.723546028137207) (913,7.625370979309082) (538,7.581912040710449) (310,7.548071384429932) (331,7.014861106872559) (328,6.897043228149414) (475,6.834760665893555)* (326,6.828721046447754) (191,6.7880964279174805) (320,6.7541093826293945)
12: (536,8.705891609191895) (209,8.228622436523438) (1179,7.28841495513916) (1854,7.274538993835449) (1104,7.187768936157227) (190,7.094204902648926) (198,7.038610458374023) (1145,6.992885112762451) (490,6.971052169799805)* (1091,6.869858741760254) (7,6.837505340576172) (1044,6.826828479766846) (498,6.733438014984131)* (966,6.696455955505371) (537,6.659908294677734) (1116,6.6468987464904785) (930,6.4532575607299805) (173,6.351568222045898) (500,6.348552227020264)* (2014,6.319647312164307)
