userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,37.616119384765625) (3501,36.560279846191406) (1713,36.529048919677734) (51,36.38982009887695)* (1394,36.22301483154297) (1073,36.05965042114258) (3992,35.97774124145508) (187,35.951805114746094) (238,35.78331756591797) (1795,35.70658874511719) (70,35.46988296508789)* (1156,35.42298889160156) (1014,35.41370391845703) (155,35.14481735229492) (59,35.10986328125)* (1072,34.834983825683594) (993,34.81550979614258) (511,34.80923843383789) (3109,34.69107437133789) (1836,34.674076080322266)
3: (14670,36.020870208740234) (16748,34.46125030517578) (10616,34.370941162109375) (14361,34.25102615356445) (7476,33.93830108642578) (2037,33.64452362060547) (10370,33.50480651855469) (9860,33.3963508605957) (8587,33.22370147705078) (4723,33.11531066894531) (14672,33.044578552246094) (14679,32.95798110961914) (14667,32.95517349243164) (14669,32.817970275878906) (10621,32.78876495361328) (14671,32.72929000854492) (6980,32.729164123535156) (14665,32.61393737792969) (14682,32.54029083251953) (2289,32.461368560791016)
4: (511,38.00205993652344) (238,37.74766159057617) (190,37.69680404663086)* (1713,37.490150451660156) (70,37.396968841552734)* (1104,37.243831634521484) (1791,37.16887283325195) (81,37.12099838256836) (1795,36.87360382080078) (959,36.80515670776367) (1098,36.7906608581543) (1001,36.759925842285156) (172,36.72959518432617)* (961,36.71836853027344) (159,36.697940826416016)* (1379,36.58091354370117) (166,36.57826232910156)* (3501,36.48535919189453) (4037,36.465553283691406) (722,36.45833969116211)
5: (418,41.34992980957031) (615,40.804786682128906) (81,40.774864196777344) (436,40.65485382080078) (429,40.61312484741211) (1424,40.36789321899414) (1098,40.3178596496582) (88,40.28975296020508) (416,40.21535873413086) (65,40.206565856933594) (65,40.206565856933594) (533,40.1189079284668) (1109,40.103675842285156) (858,40.077903747558594) (859,39.931861877441406) (163,39.900230407714844) (425,39.84956741333008) (173,39.84801483154297)* (170,39.84209442138672) (1090,39.83805465698242)
6: (266,35.62553405761719)* (251,35.42917251586914)* (913,34.85166931152344) (1936,34.58592224121094) (9689,34.52542495727539) (12966,34.48116683959961) (4467,34.44581604003906) (6562,34.39559555053711) (2220,34.37311935424805) (260,34.323516845703125)* (8991,34.29375457763672) (1544,34.29326248168945) (2419,34.2143440246582) (295,34.21022415161133) (67,34.17304229736328) (67,34.17304229736328) (1834,34.15291213989258) (3488,34.06008529663086) (301,34.00164794921875) (2179,33.971744537353516)
7: (292,39.75168991088867)* (701,39.74504470825195) (349,39.21808624267578) (302,39.15256881713867)* (55,38.7558708190918)* (333,38.724403381347656)* (461,38.677162170410156) (466,38.64006423950195) (290,38.61141586303711)* (525,38.609737396240234) (913,38.38876724243164) (318,38.32225036621094)* (161,38.302825927734375) (279,38.097774505615234) (907,38.06205368041992) (468,38.022369384765625) (1934,38.00139617919922) (484,37.9998893737793) (344,37.95461654663086) (679,37.90055465698242)
8: (479,34.61505889892578) (455,34.56496810913086) (909,34.536460876464844) (465,34.52621078491211) (2067,34.470638275146484) (67,34.452125549316406) (67,34.452125549316406) (2523,34.295528411865234) (641,33.84273147583008) (786,33.813194274902344) (701,33.80116271972656) (251,33.798648834228516)* (157,33.76921081542969) (291,33.765071868896484)* (302,33.63740921020508)* (5767,33.60749816894531) (913,33.54342269897461) (55,33.49320983886719) (1602,33.48970031738281) (378,33.432373046875)
9: (2428,32.347686767578125) (2086,32.21139907836914) (388,32.065006256103516)* (754,31.879873275756836) (2097,31.867733001708984) (14324,31.659873962402344) (3324,31.647171020507812) (2092,31.60589599609375) (1672,31.56997299194336) (1857,31.545894622802734) (1044,31.37531280517578) (10244,31.235570907592773) (4437,31.212081909179688) (2102,31.200729370117188) (930,31.075620651245117) (4980,31.066017150878906) (486,31.042760848999023) (2101,31.008832931518555) (830,30.99472999572754) (2799,30.985897064208984)
10: (207,34.677433013916016) (225,34.6446418762207)* (1390,34.487640380859375) (217,34.40605926513672)* (195,34.26343536376953) (1400,34.228546142578125) (618,33.869407653808594) (1106,33.7802734375) (622,33.650367736816406) (1090,33.63996887207031) (615,33.62703323364258) (222,33.519798278808594) (1424,33.48387145996094) (2398,33.46712112426758) (1159,33.27345275878906) (223,33.17066955566406) (210,33.14041519165039) (3030,33.116214752197266) (227,33.114501953125) (1163,33.077056884765625)
11: (291,37.42668914794922) (300,37.089088439941406)* (333,37.08137893676758) (295,37.025909423828125)* (293,37.00636672973633) (12624,36.97541427612305) (89,36.87842559814453)* (302,36.762550354003906) (12622,36.72941207885742) (257,36.72901916503906) (329,36.48896408081055)* (701,36.480098724365234) (6201,36.46676254272461) (12625,36.40705871582031) (3375,36.38810729980469) (306,36.38660430908203)* (907,36.360618591308594) (538,36.25281524658203) (8991,36.23691940307617) (326,36.234622955322266)
12: (1104,39.43735885620117) (1854,39.29332733154297) (45,39.20267868041992) (7,38.71792221069336) (1179,38.56281661987305) (198,38.33804702758789) (490,38.264976501464844)* (209,38.197994232177734) (930,38.13582229614258) (1091,38.123779296875) (2014,38.11656188964844) (1863,38.11083984375) (1044,37.90924835205078) (190,37.88311767578125) (1300,37.76707458496094) (1145,37.74162292480469) (966,37.730655670166016) (498,37.72605514526367)* (2,37.71127700805664) (758,37.7021484375)
