,epoch,hit@10,precision@10,recall@10,ndcg@10,hit@20,precision@20,recall@20,ndcg@20
0,0,0.03234,0.04025,0.03161,0.04228,0.06074,0.0378,0.06187,0.05395
1,1,0.06889,0.08574,0.07154,0.09446,0.12543,0.07805,0.12671,0.1155
2,2,0.0815,0.10143,0.08167,0.12284,0.13753,0.08558,0.13882,0.13923
3,3,0.08812,0.10967,0.08812,0.12242,0.15052,0.09366,0.14986,0.14276
4,4,0.10213,0.1271,0.10369,0.14075,0.15879,0.09881,0.15948,0.15521
5,5,0.10225,0.12726,0.1032,0.14392,0.16962,0.10555,0.16983,0.16448
6,6,0.12097,0.15055,0.12216,0.17262,0.18426,0.11466,0.18471,0.18724
7,7,0.09474,0.11791,0.0953,0.1263,0.15739,0.09794,0.15741,0.14648
8,8,0.11168,0.13899,0.11242,0.16053,0.17586,0.10943,0.17662,0.17682
9,9,0.10824,0.13471,0.11089,0.15427,0.17726,0.1103,0.17839,0.17446
10,10,0.12097,0.15055,0.1229,0.17734,0.19394,0.12068,0.19411,0.19547
11,11,0.10722,0.13344,0.10902,0.15513,0.16694,0.10388,0.16797,0.17012
12,12,0.1155,0.14374,0.11663,0.15964,0.1821,0.11331,0.18347,0.17795
13,13,0.11728,0.14596,0.11985,0.16773,0.18885,0.11751,0.1895,0.18708
14,14,0.13027,0.16212,0.13098,0.19415,0.19916,0.12393,0.19861,0.2074
15,15,0.12021,0.1496,0.12122,0.17968,0.1891,0.11767,0.18993,0.19635
16,16,0.12823,0.15959,0.1303,0.18663,0.19521,0.12147,0.19571,0.20075
17,17,0.13103,0.16307,0.13322,0.19485,0.19814,0.1233,0.19964,0.20841
18,18,0.13574,0.16894,0.13756,0.1957,0.20171,0.12552,0.20343,0.20819
19,19,0.12632,0.15721,0.1281,0.17836,0.19598,0.12195,0.19624,0.19535
20,20,0.11919,0.14834,0.11864,0.17253,0.18706,0.1164,0.18593,0.18833
21,21,0.12938,0.16101,0.1302,0.18895,0.19903,0.12385,0.19858,0.2043
22,22,0.13549,0.16862,0.13646,0.19557,0.20846,0.12971,0.20915,0.21326
23,23,0.12403,0.15436,0.12359,0.18466,0.19381,0.1206,0.19333,0.20118
24,24,0.12938,0.16101,0.13073,0.18639,0.1998,0.12433,0.2,0.20315
25,25,0.12989,0.16165,0.12916,0.19073,0.19687,0.1225,0.19596,0.20403
26,26,0.12976,0.16149,0.12946,0.18646,0.20069,0.12488,0.1991,0.20228
27,27,0.12301,0.15309,0.12335,0.17766,0.19126,0.11902,0.19105,0.19428
28,28,0.12696,0.158,0.12678,0.18241,0.19559,0.12171,0.19461,0.19851
29,29,0.13256,0.16498,0.1323,0.19156,0.20604,0.12821,0.20726,0.20945
30,30,0.1118,0.13914,0.11153,0.1554,0.17891,0.11133,0.17805,0.17386
31,31,0.13409,0.16688,0.13437,0.19758,0.20349,0.12662,0.20329,0.21199
32,32,0.12314,0.15325,0.12421,0.17904,0.19267,0.11989,0.19288,0.19666
33,33,0.1332,0.16577,0.1333,0.19368,0.20323,0.12647,0.20382,0.20892
34,34,0.14708,0.18304,0.14874,0.21291,0.21852,0.13597,0.21889,0.22648
35,35,0.12823,0.15959,0.12808,0.19379,0.1961,0.12203,0.19515,0.20726
36,36,0.13256,0.16498,0.13293,0.19411,0.20273,0.12615,0.20311,0.20935
37,37,0.13613,0.16941,0.13701,0.20313,0.20323,0.12647,0.20284,0.21536
38,38,0.14606,0.18177,0.14709,0.21294,0.21635,0.13463,0.21737,0.22653
39,39,0.13549,0.16862,0.13578,0.20175,0.20171,0.12552,0.20157,0.21301
40,40,0.129,0.16054,0.12992,0.18943,0.1975,0.1229,0.19751,0.20454
41,41,0.13536,0.16846,0.13621,0.19074,0.20476,0.12742,0.20383,0.20538
42,42,0.13931,0.17338,0.13955,0.20448,0.21087,0.13122,0.21114,0.21973
43,43,0.14364,0.17876,0.14365,0.21466,0.21661,0.13479,0.21791,0.229
44,44,0.13498,0.16799,0.13576,0.20146,0.204,0.12694,0.20289,0.21466
45,45,0.1332,0.16577,0.13278,0.19572,0.20718,0.12892,0.2081,0.21354
46,46,0.12849,0.1599,0.1285,0.18607,0.20451,0.12726,0.2041,0.20578
47,47,0.14046,0.1748,0.13978,0.20997,0.21342,0.13281,0.21304,0.22426
48,48,0.1458,0.18146,0.14581,0.22033,0.22157,0.13788,0.22117,0.2354
49,49,0.12759,0.1588,0.12804,0.18971,0.19203,0.11949,0.19161,0.20161
50,50,0.1346,0.16751,0.13328,0.19681,0.20604,0.12821,0.20471,0.21287
51,51,0.12416,0.15452,0.12435,0.18021,0.19317,0.12021,0.19136,0.19641
52,52,0.12887,0.16038,0.13025,0.18399,0.19699,0.12258,0.19661,0.19974
53,53,0.13332,0.16593,0.13313,0.19789,0.20667,0.12861,0.20633,0.21442
54,54,0.14186,0.17655,0.14209,0.20947,0.21368,0.13296,0.21359,0.22337
55,55,0.14084,0.17528,0.14159,0.21062,0.21189,0.13185,0.21117,0.22337
56,56,0.14109,0.17559,0.1412,0.21096,0.20871,0.12987,0.20815,0.22221
57,57,0.14338,0.17845,0.14365,0.21544,0.21342,0.13281,0.21267,0.22752
58,58,0.13676,0.17021,0.13656,0.2066,0.20362,0.1267,0.20502,0.21961
59,59,0.13078,0.16276,0.13215,0.19524,0.20273,0.12615,0.20307,0.2119
60,60,0.14313,0.17813,0.14368,0.21422,0.21113,0.13138,0.21102,0.22494
61,61,0.14555,0.18114,0.14617,0.22001,0.21291,0.13249,0.21318,0.23052
62,62,0.1295,0.16117,0.13172,0.18989,0.20132,0.12528,0.20212,0.20735
63,63,0.14326,0.17829,0.1431,0.22003,0.21457,0.13352,0.21449,0.23293
64,64,0.14237,0.17718,0.14355,0.21642,0.21406,0.1332,0.21293,0.2286
65,65,0.14657,0.18241,0.14778,0.21925,0.21915,0.13637,0.21905,0.23298
66,66,0.14377,0.17892,0.14434,0.2155,0.21737,0.13526,0.21695,0.22927
67,67,0.14529,0.18082,0.14599,0.21864,0.21877,0.13613,0.21752,0.23224
68,68,0.14288,0.17781,0.14335,0.21054,0.20998,0.13067,0.20934,0.2215
69,69,0.14402,0.17924,0.14501,0.21682,0.21737,0.13526,0.21662,0.23029
70,70,0.14364,0.17876,0.14446,0.21592,0.22004,0.13693,0.21879,0.23207
71,71,0.14746,0.18352,0.14787,0.2209,0.22055,0.13724,0.21971,0.23451
72,72,0.12645,0.15737,0.12648,0.18974,0.19827,0.12338,0.19842,0.20695
73,73,0.14275,0.17765,0.14367,0.21353,0.21699,0.13502,0.2165,0.22778
74,74,0.14861,0.18494,0.14942,0.22158,0.22195,0.13811,0.22237,0.23523
75,75,0.14873,0.1851,0.14944,0.22306,0.22043,0.13716,0.22125,0.23543
76,76,0.14084,0.17528,0.1413,0.20822,0.2124,0.13217,0.21215,0.2224
77,77,0.14733,0.18336,0.14761,0.22105,0.21661,0.13479,0.21656,0.2312
78,78,0.13638,0.16973,0.13633,0.2042,0.21075,0.13114,0.21042,0.21995
79,79,0.14224,0.17702,0.14282,0.2174,0.2152,0.13391,0.21534,0.23095
80,80,0.15001,0.18669,0.15037,0.23192,0.22221,0.13827,0.22146,0.24319
81,81,0.14529,0.18082,0.14579,0.21956,0.21813,0.13574,0.21791,0.23257
82,82,0.13906,0.17306,0.14017,0.20832,0.21189,0.13185,0.21198,0.22369
83,83,0.14147,0.17607,0.14375,0.21378,0.21533,0.13399,0.21611,0.22868
84,84,0.14517,0.18067,0.14677,0.22064,0.21762,0.13542,0.21773,0.23352
85,85,0.14771,0.18384,0.14863,0.22368,0.21762,0.13542,0.21707,0.23461
86,86,0.1402,0.17448,0.14075,0.21517,0.21686,0.13494,0.21631,0.23175
87,87,0.13625,0.16957,0.13737,0.21213,0.20451,0.12726,0.20451,0.22271
88,88,0.13931,0.17338,0.1391,0.21015,0.20807,0.12948,0.20712,0.22175
89,89,0.13918,0.17322,0.13904,0.21034,0.2152,0.13391,0.21483,0.22693
90,90,0.12276,0.15277,0.12373,0.18466,0.19483,0.12124,0.19436,0.20216
91,91,0.12836,0.15975,0.12786,0.18612,0.19789,0.12314,0.19665,0.20192
92,92,0.14249,0.17734,0.14288,0.21152,0.21011,0.13074,0.21068,0.22278
93,93,0.14249,0.17734,0.14355,0.2123,0.21126,0.13146,0.21083,0.22408
94,94,0.14682,0.18273,0.14765,0.22096,0.22234,0.13835,0.22152,0.23564
95,95,0.1402,0.17448,0.14092,0.20874,0.21291,0.13249,0.21275,0.22331
96,96,0.14797,0.18415,0.14878,0.22506,0.22246,0.13843,0.22162,0.23807
97,97,0.13918,0.17322,0.14028,0.21231,0.21444,0.13344,0.21474,0.22784
98,98,0.13613,0.16941,0.13621,0.20417,0.20998,0.13067,0.20856,0.21984
99,99,0.1495,0.18605,0.14885,0.22854,0.22004,0.13693,0.21862,0.23857
100,100,0.14288,0.17781,0.14381,0.21179,0.21419,0.13328,0.21395,0.2254
101,101,0.14529,0.18082,0.14543,0.2181,0.2147,0.1336,0.21402,0.22975
102,102,0.1472,0.1832,0.14739,0.21997,0.2231,0.13883,0.22156,0.2354
103,103,0.13358,0.16624,0.13409,0.19601,0.211,0.1313,0.21093,0.21565
104,104,0.14338,0.17845,0.14446,0.21461,0.21495,0.13376,0.2138,0.22734
105,105,0.14606,0.18177,0.14658,0.2231,0.21941,0.13653,0.21959,0.23645
106,106,0.14173,0.17639,0.14299,0.20513,0.21253,0.13225,0.21269,0.21966
107,107,0.15153,0.18859,0.15223,0.22533,0.2231,0.13883,0.22269,0.23743
108,108,0.14071,0.17512,0.14084,0.21054,0.21177,0.13177,0.21055,0.22371
109,109,0.14338,0.17845,0.14474,0.20878,0.21762,0.13542,0.21653,0.2241
110,110,0.15204,0.18922,0.15228,0.22638,0.22577,0.14049,0.22476,0.23944
111,111,0.14988,0.18653,0.15068,0.22189,0.22475,0.13986,0.22388,0.23618
112,112,0.14351,0.17861,0.14414,0.21513,0.21457,0.13352,0.21422,0.2276
113,113,0.14975,0.18637,0.1508,0.22405,0.22221,0.13827,0.22315,0.23637
114,114,0.15115,0.18811,0.15122,0.22477,0.22717,0.14136,0.2255,0.23906
115,115,0.14542,0.18098,0.14574,0.2169,0.22297,0.13875,0.22144,0.23295
116,116,0.15115,0.18811,0.15195,0.22432,0.2245,0.1397,0.22382,0.23667
117,117,0.14084,0.17528,0.14104,0.20837,0.21546,0.13407,0.21495,0.22401
118,118,0.1472,0.1832,0.14802,0.21989,0.22004,0.13693,0.21995,0.23326
119,119,0.14402,0.17924,0.14489,0.20984,0.21737,0.13526,0.21841,0.22544
120,120,0.14619,0.18193,0.1464,0.21898,0.21686,0.13494,0.21526,0.23008
121,121,0.13969,0.17385,0.14015,0.20977,0.21482,0.13368,0.21438,0.22606
122,122,0.14822,0.18447,0.14864,0.22707,0.22692,0.1412,0.22683,0.24328
123,123,0.14529,0.18082,0.14536,0.21753,0.21673,0.13487,0.21557,0.23019
124,124,0.14211,0.17686,0.14289,0.21147,0.21355,0.13288,0.21264,0.22442
125,125,0.14033,0.17464,0.14081,0.2118,0.2147,0.1336,0.21478,0.22794
126,126,0.14771,0.18384,0.14761,0.22753,0.21775,0.1355,0.21785,0.23806
127,127,0.1388,0.17274,0.14066,0.20415,0.20705,0.12884,0.20789,0.21745
128,128,0.14097,0.17544,0.14051,0.2109,0.2138,0.13304,0.21231,0.22518
129,129,0.15192,0.18906,0.15323,0.22512,0.22412,0.13946,0.22333,0.23722
130,130,0.14988,0.18653,0.15149,0.22191,0.21902,0.13629,0.21893,0.23264
131,131,0.14593,0.18162,0.14674,0.216,0.21762,0.13542,0.21648,0.22972
132,132,0.14504,0.18051,0.14609,0.21705,0.22374,0.13922,0.22346,0.23438
133,133,0.14771,0.18384,0.14868,0.2184,0.22208,0.13819,0.22239,0.23339
134,134,0.1481,0.18431,0.14944,0.21981,0.22183,0.13803,0.22154,0.23324
135,135,0.14988,0.18653,0.15075,0.22305,0.22654,0.14097,0.22567,0.23695
136,136,0.14326,0.17829,0.14329,0.20971,0.2175,0.13534,0.21733,0.22563
137,137,0.15395,0.1916,0.15505,0.23187,0.22858,0.14223,0.22777,0.24431
138,138,0.14389,0.17908,0.14587,0.20734,0.21966,0.13669,0.21996,0.22445
139,139,0.14173,0.17639,0.14244,0.21475,0.20896,0.13003,0.20886,0.22462
140,140,0.15013,0.18685,0.15058,0.22583,0.22004,0.13693,0.22011,0.23655
141,141,0.14529,0.18082,0.14663,0.21389,0.22144,0.1378,0.22148,0.23029
142,142,0.14962,0.18621,0.14967,0.21973,0.22756,0.1416,0.22638,0.23611
143,143,0.14491,0.18035,0.14436,0.21467,0.22093,0.13748,0.22023,0.23126
144,144,0.14708,0.18304,0.14751,0.219,0.22081,0.1374,0.22089,0.2327
145,145,0.14237,0.17718,0.14367,0.20875,0.21164,0.1317,0.21147,0.22131
146,146,0.14593,0.18162,0.1468,0.21833,0.22132,0.13772,0.22122,0.23344
147,147,0.14937,0.1859,0.14939,0.22405,0.22514,0.1401,0.22431,0.23798
148,148,0.14555,0.18114,0.14687,0.22015,0.22055,0.13724,0.22039,0.23553
149,149,0.15268,0.19002,0.15383,0.23265,0.22947,0.14279,0.22921,0.24618
150,150,0.13816,0.17195,0.13904,0.20675,0.21571,0.13423,0.21649,0.22529
151,151,0.15013,0.18685,0.15136,0.22427,0.22412,0.13946,0.22451,0.23765
152,152,0.14593,0.18162,0.1467,0.21767,0.21622,0.13455,0.21489,0.22873
153,153,0.13791,0.17163,0.13891,0.20417,0.2124,0.13217,0.21249,0.221
154,154,0.15001,0.18669,0.1503,0.22476,0.22845,0.14216,0.2285,0.24093
155,155,0.15306,0.19049,0.15432,0.23093,0.22921,0.14263,0.22878,0.24475
156,156,0.14733,0.18336,0.14858,0.21952,0.22183,0.13803,0.22179,0.23375
157,157,0.15446,0.19223,0.1549,0.23201,0.22832,0.14208,0.2287,0.24399
158,158,0.15128,0.18827,0.15274,0.22277,0.2273,0.14144,0.22747,0.23783
159,159,0.15408,0.19176,0.15526,0.23158,0.22845,0.14216,0.22854,0.24475
160,160,0.15001,0.18669,0.1512,0.22317,0.22934,0.14271,0.22971,0.23992
161,161,0.1467,0.18257,0.14731,0.21989,0.22144,0.1378,0.22139,0.23419
162,162,0.15434,0.19208,0.15551,0.23088,0.22819,0.142,0.22797,0.24308
163,163,0.14288,0.17781,0.14329,0.21444,0.22119,0.13764,0.2208,0.23115
164,164,0.14784,0.18399,0.14987,0.22231,0.2231,0.13883,0.22339,0.23729
165,165,0.15013,0.18685,0.15104,0.22718,0.22603,0.14065,0.22723,0.24196
166,166,0.15052,0.18732,0.15146,0.22858,0.2273,0.14144,0.22703,0.24323
167,167,0.14529,0.18082,0.14627,0.21644,0.21992,0.13685,0.21976,0.23084
168,168,0.15714,0.19556,0.15841,0.23455,0.23341,0.14525,0.23368,0.24884
169,169,0.14402,0.17924,0.14571,0.21001,0.21533,0.13399,0.21522,0.2239
170,170,0.1472,0.1832,0.1489,0.21835,0.21495,0.13376,0.2154,0.22892
171,171,0.15344,0.19097,0.15584,0.23224,0.2315,0.14406,0.23184,0.24788
172,172,0.15294,0.19033,0.1537,0.23407,0.22819,0.142,0.22855,0.24713
173,173,0.14975,0.18637,0.15103,0.23163,0.22692,0.1412,0.22689,0.24625
174,174,0.14924,0.18574,0.15001,0.22526,0.22819,0.142,0.22774,0.24149
175,175,0.14835,0.18463,0.15043,0.22061,0.2273,0.14144,0.22698,0.23774
176,176,0.14173,0.17639,0.1423,0.2123,0.21635,0.13463,0.21659,0.22861
177,177,0.14835,0.18463,0.15035,0.22502,0.22284,0.13867,0.22275,0.239
178,178,0.14593,0.18162,0.14713,0.22184,0.22768,0.14168,0.22718,0.24115
179,179,0.1523,0.18954,0.15395,0.2255,0.22717,0.14136,0.22702,0.24021
180,180,0.14313,0.17813,0.14562,0.21379,0.21966,0.13669,0.22025,0.23092
181,181,0.15332,0.19081,0.15466,0.23156,0.22858,0.14223,0.22871,0.24521
182,182,0.14377,0.17892,0.14635,0.21124,0.22055,0.13724,0.22102,0.22898
183,183,0.15001,0.18669,0.15155,0.22329,0.22412,0.13946,0.22455,0.23758
184,184,0.14211,0.17686,0.1444,0.21277,0.22004,0.13693,0.22062,0.23107
185,185,0.14873,0.1851,0.15042,0.22478,0.22781,0.14176,0.22872,0.24226
186,186,0.14873,0.1851,0.15068,0.22581,0.22463,0.13978,0.22547,0.24081
187,187,0.15115,0.18811,0.15257,0.23031,0.22501,0.14002,0.22531,0.24302
188,188,0.15332,0.19081,0.1553,0.23114,0.22908,0.14255,0.22908,0.24484
189,189,0.14975,0.18637,0.15101,0.22671,0.22565,0.14041,0.22524,0.24029
