,ep,loss
0,0,3.241783515441488e-06
1,1,3.2003007943519615e-06
2,2,3.2060151324877073e-06
3,3,3.2187300598437614e-06
4,4,3.224167050625816e-06
5,5,3.234639815612178e-06
6,6,3.235479672856973e-06
7,7,3.245864020039734e-06
8,8,3.250505687362524e-06
9,9,3.254647606219604e-06
10,10,3.263294315244278e-06
11,11,3.270199428191234e-06
12,12,3.277795256529967e-06
13,13,3.2848321850963877e-06
14,14,3.291394554246012e-06
15,15,3.3009559992502266e-06
16,16,3.31081764940284e-06
17,17,3.3205494323396585e-06
18,18,3.33247134861774e-06
19,19,3.341618809967395e-06
20,20,3.3536564019288253e-06
21,21,3.3630704737416552e-06
22,22,3.370687985260892e-06
23,23,3.3862142029795046e-06
24,24,3.3951608619188867e-06
25,25,3.406161158097452e-06
26,26,3.4173938427542625e-06
27,27,3.4306090578021346e-06
28,28,3.4421549213874974e-06
29,29,3.453104884403743e-06
30,30,3.4622245998740224e-06
31,31,3.4750600766187296e-06
32,32,3.488038188554754e-06
33,33,3.498304767856867e-06
34,34,3.5117668603885006e-06
35,35,3.5240214009872908e-06
36,36,3.5339760038350723e-06
37,37,3.545822626174305e-06
38,38,3.558606782972915e-06
39,39,3.5655425940621863e-06
40,40,3.576699264913295e-06
41,41,3.588648384249803e-06
42,42,3.597400461650776e-06
43,43,3.6098034413112234e-06
44,44,3.6212384615778732e-06
45,45,3.6330877710605436e-06
46,46,3.6426585959029025e-06
47,47,3.6559802613741295e-06
48,48,3.667044733547911e-06
49,49,3.6761854177241014e-06
50,50,3.6836261915955455e-06
51,51,3.6964890987723544e-06
52,52,3.7079103813551986e-06
53,53,3.7138110823247614e-06
54,54,3.72605015612136e-06
55,55,3.7332782951643066e-06
56,56,3.746062908507688e-06
57,57,3.758310993671258e-06
58,58,3.765394496095317e-06
59,59,3.7733059685246255e-06
60,60,3.7842898551540207e-06
61,61,3.7908415970557714e-06
62,62,3.800572510041136e-06
63,63,3.8090015460680453e-06
64,64,3.818239756475507e-06
65,65,3.827694501214936e-06
66,66,3.835078701280573e-06
67,67,3.8428824938510005e-06
68,68,3.85156495716146e-06
69,69,3.860277229789868e-06
70,70,3.8657748188019134e-06
71,71,3.878369988532983e-06
72,72,3.886402207168474e-06
73,73,3.8907903825005805e-06
74,74,3.9033714245076254e-06
75,75,3.908430052013091e-06
76,76,3.919358615841249e-06
77,77,3.926149419144329e-06
78,78,3.933501005017548e-06
79,79,3.935301978876833e-06
80,80,3.9452632357747835e-06
81,81,3.947929473415642e-06
82,82,3.954889807609584e-06
83,83,3.961038052905861e-06
84,84,3.968130085886946e-06
85,85,3.974033966493124e-06
86,86,3.979166024012525e-06
87,87,3.9894171580814906e-06
88,88,3.991962326879212e-06
89,89,3.997822472653209e-06
90,90,4.000618104788308e-06
91,91,4.005771808641095e-06
92,92,4.014066326627029e-06
93,93,4.016371018554889e-06
94,94,4.024206804309e-06
95,95,4.028704108220797e-06
96,96,4.033251252801737e-06
97,97,4.036815762051645e-06
98,98,4.04369560416706e-06
99,99,4.045983795776021e-06
100,100,4.05102633277443e-06
101,101,4.056753016491913e-06
102,102,4.0579377951088045e-06
103,103,4.063147438278011e-06
104,104,4.068979803122936e-06
105,105,4.067918343719471e-06
106,106,4.074289009000681e-06
107,107,4.081113779953711e-06
108,108,4.082026378800443e-06
109,109,4.084082624096568e-06
110,110,4.089129162152696e-06
111,111,4.092864347250236e-06
112,112,4.095635094100461e-06
113,113,4.096972396416777e-06
114,114,4.103847054771876e-06
115,115,4.106036339730729e-06
116,116,4.114789230464415e-06
117,117,4.113467736460159e-06
118,118,4.117380993790109e-06
119,119,4.120630429630405e-06
120,120,4.124988210584237e-06
121,121,4.124357427478208e-06
122,122,4.12738358416664e-06
123,123,4.128767818925955e-06
124,124,4.1341262058195705e-06
125,125,4.1367623366694115e-06
126,126,4.141041257602403e-06
127,127,4.143817438054374e-06
128,128,4.148392552293523e-06
129,129,4.151206201770304e-06
130,130,4.154004569579189e-06
131,131,4.155487277810305e-06
132,132,4.15739422218171e-06
133,133,4.159561828453611e-06
134,134,4.162855671361303e-06
135,135,4.165842867166028e-06
136,136,4.166359796274243e-06
137,137,4.1718810114782006e-06
138,138,4.174072589945433e-06
139,139,4.173877145645251e-06
140,140,4.176672296071694e-06
141,141,4.181041790814008e-06
142,142,4.1827139201896815e-06
143,143,4.186024644469388e-06
144,144,4.1877696915941955e-06
145,145,4.189532155722284e-06
146,146,4.192870788547908e-06
147,147,4.194418047536385e-06
148,148,4.198424887557338e-06
149,149,4.202095505720734e-06
150,150,4.200522779083186e-06
151,151,4.202442041176313e-06
152,152,4.2061923066306655e-06
153,153,4.208560287526794e-06
154,154,4.211451792266434e-06
155,155,4.212338080473949e-06
156,156,4.215043451550868e-06
157,157,4.215668937659099e-06
158,158,4.218823108422936e-06
159,159,4.223189484640926e-06
160,160,4.225340001040052e-06
161,161,4.22459677670861e-06
162,162,4.225736501186777e-06
163,163,4.231999819131873e-06
164,164,4.233136712672974e-06
165,165,4.234144082305568e-06
166,166,4.234570984020249e-06
167,167,4.236410417282961e-06
168,168,4.240245898436546e-06
169,169,4.242356042976983e-06
170,170,4.246251149956144e-06
171,171,4.245378762997688e-06
172,172,4.245866471443122e-06
173,173,4.246146020636753e-06
174,174,4.25258746833171e-06
175,175,4.251863330807063e-06
176,176,4.255160312010703e-06
177,177,4.253818652747436e-06
178,178,4.257941009380037e-06
179,179,4.258459671201477e-06
180,180,4.260823264594508e-06
181,181,4.261263787160671e-06
182,182,4.259310501697565e-06
183,183,4.2631902227584515e-06
184,184,4.262245615449961e-06
185,185,4.262037058968259e-06
186,186,4.2682766024342635e-06
187,187,4.27000918804372e-06
188,188,4.2673344414148815e-06
189,189,4.2712272135449965e-06
190,190,4.273111630847039e-06
191,191,4.274114327186699e-06
192,192,4.275574080562408e-06
193,193,4.274650441959828e-06
194,194,4.277963923482365e-06
195,195,4.2795856981266755e-06
196,196,4.277715760843047e-06
197,197,4.28175037100855e-06
198,198,4.279599540060862e-06
199,199,4.282283085062359e-06
200,200,4.286658811461058e-06
201,201,4.284760661867471e-06
202,202,4.28569845515538e-06
203,203,4.286124220900394e-06
204,204,4.295190155756105e-06
205,205,4.291152840472961e-06
206,206,4.2927990384651125e-06
207,207,4.29420870133025e-06
208,208,4.293965176035458e-06
209,209,4.29530471254528e-06
210,210,4.295024478534493e-06
211,211,4.297175837923766e-06
212,212,4.300237455918466e-06
213,213,4.298314676273696e-06
214,214,4.3014833090817435e-06
215,215,4.301864297490768e-06
216,216,4.297863899424383e-06
217,217,4.302580014101033e-06
218,218,4.304253045781727e-06
219,219,4.309135021016866e-06
220,220,4.303632633791171e-06
221,221,4.305794743551613e-06
222,222,4.30499912261928e-06
223,223,4.306809818725288e-06
224,224,4.307710107039981e-06
225,225,4.30794246496208e-06
226,226,4.306882493822672e-06
227,227,4.313118649151299e-06
228,228,4.309556803678364e-06
229,229,4.310759797353176e-06
230,230,4.315550080783529e-06
231,231,4.314206381448155e-06
232,232,4.315414566072965e-06
233,233,4.3157622141317464e-06
234,234,4.315186674740458e-06
235,235,4.318456412443712e-06
236,236,4.316056468021336e-06
237,237,4.31800108272863e-06
238,238,4.3167836090354035e-06
239,239,4.318240515297263e-06
240,240,4.32008327738248e-06
241,241,4.321634213893013e-06
242,242,4.32300039895708e-06
243,243,4.323509730369436e-06
244,244,4.326630487088795e-06
245,245,4.325893879061695e-06
246,246,4.3252839676008774e-06
247,247,4.325007375163738e-06
248,248,4.325017828960547e-06
249,249,4.329131122999696e-06
250,250,4.327087218791758e-06
251,251,4.3279353980928166e-06
252,252,4.326723100970225e-06
253,253,4.329315617415049e-06
254,254,4.330705745915722e-06
255,255,4.3304561507323776e-06
256,256,4.33093964602449e-06
257,257,4.330867727641076e-06
258,258,4.332211008177506e-06
259,259,4.332397051969209e-06
260,260,4.332236420106545e-06
261,261,4.3335502966433186e-06
262,262,4.3326377822753415e-06
263,263,4.332523306370082e-06
264,264,4.331590862205163e-06
265,265,4.3328643237451585e-06
266,266,4.332966972624455e-06
267,267,4.331753221388792e-06
268,268,4.335341943688359e-06
269,269,4.33699539067682e-06
270,270,4.337899261250288e-06
271,271,4.335758751090303e-06
272,272,4.337092884554525e-06
273,273,4.339155451378052e-06
274,274,4.3393308778076936e-06
275,275,4.333311665724165e-06
276,276,4.338879768435614e-06
277,277,4.337526700945328e-06
278,278,4.339182745206208e-06
279,279,4.337535109277769e-06
280,280,4.33757074133897e-06
281,281,4.339385021501175e-06
282,282,4.339378847362241e-06
283,283,4.343486197332262e-06
284,284,4.343350849781791e-06
285,285,4.3412803940803064e-06
286,286,4.343750730876212e-06
287,287,4.342736852784497e-06
288,288,4.343175047691295e-06
289,289,4.342759013180106e-06
290,290,4.345421350418784e-06
291,291,4.340516689941292e-06
292,292,4.340679626096856e-06
293,293,4.342679583377011e-06
294,294,4.343951655511069e-06
295,295,4.344878060343581e-06
296,296,4.3446553761378555e-06
297,297,4.344627241116973e-06
298,298,4.346599491162289e-06
299,299,4.3490939601239376e-06
300,300,4.345882591849429e-06
301,301,4.348748546258663e-06
302,302,4.3455775660196254e-06
303,303,4.3472872183427196e-06
304,304,4.349300420813501e-06
305,305,4.345846294742694e-06
306,306,4.34798025150805e-06
307,307,4.349177457489305e-06
308,308,4.346605613176033e-06
309,309,4.349841769674716e-06
310,310,4.348074064268859e-06
311,311,4.3496643642852595e-06
312,312,4.346485035028654e-06
313,313,4.349087050840076e-06
314,314,4.34561566414156e-06
315,315,4.34898444869371e-06
316,316,4.348461541365381e-06
317,317,4.345892871296463e-06
318,318,4.351151418678804e-06
319,319,4.348114250993251e-06
320,320,4.3487821939677875e-06
321,321,4.352994240078893e-06
322,322,4.350784282988488e-06
323,323,4.350093455257938e-06
324,324,4.350166257972169e-06
325,325,4.351892304566358e-06
326,326,4.3488979011059925e-06
327,327,4.350224963518521e-06
328,328,4.353106927550895e-06
329,329,4.351310150668148e-06
330,330,4.3495983773890306e-06
331,331,4.351760550059185e-06
332,332,4.351376259788961e-06
333,333,4.354140029053352e-06
334,334,4.352772930899742e-06
335,335,4.350557417983006e-06
336,336,4.353256237462716e-06
337,337,4.3524959843707905e-06
338,338,4.353212948390785e-06
339,339,4.354137577371982e-06
340,340,4.351904814612059e-06
341,341,4.350429792150399e-06
342,342,4.35283841451827e-06
343,343,4.349924273066625e-06
344,344,4.352660426764617e-06
345,345,4.35437137862263e-06
346,346,4.353632899480936e-06
347,347,4.35271938574724e-06
348,348,4.353139473441339e-06
349,349,4.35199518531288e-06
350,350,4.350993765141675e-06
351,351,4.350367488168486e-06
352,352,4.3524324725223975e-06
353,353,4.35558927291222e-06
354,354,4.353455573177976e-06
355,355,4.353036261969471e-06
356,356,4.353594156085093e-06
357,357,4.356010304252008e-06
358,358,4.354210159003508e-06
359,359,4.352508808965054e-06
360,360,4.355556595810089e-06
361,361,4.352126851746456e-06
362,362,4.354683831393357e-06
363,363,4.353452736848649e-06
364,364,4.357188259861216e-06
365,365,4.35565832081532e-06
366,366,4.35326696446742e-06
367,367,4.354868559473357e-06
368,368,4.355782114547721e-06
369,369,4.3521809594915295e-06
370,370,4.356978716595736e-06
371,371,4.354049270109733e-06
372,372,4.355880253699336e-06
373,373,4.355020786598422e-06
374,374,4.353835702420069e-06
375,375,4.353273023571451e-06
376,376,4.356170540682193e-06
377,377,4.354325851762351e-06
378,378,4.356858729799655e-06
379,379,4.3566347011235e-06
380,380,4.355467713373325e-06
381,381,4.3559275114754206e-06
382,382,4.354414081735524e-06
383,383,4.359063959674516e-06
384,384,4.356230729100342e-06
385,385,4.355749982063959e-06
386,386,4.355859826016953e-06
387,387,4.355074682247893e-06
388,388,4.357960726424482e-06
