,epoch,hit@10,precision@10,recall@10,ndcg@10,hit@20,precision@20,recall@20,ndcg@20
0,0,0.10332,0.10329,0.12445,0.15356,0.16299,0.08147,0.19332,0.16957
1,1,0.10898,0.10895,0.13582,0.16135,0.17247,0.08621,0.2109,0.17941
2,2,0.1098,0.10977,0.13772,0.16417,0.17548,0.08771,0.21109,0.18163
3,3,0.10724,0.1072,0.13409,0.15619,0.17371,0.08683,0.2116,0.17628
4,4,0.10691,0.10687,0.13421,0.15945,0.17439,0.08717,0.21204,0.17978
5,5,0.10583,0.1058,0.13256,0.15774,0.1734,0.08668,0.21009,0.1777
6,6,0.10957,0.10954,0.13893,0.16206,0.17796,0.08895,0.21774,0.18267
7,7,0.11034,0.1103,0.13871,0.16329,0.17868,0.08932,0.21557,0.18289
8,8,0.10803,0.108,0.13839,0.16194,0.17735,0.08865,0.21764,0.18318
9,9,0.11314,0.11311,0.14086,0.16848,0.18338,0.09166,0.22001,0.18848
10,10,0.11399,0.11396,0.14296,0.17035,0.18315,0.09155,0.2202,0.18922
11,11,0.11648,0.11645,0.14936,0.17743,0.18715,0.09355,0.22928,0.19706
12,12,0.11077,0.11074,0.14066,0.16456,0.18021,0.09008,0.22044,0.18523
13,13,0.11732,0.11728,0.14925,0.17531,0.18771,0.09383,0.22589,0.19421
14,14,0.11435,0.11432,0.14611,0.17199,0.18553,0.09274,0.22803,0.19288
15,15,0.1165,0.11647,0.14717,0.1738,0.18806,0.094,0.22747,0.19411
16,16,0.1173,0.11726,0.14985,0.17519,0.18975,0.09485,0.22868,0.19544
17,17,0.11896,0.11893,0.15059,0.17734,0.19173,0.09584,0.23317,0.19823
18,18,0.11773,0.1177,0.14626,0.1744,0.1905,0.09522,0.22941,0.19516
19,19,0.11936,0.11932,0.15012,0.178,0.19202,0.09598,0.23155,0.19825
20,20,0.11486,0.11482,0.14219,0.16747,0.1866,0.09327,0.226,0.18884
21,21,0.11662,0.11659,0.14625,0.17225,0.18788,0.09391,0.22847,0.19326
22,22,0.11816,0.11813,0.14771,0.17533,0.19135,0.09565,0.2331,0.19691
23,23,0.11927,0.11924,0.1505,0.17756,0.19233,0.09614,0.23656,0.19937
24,24,0.1179,0.11787,0.14709,0.17415,0.18972,0.09483,0.23106,0.19499
25,25,0.11773,0.1177,0.15038,0.1763,0.19124,0.09559,0.23403,0.19798
26,26,0.11971,0.11967,0.14869,0.17684,0.1922,0.09607,0.23372,0.19793
27,27,0.1223,0.12227,0.15288,0.18091,0.1949,0.09742,0.23794,0.20136
28,28,0.12243,0.12239,0.15367,0.18254,0.19452,0.09723,0.23632,0.20235
29,29,0.12185,0.12182,0.15117,0.17976,0.19644,0.09819,0.23929,0.20182
30,30,0.12211,0.12208,0.15458,0.18284,0.19608,0.09801,0.23881,0.20392
31,31,0.11882,0.11879,0.15026,0.17656,0.19379,0.09687,0.23621,0.19888
32,32,0.12165,0.12161,0.1523,0.18026,0.19538,0.09766,0.23881,0.20159
33,33,0.11711,0.11707,0.1484,0.17309,0.18968,0.09481,0.23144,0.19419
34,34,0.12213,0.1221,0.15284,0.18193,0.19633,0.09814,0.23867,0.20271
35,35,0.12121,0.12118,0.15095,0.17693,0.19417,0.09706,0.2357,0.19758
36,36,0.12475,0.12471,0.15596,0.18428,0.19992,0.09993,0.24241,0.20525
37,37,0.12476,0.12473,0.15727,0.18638,0.20009,0.10002,0.24413,0.20744
38,38,0.12274,0.1227,0.15236,0.18166,0.19725,0.0986,0.23868,0.20273
39,39,0.12049,0.12045,0.15076,0.17782,0.19498,0.09746,0.23689,0.19951
40,40,0.119,0.11896,0.14816,0.17436,0.19323,0.09659,0.23442,0.19652
41,41,0.12386,0.12383,0.15468,0.18289,0.19763,0.09879,0.23945,0.20352
42,42,0.12371,0.12367,0.15338,0.18212,0.19864,0.09929,0.23988,0.20335
43,43,0.12232,0.12229,0.15436,0.18395,0.19679,0.09836,0.24011,0.20478
44,44,0.12049,0.12045,0.15004,0.17683,0.19465,0.0973,0.2363,0.19835
45,45,0.12177,0.12173,0.15157,0.17931,0.19644,0.09819,0.23779,0.20063
46,46,0.12362,0.12358,0.15421,0.1825,0.19866,0.0993,0.24187,0.20421
47,47,0.12303,0.123,0.15155,0.18118,0.19859,0.09926,0.24089,0.20354
48,48,0.12057,0.12054,0.14998,0.17863,0.19583,0.09789,0.23828,0.20096
49,49,0.12371,0.12367,0.15214,0.18471,0.19919,0.09957,0.24032,0.20618
50,50,0.12224,0.1222,0.15242,0.18102,0.19822,0.09908,0.23887,0.20281
51,51,0.12265,0.12261,0.15253,0.18052,0.1967,0.09832,0.24019,0.20206
52,52,0.1223,0.12227,0.14931,0.18034,0.1989,0.09942,0.24073,0.20325
53,53,0.12073,0.12069,0.15058,0.17702,0.1942,0.09707,0.2327,0.19725
54,54,0.12518,0.12514,0.154,0.184,0.20001,0.09997,0.24192,0.20515
55,55,0.1235,0.12346,0.15263,0.18291,0.19933,0.09964,0.24172,0.2051
56,56,0.12262,0.12258,0.15214,0.18023,0.19694,0.09844,0.23998,0.20198
