,epoch,hit@10,hit@20,ndcg@10,ndcg@20,precision@10,precision@20,recall@10,recall@20
0,0,0.06431,0.10162,0.10542,0.11577,0.08003,0.06323,0.06465,0.10164
1,1,0.07398,0.11499,0.12388,0.1329,0.09208,0.07155,0.07424,0.11398
2,2,0.09028,0.13027,0.14499,0.14975,0.11236,0.08106,0.09029,0.12871
3,3,0.09232,0.13256,0.14748,0.15232,0.1149,0.08249,0.09262,0.13154
4,4,0.09372,0.13422,0.15135,0.15587,0.11664,0.08352,0.09418,0.13563
5,5,0.09894,0.14198,0.1596,0.16378,0.12314,0.08835,0.09936,0.14313
6,6,0.10009,0.14453,0.16246,0.16671,0.12456,0.08994,0.10056,0.14576
7,7,0.10174,0.14911,0.16427,0.16977,0.12662,0.09279,0.102,0.14897
8,8,0.10582,0.15268,0.17065,0.17545,0.1317,0.09501,0.10631,0.15401
9,9,0.10773,0.15421,0.1718,0.17641,0.13407,0.09596,0.10798,0.15558
10,10,0.10735,0.15421,0.17163,0.17601,0.1336,0.09596,0.10737,0.15356
11,11,0.11244,0.16007,0.17997,0.18339,0.13994,0.0996,0.11298,0.15984
12,12,0.11524,0.16414,0.18486,0.18864,0.14342,0.10214,0.11586,0.16401
13,13,0.11282,0.15917,0.18346,0.18636,0.14041,0.09905,0.11361,0.15912
14,14,0.11944,0.17178,0.19222,0.19728,0.14865,0.10689,0.12081,0.17208
15,15,0.11346,0.16503,0.1878,0.19294,0.1412,0.10269,0.1149,0.16559
16,16,0.12046,0.17318,0.19435,0.19957,0.14992,0.10777,0.12295,0.17532
17,17,0.12097,0.17178,0.19491,0.19867,0.15055,0.10689,0.12236,0.17376
18,18,0.12301,0.17738,0.20019,0.20561,0.15309,0.11038,0.12477,0.18012
19,19,0.1281,0.18019,0.20444,0.20772,0.15943,0.11212,0.12951,0.18236
20,20,0.12607,0.17777,0.20556,0.20775,0.15689,0.11062,0.12779,0.17839
21,21,0.12658,0.18324,0.20341,0.20905,0.15753,0.11403,0.12814,0.18495
22,22,0.12161,0.17547,0.19962,0.20465,0.15135,0.10919,0.12379,0.17779
23,23,0.12696,0.17815,0.19978,0.20415,0.158,0.11086,0.12829,0.18088
24,24,0.12938,0.18553,0.20589,0.21162,0.16101,0.11545,0.13053,0.18754
25,25,0.1281,0.18197,0.20708,0.21142,0.15943,0.11323,0.13007,0.18467
26,26,0.12237,0.17496,0.19713,0.20163,0.1523,0.10887,0.12402,0.17535
27,27,0.12683,0.18019,0.2013,0.20651,0.15784,0.11212,0.12876,0.18253
28,28,0.12976,0.18413,0.21236,0.21613,0.16149,0.11458,0.13102,0.18675
29,29,0.13294,0.18846,0.21314,0.217,0.16545,0.11727,0.13391,0.18881
30,30,0.13078,0.18681,0.21111,0.21623,0.16276,0.11624,0.13329,0.18923
31,31,0.13052,0.18541,0.20908,0.2136,0.16244,0.11537,0.13216,0.18787
32,32,0.12594,0.17942,0.20417,0.20834,0.15674,0.11165,0.12732,0.18178
33,33,0.12428,0.17828,0.2014,0.20647,0.15468,0.11094,0.12581,0.18033
34,34,0.1281,0.18133,0.20615,0.21035,0.15943,0.11284,0.12977,0.18401
35,35,0.12887,0.18286,0.20793,0.21219,0.16038,0.11379,0.13002,0.18518
36,36,0.1304,0.18846,0.20632,0.21301,0.16228,0.11727,0.13206,0.18997
37,37,0.1318,0.18553,0.21253,0.21577,0.16403,0.11545,0.1331,0.18798
38,38,0.13141,0.18502,0.21088,0.21453,0.16355,0.11513,0.13271,0.18701
39,39,0.12874,0.18566,0.20861,0.21386,0.16022,0.11553,0.1293,0.18609
40,40,0.13192,0.18732,0.21541,0.21905,0.16418,0.11656,0.13328,0.18956
41,41,0.13129,0.18668,0.21227,0.21648,0.16339,0.11616,0.13266,0.18792
42,42,0.13562,0.19165,0.21749,0.22086,0.16878,0.11926,0.13694,0.1932
43,43,0.13269,0.18744,0.21224,0.21548,0.16513,0.11664,0.13347,0.18888
44,44,0.13282,0.18502,0.21441,0.21694,0.16529,0.11513,0.1337,0.18742
45,45,0.13269,0.18986,0.21088,0.21627,0.16513,0.11815,0.13356,0.19126
46,46,0.13358,0.18948,0.21015,0.21448,0.16624,0.11791,0.134,0.18909
47,47,0.13332,0.18961,0.21407,0.2182,0.16593,0.11799,0.13374,0.18914
48,48,0.13358,0.19394,0.21178,0.21888,0.16624,0.12068,0.134,0.19351
49,49,0.13613,0.19279,0.21644,0.22033,0.16941,0.11997,0.13715,0.19269
50,50,0.13396,0.19063,0.21406,0.2183,0.16672,0.11862,0.13423,0.19069
51,51,0.13269,0.19088,0.21245,0.21843,0.16513,0.11878,0.13333,0.19259
52,52,0.1332,0.18986,0.21343,0.21816,0.16577,0.11815,0.13352,0.18953
53,53,0.13396,0.19305,0.21495,0.22082,0.16672,0.12013,0.13397,0.19278
54,54,0.13345,0.19063,0.21093,0.21619,0.16609,0.11862,0.13385,0.19113
55,55,0.13358,0.19177,0.21314,0.21893,0.16624,0.11933,0.13381,0.19321
56,56,0.13523,0.19368,0.21681,0.22183,0.1683,0.12052,0.13557,0.19485
57,57,0.13855,0.19865,0.21896,0.22462,0.17242,0.12361,0.13905,0.19838
58,58,0.13982,0.19598,0.22293,0.22564,0.17401,0.12195,0.14,0.19523
59,59,0.13982,0.19687,0.22312,0.22584,0.17401,0.1225,0.14019,0.19743
60,60,0.13893,0.19699,0.22168,0.2255,0.1729,0.12258,0.13868,0.19635
61,61,0.13613,0.19317,0.2172,0.22096,0.16941,0.12021,0.13589,0.19256
62,62,0.13791,0.19572,0.21784,0.22273,0.17163,0.12179,0.13814,0.19664
63,63,0.14046,0.20005,0.22477,0.2292,0.1748,0.12448,0.14073,0.1999
64,64,0.14568,0.2054,0.23021,0.23405,0.1813,0.12781,0.1454,0.20492
65,65,0.13231,0.18935,0.21352,0.21813,0.16466,0.11783,0.13275,0.18992
66,66,0.13587,0.19712,0.21883,0.22511,0.1691,0.12266,0.13611,0.1963
67,67,0.13638,0.19559,0.21956,0.22447,0.16973,0.12171,0.13626,0.19529
68,68,0.14224,0.19789,0.22725,0.22903,0.17702,0.12314,0.14221,0.19715
69,69,0.13956,0.20158,0.22372,0.22961,0.17369,0.12544,0.13997,0.20091
70,70,0.14249,0.20234,0.22583,0.2299,0.17734,0.12591,0.14308,0.20248
71,71,0.1388,0.19661,0.22447,0.2279,0.17274,0.12235,0.1393,0.19691
72,72,0.1416,0.20158,0.22534,0.22978,0.17623,0.12544,0.14132,0.20199
73,73,0.14262,0.20731,0.22762,0.23484,0.1775,0.129,0.14242,0.20848
74,74,0.13485,0.19458,0.21752,0.22302,0.16783,0.12108,0.13452,0.19569
75,75,0.13498,0.19712,0.21805,0.22484,0.16799,0.12266,0.1353,0.19675
76,76,0.13715,0.19712,0.22001,0.22538,0.17068,0.12266,0.13774,0.19859
77,77,0.13956,0.20196,0.22161,0.22829,0.17369,0.12567,0.13973,0.20209
78,78,0.14097,0.20731,0.22579,0.23458,0.17544,0.129,0.1408,0.20902
79,79,0.14084,0.20642,0.22493,0.23385,0.17528,0.12845,0.14107,0.20881
80,80,0.13702,0.20043,0.22189,0.22951,0.17052,0.12472,0.13686,0.20194
81,81,0.13804,0.20145,0.22316,0.22999,0.17179,0.12536,0.13816,0.20155
82,82,0.14058,0.20616,0.22727,0.23482,0.17496,0.12829,0.1401,0.20713
83,83,0.13625,0.19992,0.22109,0.22843,0.16957,0.12441,0.13688,0.19944
84,84,0.13753,0.19916,0.22188,0.22765,0.17116,0.12393,0.13819,0.19861
85,85,0.13715,0.20285,0.22377,0.23209,0.17068,0.12623,0.13717,0.20291
86,86,0.13969,0.20362,0.22356,0.2304,0.17385,0.1267,0.1399,0.20265
87,87,0.13956,0.20298,0.22469,0.23139,0.17369,0.12631,0.13955,0.20283
88,88,0.14058,0.20782,0.22536,0.23429,0.17496,0.12932,0.1405,0.20675
