,ep,loss
0,0,2.7925271444259764e-06
1,1,2.683357813700294e-06
2,2,2.6552517724934765e-06
3,3,2.6343129708466757e-06
4,4,2.581091995820958e-06
5,5,2.5363796112287673e-06
6,6,2.4583951083995464e-06
7,7,2.405940663533436e-06
8,8,2.33584977890774e-06
9,9,2.2973406965534465e-06
10,10,2.2432253471753724e-06
11,11,2.2081174205702744e-06
12,12,2.1278753646423436e-06
13,13,2.0991371945242193e-06
14,14,2.019392919758984e-06
15,15,2.0919226913332855e-06
16,16,1.9977187816146077e-06
17,17,1.995953422304892e-06
18,18,1.9316278747496923e-06
19,19,1.8984031806426441e-06
20,20,1.809525372209464e-06
21,21,1.763940350857036e-06
22,22,1.7402682701953489e-06
23,23,1.7179147696023232e-06
24,24,1.6320095309150502e-06
25,25,1.6578157576131001e-06
26,26,1.5946318566260316e-06
27,27,1.5020354486991624e-06
28,28,1.5183821380346404e-06
29,29,1.4404536794726857e-06
30,30,1.3880985935590133e-06
31,31,1.40846404573334e-06
32,32,1.4123068246911264e-06
33,33,1.3704228114661151e-06
34,34,1.3507907831755052e-06
35,35,1.3228537675465357e-06
36,36,1.2784422217330704e-06
37,37,1.264079050061435e-06
38,38,1.3104029455783295e-06
39,39,1.3086354496248105e-06
40,40,1.2858767390485702e-06
41,41,1.2745132781834827e-06
42,42,1.2382881242742502e-06
43,43,1.2095188139937818e-06
44,44,1.1937123411050432e-06
45,45,1.234804612442317e-06
46,46,1.201237837984295e-06
47,47,1.1877530308832802e-06
48,48,1.1613872442574255e-06
49,49,1.1634706190895538e-06
50,50,1.1849102380063629e-06
51,51,1.1469417800339323e-06
52,52,1.1397801111289642e-06
53,53,1.1184781034417563e-06
54,54,1.1258801096653984e-06
55,55,1.1148575621893327e-06
56,56,1.1396085443159201e-06
57,57,1.1043748834120326e-06
58,58,1.0981161554970158e-06
59,59,1.097772553748655e-06
60,60,1.109256014414688e-06
61,61,1.1262571687813546e-06
62,62,1.1022415933706832e-06
63,63,1.070305328914187e-06
64,64,1.097748535732321e-06
65,65,1.04562693750535e-06
66,66,1.0647591800668177e-06
67,67,1.0578525809572004e-06
68,68,1.0897627743468227e-06
69,69,1.059541572805542e-06
70,70,1.0658906382880507e-06
71,71,1.0471750512993714e-06
72,72,1.0676609998186263e-06
73,73,1.0586088124268024e-06
74,74,1.0614052745736177e-06
75,75,1.0342444040013696e-06
76,76,1.0426728602610905e-06
77,77,1.0413617567738744e-06
78,78,1.0442047837119282e-06
79,79,1.0437451511707502e-06
80,80,1.0374164256010023e-06
81,81,1.0421311625417302e-06
82,82,1.0322577081216663e-06
83,83,1.0358702394676264e-06
84,84,1.0484089396895262e-06
85,85,1.020165999467709e-06
86,86,1.0262104042875068e-06
87,87,1.0193413686465647e-06
88,88,1.0363710567376342e-06
89,89,1.0081665326357752e-06
90,90,1.0204147328937217e-06
91,91,1.0293797308403395e-06
92,92,1.0168428964200704e-06
93,93,1.0288970014805862e-06
94,94,1.0307461948019301e-06
95,95,1.0254930871537106e-06
96,96,1.0302774873761176e-06
97,97,1.028725088591433e-06
98,98,1.0254281167978179e-06
99,99,1.031247665771255e-06
100,100,1.0144232994528413e-06
101,101,1.0244882376167987e-06
102,102,9.990251428729715e-07
103,103,1.0206908949412002e-06
104,104,1.0093829383308997e-06
105,105,1.0166392883093067e-06
106,106,1.0077170098638282e-06
107,107,1.0111411587759529e-06
108,108,1.0204895906607657e-06
109,109,1.0008119421827894e-06
110,110,1.008689308184116e-06
111,111,1.0069772027985464e-06
112,112,1.0056909131355282e-06
113,113,9.963829019371213e-07
114,114,1.0009279980535854e-06
115,115,9.97599103664684e-07
116,116,9.981194550083968e-07
117,117,1.0049501765131616e-06
118,118,1.0037822298326159e-06
119,119,1.0128732529825784e-06
120,120,1.0169018647796775e-06
121,121,1.0240015659987608e-06
122,122,1.0082554023055684e-06
123,123,1.0098986051081523e-06
124,124,1.0117333401387226e-06
125,125,1.016566175969595e-06
126,126,1.0064807474250034e-06
127,127,1.0062256793015182e-06
128,128,1.004407233254182e-06
129,129,1.0364791913108253e-06
130,130,1.0237039422169319e-06
131,131,1.0233317766505934e-06
132,132,1.010773116029347e-06
133,133,1.0000235824784742e-06
134,134,1.012947062490104e-06
135,135,1.0159722057109962e-06
136,136,1.00707781564993e-06
137,137,1.0152461497374828e-06
138,138,1.0188488956560724e-06
139,139,1.0240228053750316e-06
140,140,1.003956036945109e-06
141,141,1.0021972163004273e-06
142,142,9.997560689899888e-07
143,143,1.0005421599731455e-06
144,144,1.0070403825867448e-06
145,145,1.0066899763467733e-06
