userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,65.89234924316406)* (1001,65.65420532226562) (187,64.37413024902344) (1073,64.36953735351562) (59,64.2488784790039)* (1824,64.08040618896484) (1014,64.03302764892578) (627,63.97802734375) (1836,63.826751708984375) (157,63.7722053527832) (3768,63.72329330444336) (4308,63.64678955078125) (1394,63.629295349121094) (1892,63.520938873291016) (3992,63.51335525512695) (70,63.407649993896484)* (175,63.354522705078125) (601,63.354087829589844) (193,63.33505630493164) (511,63.30375671386719)
3: (7963,64.55482482910156) (762,63.53310012817383) (11878,62.49491882324219) (16256,62.375335693359375) (16259,62.29866027832031) (16244,62.283016204833984) (16258,62.27299118041992) (16229,62.258052825927734) (15845,62.2376823425293) (16231,62.22615432739258) (16251,62.19654083251953) (16241,62.18202590942383) (3541,62.173160552978516) (16230,62.151302337646484) (16249,62.121307373046875) (16237,62.114410400390625) (16234,62.113468170166016) (16254,62.0802001953125) (16247,62.07671356201172) (16246,62.070125579833984)
4: (190,56.84855270385742)* (518,56.70421600341797) (67,56.63290023803711) (67,56.63290023803711) (172,56.59849548339844)* (1001,56.59626388549805) (511,56.550106048583984) (930,56.537960052490234) (1098,56.481407165527344) (961,56.41959762573242) (89,56.353614807128906) (955,56.05430603027344) (1109,56.02235794067383) (2014,56.02042007446289) (7,56.010257720947266) (1104,55.92829513549805) (378,55.8016471862793) (289,55.706809997558594) (159,55.65851593017578)* (166,55.627315521240234)*
5: (441,60.70459747314453) (859,60.57697296142578) (436,59.79596710205078) (418,59.78120040893555) (429,59.734920501708984) (1504,59.634742736816406) (615,59.290687561035156) (163,59.242923736572266) (2542,59.04130554199219) (159,59.00773239135742) (233,58.98707580566406)* (1957,58.93592071533203) (1090,58.784820556640625) (173,58.72364044189453)* (851,58.72027587890625) (1510,58.69462585449219) (1958,58.63188171386719) (868,58.62834167480469) (858,58.566864013671875) (533,58.55717086791992)
6: (5789,70.26477813720703) (2220,69.02685546875) (251,68.9498062133789)* (575,68.87030792236328) (3313,68.85440063476562) (1825,68.80577850341797) (266,68.67733764648438)* (310,68.41836547851562) (301,68.34506225585938) (67,68.30815124511719) (67,68.30815124511719) (6385,68.12176513671875) (9907,68.07921600341797) (1834,68.0791244506836) (1772,68.05026245117188) (6376,68.03311920166016) (4710,67.91130065917969) (1641,67.90205383300781) (569,67.89761352539062) (8173,67.8621597290039)
7: (292,65.23518371582031)* (701,64.75562286376953) (349,64.57427978515625) (333,64.43659973144531)* (466,64.4275894165039) (461,64.3921890258789) (523,64.15703582763672) (302,64.06024932861328)* (344,64.02613830566406) (55,64.0196533203125)* (318,63.816314697265625)* (525,63.55451965332031) (465,63.54997634887695) (290,63.365074157714844)* (1580,63.32213592529297) (352,63.26739501953125) (679,63.12385559082031) (913,63.121307373046875) (686,63.026920318603516) (908,62.867713928222656)
8: (7846,67.94438171386719) (291,67.45319366455078)* (1432,67.32805633544922) (4817,67.31419372558594) (641,67.17757415771484) (333,67.1176986694336) (787,66.79293060302734) (786,66.6812515258789) (461,66.65934753417969) (294,66.65914916992188) (701,66.65770721435547) (465,66.53113555908203) (378,66.51828002929688) (792,66.3485107421875) (466,66.3105239868164) (2067,66.30146026611328) (8002,66.20801544189453) (795,66.20280456542969) (2396,66.19493865966797) (302,66.1740493774414)*
9: (390,67.39823913574219)* (2104,67.14494323730469) (1859,66.8466796875) (5575,66.53457641601562) (9013,66.2695541381836) (2060,66.25738525390625) (5089,66.23072052001953) (396,66.18363952636719)* (2428,66.10820007324219) (4686,65.90433502197266) (1797,65.76544189453125) (2944,65.6142349243164) (9747,65.59649658203125) (2062,65.39608764648438) (5605,65.31946563720703) (11806,65.31817626953125) (3324,65.30455017089844) (2086,65.25285339355469) (2440,65.14846801757812) (3758,65.11744689941406)
10: (1090,57.104652404785156) (618,57.04533767700195) (225,57.00395965576172)* (207,56.949485778808594) (1390,56.429508209228516) (1400,56.27364730834961) (227,56.26079177856445) (615,55.905982971191406) (203,55.86756896972656) (604,55.85301208496094) (1424,55.84592819213867) (441,55.724361419677734)* (1106,55.723636627197266) (1512,55.70827102661133) (443,55.603050231933594)* (3030,55.59014129638672) (217,55.53798294067383)* (709,55.53737258911133) (4384,55.46707534790039) (1633,55.42329406738281)
11: (257,68.17781066894531) (295,67.6812515258789)* (333,67.2748794555664) (701,67.2402114868164) (299,67.22154998779297) (475,67.20578002929688)* (161,67.15319061279297) (913,67.02923583984375) (329,66.99934387207031)* (300,66.96636199951172)* (907,66.95768737792969) (306,66.92401885986328)* (1444,66.79320526123047) (310,66.79251861572266) (89,66.76126098632812)* (302,66.6554183959961) (360,66.5968017578125) (327,66.44074249267578)* (545,66.43573760986328) (326,66.38422393798828)
12: (7,62.585018157958984) (930,62.412803649902344) (1104,62.306663513183594) (1854,62.2218017578125) (1044,61.7977409362793) (2014,61.6773567199707) (1179,61.64418029785156) (173,61.545936584472656) (190,61.5145149230957) (198,61.258522033691406) (209,61.165592193603516) (726,61.13058090209961) (1714,61.12451171875) (405,61.08323287963867)* (955,61.0674934387207) (1874,61.05738067626953) (978,60.977577209472656) (498,60.949432373046875)* (1672,60.89476776123047) (490,60.81714630126953)*
