,ep,loss
0,0,8.889604968691642e-06
1,1,1.1225260015421286e-05
2,2,1.2329713386219845e-05
3,3,1.2766487704057535e-05
4,4,1.3373172377588858e-05
5,5,1.4044196659062222e-05
6,6,1.4662218879547094e-05
7,7,1.5081859360447305e-05
8,8,1.5572547186713884e-05
9,9,1.587832481591784e-05
10,10,1.6276931359350463e-05
11,11,1.6490360929524552e-05
12,12,1.7063925952243153e-05
13,13,1.722544343732914e-05
14,14,1.7498337536594856e-05
15,15,1.7802178156082792e-05
16,16,1.8036088423447355e-05
17,17,1.8107090213829104e-05
18,18,1.8382710871211364e-05
19,19,1.860015174101778e-05
20,20,1.8822954777587094e-05
21,21,1.8977301378446794e-05
22,22,1.9085971924890627e-05
23,23,1.9151451102944146e-05
24,24,1.946556360909359e-05
25,25,1.9630334517226883e-05
26,26,1.9799503634738573e-05
27,27,1.9965342610649875e-05
28,28,2.013672725725508e-05
29,29,2.0189764868786477e-05
30,30,2.0364014423702267e-05
31,31,2.0507116032069246e-05
32,32,2.0669787505432716e-05
33,33,2.0778786753961706e-05
34,34,2.091468602028566e-05
35,35,2.1043968552155147e-05
36,36,2.119024691851604e-05
37,37,2.126058472426581e-05
38,38,2.1448392972695944e-05
39,39,2.1593342299799106e-05
40,40,2.170646246882183e-05
41,41,2.1758733269320254e-05
42,42,2.1930089507590953e-05
43,43,2.2113386929798735e-05
44,44,2.211353688942515e-05
45,45,2.227701128611122e-05
46,46,2.2284956257328088e-05
47,47,2.2517395818260195e-05
48,48,2.260703326208065e-05
49,49,2.2761039658422198e-05
50,50,2.291803861333071e-05
51,51,2.2959779658669824e-05
52,52,2.3100201521147564e-05
53,53,2.3188096212620355e-05
54,54,2.3255642244133496e-05
55,55,2.3269560402053793e-05
56,56,2.3370304648671983e-05
57,57,2.3629377317453927e-05
58,58,2.3717959854419698e-05
59,59,2.37275022728307e-05
60,60,2.3907297444940707e-05
61,61,2.3997747174529222e-05
62,62,2.412201940708602e-05
63,63,2.4271910607400487e-05
64,64,2.4229480593074934e-05
65,65,2.4345102621523172e-05
66,66,2.445435668906772e-05
67,67,2.4622946672453135e-05
68,68,2.4644127787563347e-05
69,69,2.463509425818783e-05
70,70,2.4851206249235582e-05
71,71,2.4947485037367133e-05
72,72,2.4996469298511167e-05
73,73,2.495374947637388e-05
74,74,2.50166712088257e-05
75,75,2.502052778735935e-05
76,76,2.5042476408998482e-05
77,77,2.5076551323496352e-05
78,78,2.521542148101349e-05
79,79,2.5364204274784936e-05
80,80,2.5440987080989598e-05
81,81,2.540741656155339e-05
82,82,2.545156434387215e-05
83,83,2.5500971734051264e-05
84,84,2.5519350321487498e-05
85,85,2.563264061951914e-05
86,86,2.5675063357887076e-05
87,87,2.578654804143726e-05
88,88,2.5851128745724802e-05
89,89,2.59197201611481e-05
90,90,2.5909908371806307e-05
91,91,2.6076224778936355e-05
92,92,2.606053053836256e-05
93,93,2.6074262784865877e-05
94,94,2.607971092562794e-05
95,95,2.6247242257180487e-05
96,96,2.6482203739921233e-05
97,97,2.6522068069693085e-05
98,98,2.6509100654734273e-05
99,99,2.6635201399639138e-05
100,100,2.6706132409933215e-05
101,101,2.671448713526308e-05
102,102,2.6738949118760717e-05
103,103,2.697124251854428e-05
104,104,2.6919344289875453e-05
105,105,2.699185824894812e-05
106,106,2.7044105670082738e-05
107,107,2.7040617276404245e-05
108,108,2.7190175494658487e-05
109,109,2.7284526047022902e-05
110,110,2.7313333970703432e-05
111,111,2.7399690064639263e-05
112,112,2.7446546215180526e-05
113,113,2.7495914657586528e-05
114,114,2.7451111664584675e-05
115,115,2.7542707250498043e-05
116,116,2.7604475101671758e-05
117,117,2.7623321971880025e-05
118,118,2.7670950550921535e-05
119,119,2.7667916583595797e-05
120,120,2.787024448694223e-05
121,121,2.7994692840473043e-05
122,122,2.797523323833422e-05
123,123,2.7969662155288353e-05
124,124,2.8027505536823918e-05
125,125,2.810313446175047e-05
126,126,2.808715774282224e-05
127,127,2.8143843979598707e-05
128,128,2.8115356198053205e-05
129,129,2.832363519273178e-05
130,130,2.8279205199557028e-05
131,131,2.8234145943048026e-05
132,132,2.8194851545456058e-05
133,133,2.8333375292491194e-05
134,134,2.8451620410658722e-05
135,135,2.8346864436410696e-05
136,136,2.8398440971453537e-05
137,137,2.838921607369283e-05
138,138,2.851939975431271e-05
139,139,2.8635196459243377e-05
140,140,2.8576262219062567e-05
