,epoch,hit@10,precision@10,recall@10,ndcg@10,hit@20,precision@20,recall@20,ndcg@20
0,0,0.02903,0.03613,0.02814,0.03911,0.06774,0.04216,0.06637,0.05723
1,1,0.06214,0.07734,0.06225,0.08712,0.10989,0.06838,0.11028,0.10423
2,2,0.07857,0.09778,0.07973,0.12061,0.12747,0.07932,0.12832,0.13344
3,3,0.08392,0.10444,0.08549,0.12315,0.13332,0.08296,0.1341,0.13552
4,4,0.0899,0.11189,0.09015,0.12834,0.13931,0.08669,0.14077,0.14066
5,5,0.08774,0.10919,0.08772,0.12827,0.13485,0.08391,0.1354,0.13903
6,6,0.08277,0.10301,0.08218,0.123,0.13549,0.08431,0.13639,0.13772
7,7,0.09691,0.1206,0.09702,0.14009,0.15472,0.09628,0.15487,0.15533
8,8,0.10595,0.13185,0.10638,0.15441,0.16873,0.10499,0.16956,0.17068
9,9,0.10888,0.1355,0.11038,0.16474,0.1742,0.1084,0.17551,0.18163
10,10,0.1169,0.14548,0.1174,0.17724,0.17064,0.10618,0.17161,0.18574
11,11,0.12428,0.15468,0.12465,0.18585,0.18044,0.11228,0.1817,0.19485
12,12,0.12352,0.15372,0.12275,0.18572,0.1812,0.11276,0.18176,0.19512
13,13,0.12314,0.15325,0.12316,0.18589,0.18222,0.11339,0.18315,0.19603
14,14,0.11995,0.14929,0.11927,0.18301,0.1728,0.10753,0.17209,0.18951
15,15,0.12377,0.15404,0.12319,0.19212,0.17891,0.11133,0.17948,0.19969
16,16,0.12543,0.1561,0.12572,0.19593,0.17802,0.11078,0.17921,0.20091
17,17,0.13103,0.16307,0.13135,0.20618,0.19126,0.11902,0.19157,0.21457
18,18,0.12543,0.1561,0.12624,0.19624,0.18388,0.11442,0.18461,0.20476
19,19,0.12097,0.15055,0.12286,0.18348,0.17853,0.11109,0.17914,0.19304
20,20,0.12772,0.15895,0.12818,0.1998,0.18834,0.11719,0.19005,0.20951
21,21,0.12568,0.15642,0.12679,0.19786,0.18604,0.11577,0.18738,0.20781
22,22,0.12861,0.16006,0.12893,0.20193,0.19139,0.1191,0.19183,0.21277
23,23,0.12505,0.15563,0.12455,0.19076,0.18362,0.11426,0.18508,0.20096
24,24,0.13307,0.16561,0.13258,0.21024,0.19063,0.11862,0.19128,0.21659
25,25,0.13091,0.16292,0.13126,0.20451,0.18643,0.11601,0.18731,0.21038
26,26,0.13091,0.16292,0.13256,0.20492,0.18948,0.11791,0.19006,0.21228
27,27,0.1253,0.15594,0.12563,0.19499,0.18732,0.11656,0.18737,0.20562
28,28,0.1332,0.16577,0.13391,0.20838,0.19216,0.11957,0.19312,0.21506
29,29,0.13256,0.16498,0.13374,0.20611,0.1919,0.11941,0.19252,0.21316
30,30,0.1281,0.15943,0.1276,0.20112,0.19025,0.11838,0.19006,0.21088
31,31,0.12823,0.15959,0.12928,0.19881,0.19496,0.12132,0.19631,0.2119
32,32,0.13243,0.16482,0.13278,0.20371,0.19317,0.12021,0.19478,0.21235
33,33,0.13001,0.16181,0.13132,0.2009,0.19801,0.12322,0.19927,0.21424
34,34,0.12874,0.16022,0.12986,0.19715,0.1947,0.12116,0.1955,0.21062
35,35,0.13205,0.16434,0.13214,0.20475,0.1975,0.1229,0.20028,0.21685
36,36,0.12658,0.15753,0.1282,0.20134,0.1905,0.11854,0.19297,0.21285
37,37,0.13103,0.16307,0.13158,0.19874,0.1933,0.12029,0.19426,0.20907
38,38,0.13409,0.16688,0.13616,0.20743,0.20094,0.12504,0.20282,0.21958
39,39,0.12428,0.15468,0.1241,0.19678,0.18693,0.11632,0.18735,0.20738
40,40,0.13396,0.16672,0.13389,0.20356,0.20196,0.12567,0.20159,0.21676
41,41,0.13078,0.16276,0.1312,0.20215,0.19699,0.12258,0.19745,0.21425
42,42,0.12887,0.16038,0.12898,0.20181,0.19763,0.12298,0.19896,0.21567
43,43,0.13167,0.16387,0.13256,0.20064,0.19801,0.12322,0.19806,0.21311
44,44,0.12861,0.16006,0.12944,0.19997,0.18961,0.11799,0.19079,0.21067
45,45,0.13422,0.16704,0.13609,0.20668,0.19992,0.12441,0.20207,0.21786
46,46,0.13231,0.16466,0.13314,0.20886,0.19827,0.12338,0.19887,0.2201
47,47,0.13727,0.17084,0.13838,0.21175,0.20043,0.12472,0.20252,0.22117
48,48,0.13422,0.16704,0.13519,0.20346,0.19827,0.12338,0.20014,0.21477
49,49,0.12938,0.16101,0.12983,0.19865,0.19305,0.12013,0.19479,0.20987
50,50,0.13116,0.16323,0.13225,0.19969,0.19368,0.12052,0.19673,0.21169
51,51,0.13778,0.17147,0.13846,0.21125,0.19789,0.12314,0.19888,0.21839
52,52,0.13574,0.16894,0.13845,0.20543,0.20374,0.12678,0.20568,0.21822
53,53,0.13001,0.16181,0.13127,0.19527,0.19827,0.12338,0.19953,0.21014
54,54,0.12836,0.15975,0.12842,0.19723,0.1975,0.1229,0.1994,0.21266
55,55,0.13931,0.17338,0.1404,0.20927,0.20909,0.13011,0.21087,0.22301
56,56,0.13141,0.16355,0.13427,0.19883,0.20209,0.12575,0.20371,0.21461
57,57,0.13294,0.16545,0.13497,0.19988,0.20196,0.12567,0.20584,0.21477
58,58,0.13422,0.16704,0.13531,0.20127,0.19878,0.12369,0.19999,0.21243
59,59,0.129,0.16054,0.13038,0.19543,0.19483,0.12124,0.19718,0.20865
60,60,0.13078,0.16276,0.13061,0.19798,0.19852,0.12353,0.1997,0.2125
61,61,0.14224,0.17702,0.14294,0.21617,0.20782,0.12932,0.20798,0.22596
62,62,0.13982,0.17401,0.14067,0.21211,0.20756,0.12916,0.2089,0.2243
63,63,0.12072,0.15024,0.12174,0.18649,0.1835,0.11418,0.18637,0.20013
64,64,0.13294,0.16545,0.13432,0.20593,0.20132,0.12528,0.20236,0.21925
65,65,0.13371,0.1664,0.13484,0.20173,0.20209,0.12575,0.20291,0.21525
66,66,0.1444,0.17971,0.14505,0.21244,0.20705,0.12884,0.20721,0.22092
67,67,0.13473,0.16767,0.13376,0.20299,0.20069,0.12488,0.20184,0.2146
68,68,0.13269,0.16513,0.13352,0.19917,0.1998,0.12433,0.20213,0.21313
69,69,0.13422,0.16704,0.13455,0.19976,0.20234,0.12591,0.20368,0.21374
70,70,0.14058,0.17496,0.14033,0.2086,0.21355,0.13288,0.21455,0.22395
71,71,0.13358,0.16624,0.13487,0.19718,0.20871,0.12987,0.21128,0.21609
72,72,0.13523,0.1683,0.13584,0.20544,0.20349,0.12662,0.20518,0.21878
73,73,0.13969,0.17385,0.13923,0.215,0.21253,0.13225,0.2128,0.22918
74,74,0.13167,0.16387,0.13258,0.1997,0.1998,0.12433,0.20093,0.21341
75,75,0.1388,0.17274,0.13867,0.21143,0.20374,0.12678,0.20508,0.22129
76,76,0.1374,0.171,0.13842,0.20691,0.20196,0.12567,0.20289,0.21692
77,77,0.13982,0.17401,0.14036,0.21323,0.20323,0.12647,0.20455,0.22234
78,78,0.14058,0.17496,0.14176,0.21544,0.20986,0.13059,0.2126,0.22862
79,79,0.13753,0.17116,0.1384,0.20895,0.2054,0.12781,0.20736,0.22256
80,80,0.13765,0.17132,0.13823,0.20672,0.20782,0.12932,0.20854,0.22051
81,81,0.14326,0.17829,0.14347,0.21543,0.21533,0.13399,0.21797,0.22959
82,82,0.13931,0.17338,0.14094,0.21547,0.2068,0.12868,0.20731,0.22655
83,83,0.14211,0.17686,0.1424,0.21511,0.20922,0.13019,0.20922,0.2256
84,84,0.13676,0.17021,0.13734,0.20483,0.20744,0.12908,0.2086,0.21946
85,85,0.14007,0.17433,0.14142,0.21211,0.20553,0.12789,0.20635,0.22261
86,86,0.13842,0.17227,0.13858,0.20899,0.20718,0.12892,0.20807,0.22181
87,87,0.143,0.17797,0.14391,0.21565,0.20871,0.12987,0.20941,0.22579
88,88,0.13816,0.17195,0.13979,0.20523,0.2054,0.12781,0.2058,0.21789
89,89,0.13638,0.16973,0.13629,0.20347,0.20731,0.129,0.20712,0.21793
90,90,0.13574,0.16894,0.13681,0.20191,0.20986,0.13059,0.21048,0.21941
91,91,0.14389,0.17908,0.14414,0.2168,0.20846,0.12971,0.20878,0.22618
92,92,0.143,0.17797,0.14387,0.21778,0.20909,0.13011,0.20922,0.2277
93,93,0.13587,0.1691,0.13653,0.20518,0.20782,0.12932,0.20769,0.2202
94,94,0.14147,0.17607,0.14194,0.21135,0.20973,0.13051,0.20975,0.22385
95,95,0.1402,0.17448,0.14,0.20789,0.20846,0.12971,0.20831,0.22061
96,96,0.14338,0.17845,0.14362,0.21467,0.21508,0.13384,0.21558,0.22845
97,97,0.1318,0.16403,0.13227,0.19562,0.20374,0.12678,0.20368,0.21144
98,98,0.13523,0.1683,0.13643,0.20138,0.20642,0.12845,0.20646,0.21656
99,99,0.13995,0.17417,0.14024,0.21249,0.2096,0.13043,0.20962,0.22524
100,100,0.13855,0.17242,0.1387,0.20873,0.21024,0.13082,0.21183,0.22426
101,101,0.14275,0.17765,0.14277,0.2153,0.21393,0.13312,0.21494,0.22925
102,102,0.13498,0.16799,0.13484,0.2046,0.20693,0.12876,0.20747,0.22003
103,103,0.13549,0.16862,0.13533,0.20012,0.20171,0.12552,0.20167,0.21186
104,104,0.14071,0.17512,0.14012,0.21094,0.21355,0.13288,0.21317,0.22626
105,105,0.13956,0.17369,0.13941,0.21095,0.2138,0.13304,0.2146,0.22697
106,106,0.14364,0.17876,0.14316,0.21581,0.21915,0.13637,0.21926,0.23174
107,107,0.14491,0.18035,0.14544,0.22387,0.21457,0.13352,0.2141,0.23458
108,108,0.13536,0.16846,0.1368,0.20542,0.20655,0.12853,0.20688,0.21999
109,109,0.13689,0.17036,0.13774,0.20697,0.20973,0.13051,0.21096,0.22342
110,110,0.13664,0.17005,0.13824,0.20562,0.20858,0.12979,0.20931,0.21994
111,111,0.14491,0.18035,0.14706,0.22098,0.21775,0.1355,0.21945,0.23451
112,112,0.14428,0.17956,0.14441,0.21805,0.21444,0.13344,0.216,0.23016
113,113,0.14173,0.17639,0.14146,0.21489,0.21355,0.13288,0.21553,0.22907
114,114,0.1458,0.18146,0.14673,0.21988,0.2175,0.13534,0.21823,0.23193
115,115,0.13918,0.17322,0.13896,0.21011,0.21138,0.13154,0.21006,0.22397
116,116,0.14797,0.18415,0.14895,0.22289,0.22068,0.13732,0.2214,0.23648
117,117,0.14033,0.17464,0.14058,0.21381,0.20527,0.12773,0.20601,0.22371
118,118,0.13613,0.16941,0.13706,0.20512,0.20846,0.12971,0.20866,0.2206
119,119,0.13638,0.16973,0.137,0.20307,0.20693,0.12876,0.2061,0.21695
120,120,0.13791,0.17163,0.13901,0.20306,0.2124,0.13217,0.214,0.22039
121,121,0.14033,0.17464,0.14057,0.20787,0.21355,0.13288,0.21355,0.22375
122,122,0.14377,0.17892,0.14509,0.21806,0.2152,0.13391,0.21551,0.23138
123,123,0.14797,0.18415,0.14842,0.2216,0.22055,0.13724,0.22027,0.23519
124,124,0.13867,0.17258,0.13973,0.20787,0.21278,0.13241,0.21288,0.22426
125,125,0.13867,0.17258,0.13961,0.20498,0.21711,0.1351,0.21757,0.22495
126,126,0.14237,0.17718,0.14308,0.21386,0.21329,0.13273,0.21392,0.22748
127,127,0.14873,0.1851,0.14955,0.22195,0.22068,0.13732,0.22316,0.23555
128,128,0.14466,0.18003,0.14483,0.21898,0.21597,0.13439,0.21703,0.2317
129,129,0.14428,0.17956,0.14516,0.2201,0.2175,0.13534,0.21824,0.23431
130,130,0.14644,0.18225,0.14758,0.22038,0.21699,0.13502,0.2176,0.23295
131,131,0.13855,0.17242,0.13949,0.20927,0.20642,0.12845,0.20698,0.22206
132,132,0.13434,0.16719,0.13478,0.20048,0.2054,0.12781,0.20605,0.21648
133,133,0.14211,0.17686,0.1421,0.21441,0.20947,0.13035,0.21042,0.22562
134,134,0.1481,0.18431,0.14843,0.22415,0.21928,0.13645,0.21952,0.23626
135,135,0.14389,0.17908,0.14414,0.21501,0.21457,0.13352,0.21461,0.22747
136,136,0.15052,0.18732,0.15176,0.2247,0.22119,0.13764,0.22205,0.23667
137,137,0.14873,0.1851,0.14959,0.22196,0.21826,0.13582,0.22104,0.23439
138,138,0.15268,0.19002,0.15331,0.23082,0.22195,0.13811,0.22275,0.24049
