,epoch,hit@10,precision@10,recall@10,ndcg@10,hit@20,precision@20,recall@20,ndcg@20
0,0,0.07173,0.07171,0.08296,0.10187,0.11546,0.05771,0.12877,0.11299
1,1,0.06773,0.06771,0.07579,0.10041,0.11404,0.057,0.12677,0.11369
2,2,0.06599,0.06597,0.07433,0.09723,0.10866,0.05431,0.12063,0.10949
3,3,0.07103,0.07101,0.07982,0.10177,0.11525,0.05761,0.12763,0.11246
4,4,0.07013,0.07011,0.07776,0.10048,0.11583,0.0579,0.12909,0.11272
5,5,0.0688,0.06878,0.07544,0.09926,0.11184,0.0559,0.12255,0.10949
6,6,0.06769,0.06767,0.07429,0.09829,0.10957,0.05477,0.11804,0.10736
7,7,0.0676,0.06758,0.07452,0.09803,0.10857,0.05427,0.11756,0.10684
8,8,0.06696,0.06694,0.07289,0.09678,0.10855,0.05426,0.11663,0.1061
9,9,0.06736,0.06734,0.07207,0.09638,0.10971,0.05484,0.1213,0.10781
10,10,0.06773,0.06771,0.07376,0.09719,0.11094,0.05545,0.12095,0.10759
11,11,0.06795,0.06793,0.07493,0.09807,0.10994,0.05495,0.12121,0.1082
12,12,0.06634,0.06632,0.07261,0.09624,0.10724,0.0536,0.11732,0.10594
13,13,0.06598,0.06596,0.07226,0.09557,0.10635,0.05316,0.11593,0.10482
14,14,0.0658,0.06578,0.07221,0.09479,0.10568,0.05282,0.1146,0.10365
15,15,0.06537,0.06535,0.07191,0.0944,0.10481,0.05239,0.11329,0.10297
16,16,0.0653,0.06528,0.07189,0.09435,0.10474,0.05235,0.11326,0.10293
17,17,0.06549,0.06547,0.07244,0.09453,0.10462,0.05229,0.11312,0.10283
18,18,0.06516,0.06514,0.0724,0.09399,0.10438,0.05217,0.11296,0.10255
19,19,0.06494,0.06492,0.07221,0.09371,0.10412,0.05204,0.11245,0.10222
20,20,0.06473,0.06471,0.07204,0.09359,0.10405,0.05201,0.11244,0.10218
21,21,0.06393,0.06391,0.0711,0.09232,0.10344,0.05171,0.11214,0.1015
22,22,0.06369,0.06367,0.07103,0.09211,0.10245,0.05121,0.11137,0.10095
23,23,0.06371,0.06369,0.07106,0.092,0.10188,0.05093,0.11118,0.10065
24,24,0.0634,0.06338,0.07059,0.0905,0.1015,0.05074,0.11015,0.09916
