,epoch,hit@10,precision@10,recall@10,ndcg@10,hit@20,precision@20,recall@20,ndcg@20
0,0,0.07299,0.07297,0.08497,0.10291,0.11603,0.058,0.13325,0.11582
1,1,0.07256,0.07254,0.0853,0.10416,0.11614,0.05805,0.13341,0.11646
2,2,0.07214,0.07212,0.08483,0.10408,0.11603,0.058,0.13383,0.11661
3,3,0.07207,0.07205,0.08477,0.10399,0.11577,0.05787,0.1335,0.11645
4,4,0.07207,0.07205,0.08476,0.10401,0.11574,0.05785,0.13344,0.11644
5,5,0.07214,0.07212,0.08478,0.10406,0.11576,0.05786,0.13348,0.11647
6,6,0.07199,0.07197,0.08388,0.10421,0.11581,0.05789,0.13349,0.11652
7,7,0.07193,0.07191,0.08385,0.10419,0.11586,0.05791,0.13349,0.11653
8,8,0.07161,0.07158,0.08334,0.10425,0.1159,0.05793,0.13302,0.11664
9,9,0.07164,0.07162,0.08344,0.10439,0.11584,0.0579,0.13296,0.11663
