,epoch,hit@10,precision@10,recall@10,ndcg@10,hit@20,precision@20,recall@20,ndcg@20
0,0,0.07264,0.07262,0.08405,0.1026,0.11745,0.05871,0.13504,0.11647
1,1,0.07202,0.072,0.08449,0.1037,0.11609,0.05803,0.13384,0.11662
2,2,0.07199,0.07197,0.08457,0.10433,0.11576,0.05786,0.13354,0.1165
3,3,0.07202,0.072,0.08462,0.10437,0.11583,0.0579,0.13364,0.11653
4,4,0.07174,0.07172,0.08343,0.10435,0.11588,0.05792,0.13368,0.1166
5,5,0.07166,0.07164,0.08328,0.10434,0.11595,0.05796,0.13371,0.11663
6,6,0.07167,0.07165,0.08352,0.10449,0.11583,0.0579,0.13336,0.11657
7,7,0.07147,0.07145,0.08314,0.1043,0.11581,0.05789,0.13311,0.11657
8,8,0.07174,0.07172,0.08366,0.1041,0.11576,0.05786,0.13288,0.11657
9,9,0.07202,0.072,0.08463,0.10408,0.11579,0.05788,0.13306,0.11664
