,ep,loss
0,0,0.4793911751786711
1,1,0.32974221159818146
2,2,0.3228173226471475
3,3,0.31958420109371893
4,4,0.315935738237479
5,5,0.3119099605460412
6,6,0.3053025705776667
7,7,0.2946147394510126
8,8,0.28382768802963226
9,9,0.2750520967683302
10,10,0.2694733635238979
11,11,0.26584629484787287
12,12,0.2623346049206059
13,13,0.2595992686720234
14,14,0.2559364850931017
15,15,0.2518051745509913
16,16,0.24507971602701858
17,17,0.24047369789700263
18,18,0.23483618328222644
19,19,0.230650559126624
20,20,0.2277399203758466
21,21,0.22326948991406106
22,22,0.22020707276498847
23,23,0.21774266300936462
24,24,0.21520467361678247
25,25,0.2136827819196603
26,26,0.21129707132167966
27,27,0.20876473471110046
28,28,0.20612713665123514
29,29,0.2057312658063979
