,epoch,hit@10,precision@10,recall@10,ndcg@10,hit@20,precision@20,recall@20,ndcg@20
0,0,0.07114,0.07112,0.08178,0.10434,0.11491,0.05744,0.13149,0.1162
1,1,0.07147,0.07145,0.08326,0.10432,0.11564,0.0578,0.13291,0.11667
2,2,0.07152,0.0715,0.08323,0.10435,0.11543,0.0577,0.13283,0.11644
3,3,0.07154,0.07152,0.08313,0.10431,0.1155,0.05773,0.13308,0.11643
4,4,0.07161,0.07158,0.0831,0.10435,0.11553,0.05775,0.13305,0.11639
5,5,0.07161,0.07158,0.0831,0.10442,0.11562,0.05779,0.13324,0.11651
6,6,0.07161,0.07158,0.0831,0.10436,0.11569,0.05783,0.13317,0.11649
7,7,0.07164,0.07162,0.0832,0.10438,0.11583,0.0579,0.13318,0.11653
8,8,0.07157,0.07155,0.08315,0.10434,0.11565,0.05781,0.13293,0.11653
9,9,0.07169,0.07167,0.08319,0.10454,0.11569,0.05783,0.13295,0.11669
